14'大家好，枫浪姗姗来到啦                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
14'上半场比赛已经开始进行中，目前比分0-0                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
14'曼城左路进攻，詹金森将球破坏吹边线                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
15'阿圭罗禁区边缘胸部停球，被吉布斯从身后上来破坏                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
15'吉布斯也是毫不含糊，直接大脚将球踢到前场                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
15'阿森纳反击，热鸟拿球                   12'第12分钟，热尔维尼奥突入禁区左侧被莱斯科特铲断
16'热鸟边路拿球下底传中，乔哈特在波多尔斯基之前将球没收                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
16'曼城后场传球失误，热鸟中场拿球被放倒                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
17'波多尔斯基前场拿球分边左路给插上的吉布斯                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
17'吉布斯拿球边路横传门前，可惜没有人能顶到                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
18'亚亚图雷后场拿球过顶球到前场，力量过大直接被曼诺内没收                   16'第16分钟，哲科丢球，拉姆塞反击中直传，热尔维尼奥强力突进几近形成单刀，但他在禁区右侧最后一刻趟球稍大错过机会，乔-哈特出击没收
