18'孔多比亚失误了                   18'国米第18分钟首先失球
18'克罗托内反击 突入禁区                   18'国米第18分钟首先失球
18' 国米队员梅德尔倒地抢球，结果手球犯规了                   18'国米第18分钟首先失球
18'裁判给了克罗托内一个点球机会                   18'国米第18分钟首先失球
19'法尔奇内利来主罚，点球直接打左路，球进啦                   18'国米第18分钟首先失球
22' 右路孔多比亚带球失误了                   22'国米第22分钟又丢一球
22' 克罗托内的反击 左路突破传中                   22'国米第22分钟又丢一球
22'不过巴尔贝里斯抢球先犯规了                   22'国米第22分钟又丢一球
25'克罗托内的反击，左路形成单刀， 法尔奇内利直接挑射破门                   22'国米第22分钟又丢一球
25'回到比赛，克罗托内右路再获机会                   22'国米第22分钟又丢一球
25' 禁区内的射门被挡出底线                   22'国米第22分钟又丢一球
26'左路国米进攻                   26'国米第26分钟才有首次射门，伊卡尔迪禁区内背身回做，巴内加右侧距门25米处低射被科尔达兹得到
26' 转移球给到坎德雷瓦这边                   26'国米第26分钟才有首次射门，伊卡尔迪禁区内背身回做，巴内加右侧距门25米处低射被科尔达兹得到
29' 坎德雷瓦传中球到禁区内                   26'国米第26分钟才有首次射门，伊卡尔迪禁区内背身回做，巴内加右侧距门25米处低射被科尔达兹得到
29' 球被费拉里大脚破坏了                   26'国米第26分钟才有首次射门，伊卡尔迪禁区内背身回做，巴内加右侧距门25米处低射被科尔达兹得到
57'国米有力角球开前点                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
57'被解围出来                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
58'孔多比亚禁区前拿球直接远射                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
58' 球被科尔达兹拿到                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
59' 国米左路角球开出来                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
60'被直接解围了                   57'第57分钟，坎德雷瓦右路传中，切凯里尼头球解围不干净，佩里希奇后点距门12米处凌空抽射偏出近门柱
66'国米右路角球开出来， 中路丹布罗西奥头球攻门得手                   66'国米第66分钟追回一球，巴内加右侧开出角球，对方防守队员头球解围却蹭到后点，丹布罗西奥在门前3米处推射入网，1比2
67' 克罗托内左路进攻                   66'国米第66分钟追回一球，巴内加右侧开出角球，对方防守队员头球解围却蹭到后点，丹布罗西奥在门前3米处推射入网，1比2
68'斯托扬被铲倒，比赛中断了下                   66'国米第66分钟追回一球，巴内加右侧开出角球，对方防守队员头球解围却蹭到后点，丹布罗西奥在门前3米处推射入网，1比2
68' 队医上来检查情况                   66'国米第66分钟追回一球，巴内加右侧开出角球，对方防守队员头球解围却蹭到后点，丹布罗西奥在门前3米处推射入网，1比2
69' 克罗托内用桑皮里西换下了罗登                   66'国米第66分钟追回一球，巴内加右侧开出角球，对方防守队员头球解围却蹭到后点，丹布罗西奥在门前3米处推射入网，1比2
72' 再分右路帕拉西奥，传中球被顶偏了                   72'国米第72分钟几乎扳平，埃德尔前场断球传出，巴内加直传，伊卡尔迪背身回做，埃德尔在门前20米处大力抽射击中左门柱
73' 埃德尔前场断球，直接选择远射                   72'国米第72分钟几乎扳平，埃德尔前场断球传出，巴内加直传，伊卡尔迪背身回做，埃德尔在门前20米处大力抽射击中左门柱
73'结果球打在立柱上了啊                   72'国米第72分钟几乎扳平，埃德尔前场断球传出，巴内加直传，伊卡尔迪背身回做，埃德尔在门前20米处大力抽射击中左门柱
74'克罗托内这边继续换人                   72'国米第72分钟几乎扳平，埃德尔前场断球传出，巴内加直传，伊卡尔迪背身回做，埃德尔在门前20米处大力抽射击中左门柱
75' 阿科斯蒂换下特罗塔                   72'国米第72分钟几乎扳平，埃德尔前场断球传出，巴内加直传，伊卡尔迪背身回做，埃德尔在门前20米处大力抽射击中左门柱
