6'用户9yu10vcqtb :支持红军，顶一下吧，红军迷，冠军到！--问题应该不大吧                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
6'切尔西今天确实打的非常积极                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
7'切尔西禁区外左侧一点，阿什利科尔扣过后卫远射，被米尼奥莱飞身扑出                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
7'这脚远射打的非常有质量啊                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
7'施瓦泽后场大脚传到禁区前沿，登巴巴头球抢第一点，蹭给了门将                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
8'利物浦中路控球，乔阿伦拿球陷入对方3人的夹击                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
8'穆里尼奥也很激动，走进了球场之后，第四官员马上上去制止                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
9'卡拉斯在左边路防守，一次漂亮的铲球把斯特林的突破破坏出了底线，角球                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
9'杰拉德开出角球到禁区外，格伦约翰逊远射打在禁区里后卫身上弹出底线，再次角球                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
9'战术角球，斯特林传中到前点，球被后卫破坏                   6'第6分钟，米克尔传球，阿什利-科尔25码处抽射被米尼奥莱扑出
14'角球传到前点，斯科特尔头球一蹭，门线上的米克尔把球解围                   14'第14分钟，阿什利-科尔角球混战中门线前解围，萨科小禁区边缘接苏亚雷斯传中后扫射高出
15'萨科底线拿球再传到后点，队友大力抽到门前，萨科转身射门高出横梁！                   14'第14分钟，阿什利-科尔角球混战中门线前解围，萨科小禁区边缘接苏亚雷斯传中后扫射高出
15'这一回合利物浦打的大开大合                   14'第14分钟，阿什利-科尔角球混战中门线前解围，萨科小禁区边缘接苏亚雷斯传中后扫射高出
17'卢卡斯在中场防守时拉人犯规了                   14'第14分钟，阿什利-科尔角球混战中门线前解围，萨科小禁区边缘接苏亚雷斯传中后扫射高出
38'慢镜头看球确实是打在后卫手臂上，而且手臂也确实是张开的！                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
38'苏亚雷斯右边路接斯图里奇的传递，禁区角上传中，可惜前插的库蒂尼奥矮了一点，球被出击的门将没收                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
39'很有威胁的传球啊，要是换着苏亚雷斯包抄也许这球就有了                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
39'利物浦后场断球后快速反击，逼得一个角球                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
39'库蒂尼奥角球传后点，球被后卫破坏出禁区                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
40'禁区外杰拉德再把球转移到左边路，库蒂尼奥的斜传直接传出了底线                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
40'切尔西中场横传失误，库蒂尼奥断球后把球交给中路的斯特林                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
41'斯特林再敲给中路的苏亚雷斯，禁区弧顶右脚推射，稍稍高出横梁啊！！！                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
41'很有威胁的射门，这也是切尔西自己的失误送给利物浦的机会                   38'比赛争议出现在第38分钟，萨拉赫禁区右侧的射门被弗拉纳甘明显用手挡下，但裁判阿特金森未予判罚
84'托雷斯同样是面对老东家                   84'第84分钟，前利物浦射手托雷斯替换登巴-巴出场
84'比赛来到85分钟，比分依然是1-0切尔西领先                   84'第84分钟，前利物浦射手托雷斯替换登巴-巴出场
85'苏亚雷斯禁区外背身拿球，挑传身后，力量太大                   84'第84分钟，前利物浦射手托雷斯替换登巴-巴出场
86'杰拉德禁区外再远射一脚，偏出球门！                   84'第84分钟，前利物浦射手托雷斯替换登巴-巴出场
92'利物浦角球传到禁区里，皮球落在苏亚雷斯身前，抽射又被施瓦茨飞身托出！！！                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
92'全场比赛要补时4分钟                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
92'托雷斯前场逼抢故意踢人，吃到黄牌                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
93'单刀了！！托雷斯                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
93'2-0，托雷斯单刀面对门将，把球分给威廉，把球带到空门前踢进！！！                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
94'利物浦前场横传失误，为了断球后把球交给中圈的托雷斯，面对门将没有贪功，回做给威廉，锁定胜局了                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
95'没有悬念了，但这不是利物浦的末日，冠军还有机会                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
95'利物浦，切尔西，曼城都有机会                   92'第92分钟，施瓦泽混战中扑出皮球，苏亚雷斯禁区边缘内抽射又被施瓦泽托出横梁
