2'门兴球员扎卡拼抢犯规,对手获得控球权.                   1'第1分钟拜仁稍占优势，罗本头球被佐默没收，但门兴马上稳住阵脚
2'施魏因斯泰格为拜仁慕尼黑在左路,赢得一个任意球.                   1'第1分钟拜仁稍占优势，罗本头球被佐默没收，但门兴马上稳住阵脚
3'拜仁慕尼黑球员格策大禁区中央左脚射门,被防守球员封堵.给他传球的是莱万多夫斯基.                   1'第1分钟拜仁稍占优势，罗本头球被佐默没收，但门兴马上稳住阵脚
4'射门!!!拜仁慕尼黑球员贝尔纳特大禁区左侧左脚射门,被对方守门员横身扑出.                   1'第1分钟拜仁稍占优势，罗本头球被佐默没收，但门兴马上稳住阵脚
42'门兴施特兰茨尔受伤倒地,比赛暂停                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
42'拜仁慕尼黑莱万多夫斯基受伤倒地,比赛暂停                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
43'暂停结束,球员们重新开始比赛.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
44'门兴球员克拉默一脚直塞球给拉斐尔,但是边裁举旗显示后者已经越位.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被防守球员封堵.给他传球的是博阿滕.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'扬奇克将球处理出底线,拜仁慕尼黑获得角球.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+1'拜仁慕尼黑球员阿拉巴大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是施魏因斯泰格.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+2'门兴球员哈恩一脚直塞球给赫尔曼,但是边裁举旗显示后者已经越位.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+2'门兴球员扎卡拼抢犯规,对手获得控球权.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+2'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+2'门兴球员文特一脚直塞球给哈恩,但是边裁举旗显示后者已经越位.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
45'+3'上半场结束,拜仁慕尼黑 0-1 门兴,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，博阿滕右路传中，穆勒头球摆渡，莱万争顶与施特兰茨尔头部相撞，两人治疗后恢复比赛
68'扬奇克为门兴赢得一个任意球.                   68'第68分钟，拉菲尼亚右路传球，莱万在门前8米处头球击中横梁，但他被判推搡扬奇克
68'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   68'第68分钟，拉菲尼亚右路传球，莱万在门前8米处头球击中横梁，但他被判推搡扬奇克
70'拜仁慕尼黑球员博阿滕大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是施魏因斯泰格.                   68'第68分钟，拉菲尼亚右路传球，莱万在门前8米处头球击中横梁，但他被判推搡扬奇克
70'拜仁慕尼黑换人,拉姆换下格策                   68'第68分钟，拉菲尼亚右路传球，莱万在门前8米处头球击中横梁，但他被判推搡扬奇克
70'射门!!!门兴球员哈恩大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是施特兰茨尔.                   68'第68分钟，拉菲尼亚右路传球，莱万在门前8米处头球击中横梁，但他被判推搡扬奇克
