3'可惜了啊，托雷斯                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
4'拉米雷斯中圈附近抢断，外脚背斜传找托雷斯，托雷斯在和对方后卫拼抢中强行将球扣过，接着面对戴维斯的一脚低射，球擦着左侧立柱出底线                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
4'开场仅仅4分钟，托雷斯在前场很是活跃啊                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
4'托雷斯右路抢断，人球分过，摆脱防守                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
5'托雷斯强突入禁区，接着的横传球，被冯特将球破坏出底线                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
5'切尔西获得右侧的角球机会                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
5'角球开出，第一点被南安普敦球员解围                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
5'许尔勒禁区弧顶得到第二落点，直接一脚抽射，打偏                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
6'而在这次禁区内解围中，冯特和洛夫伦相撞，后者受伤倒地                   3'开场3分钟，拉米雷斯直传，托雷斯趟过洛夫伦低射被回追的丰特挡出底线
12'科尔将球过度给到阿扎尔，柯克身后上抢踢翻了阿扎尔，犯规                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
12'阿兹皮利奎塔前场争抢中被撞伤了腰部                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
13'年轻的腰部被撞疼了，在队医陪伴下出场接受治疗                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
13'现场的雨势很大，队员们辛苦了啊                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
13'切尔西前场的进攻，托雷斯直塞传拉米雷斯                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
13'戴维斯出击到禁区外，直接一个滑铲，将球从拉米雷斯脚下铲飞                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
14'南安普敦的右路进攻，科尔上抢将球破坏出边线                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
15'穆里尼奥的深邃眼神，有多少人能看懂啊                   12'第12分钟，阿兹皮利奎塔腰部被撞伤，也到场边接受治疗
20'南安普敦前场进攻没机会，回传后场慢慢来                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
20'阿扎尔后场抢断，直塞给到米克尔                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
20'米克尔带球过中线，直塞交给前插的托雷斯                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
21'托雷斯左路拿球，横切进入禁区                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
21'摆脱上来的冯特，右脚一脚抽射打近角，可惜踢偏                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
21'上半场比赛21分钟，比分还是0-0                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
22'图说切尔西的2013，展望2014                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
23'加斯顿-拉米雷斯后场防守中放倒马塔，犯规                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
23'切尔西获得前场中路的任意球机会                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
23'任意球斜传禁区，到了南安普顿球员的人堆，轻松被解围                   20'第20分钟，托雷斯接到米克尔传球，左路斜线强突钱伯斯和丰特，在门前12米处抽射高出
32'南安普敦获得前场的任意球机会                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
32'加斯顿-拉米雷斯主罚，起球到禁区                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
32'洛夫伦跟上，右脚的脚弓弹射，打在了边网上                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
33'南安普敦右路的大范围斜传球转移找前场左侧的罗德里格斯                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
33'可惜传球力量过大，罗德雷格斯拼尽全力，还是没能拿到，球出底线                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
34'米克尔中圈内拿球，面对拉拉纳和加斯顿-拉米雷斯的围抢，被放倒啦                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
34'切尔西中场的传球失误，拉拉纳右路拿球内切                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
34'拉拉纳将球过度给到加斯顿-拉米雷斯                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
35'加斯顿-拉米雷斯再分边找边路上来的肖，可惜没成功                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
35'拉米雷斯左路拿球，单骑闯关，左右脚的小快板过人                   32'第32分钟，加斯通-拉米雷斯主罚任意球吊入禁区右侧，洛夫伦在门前9米处小角度凌空垫射偏出
39'拉米雷斯前场接到过顶球，禁区右侧横传球                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
39'前点防守的肖踢空，同时也干扰了中间抢点的托雷斯                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
39'阿扎尔后点得到球权，横切两步，起脚低射                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
40'被回防的钱伯斯伸脚挡出禁区                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
40'上半场比赛40分钟，比分还是0-0                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
41'阿兹皮利奎塔后场抢断，过掉上抢的罗德里格斯                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
41'可惜最后一下传球不给力，直接给到了斯内德林                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
42'拉米雷斯前场拿球，强突后的传中被卡希尔伸脚挡出底线                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
42'南安普敦获得上半场的第一个角球机会                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
42'角球开出，第一点被切尔西球员解围                   39'第39分钟，拉米雷斯右路传中被漏到后点，阿扎尔没有射门而是做给许尔勒，许尔勒在门前10米处勉强推射被丰特封堵
48'拉拉纳面对逼抢，回敲给冯特，冯特再转移球到右路                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
48'罗德里格斯前场拿球，挑传给到拉拉纳                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
48'拉拉纳禁区左上角拿球，面对卡希尔的防守                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
49'身后拉球一扣，摆脱防守，斜传后点                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
49'切赫及时出击，在上来争头球的加斯顿-拉米雷斯之前将球没收                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
48'南安普敦赢得右侧角球机会                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
48'角球开出到后点，禁区内形成混战，可惜最后的攻门，还是打偏                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
49'切尔西中场抢断，米克尔拿球回传特里                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
49'阿扎尔左路拿球，准备转身，被身后的钱伯斯推倒在地                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
50'南安普敦的后场抢断，斯蒂文-戴维斯外脚背挑传                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
50'斯内德林得球再送过顶，可惜没能成功                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
51'加斯顿-拉米雷斯在之前和科尔的拼抢中踢翻了科尔，被主裁判赏了黄牌                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
51'切尔西这边场边两人待命了，奥斯卡和威廉做准备                   48'第48分钟，切尔西禁区内混战，丰特在门前5米处左脚推射被挡出，他投诉对方手球，主裁判阿特金森未予理会
55'机会啊，奥斯卡                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
56'主裁判鸣哨了，奥斯卡的假摔，被黄牌警告啦                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
57'切尔西的中路直塞球给到奥斯卡，奥斯卡拿球面对出击的戴维斯，趟球过掉，接着跟进，右脚直接找戴维斯的手，摔倒在地，太明显了，黄牌无悬念                   55'第55分钟，奥斯卡单刀突入禁区扣过出击倒地的凯尔文-戴维斯后倒地，但主裁判阿特金森认定其假摔，掏出黄牌
