13'勒沃库森球员埃姆雷-詹大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是罗尔费斯.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
13'多特蒙德球员莱万多夫斯基拼抢犯规,对手获得控球权.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
13'罗尔费斯为勒沃库森赢得一个任意球.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
14'多特蒙德球员沙欣一脚直塞球给莱万多夫斯基,但是边裁举旗显示后者已经越位.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
15'莱万多夫斯基为多特蒙德在右路,赢得一个任意球.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
15'勒沃库森球员埃姆雷-詹拼抢犯规,对手获得控球权.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
16'多特蒙德球员姆希塔良大禁区左侧左脚射门,被防守球员封堵.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
16'埃姆雷-詹将球处理出底线,多特蒙德获得角球.                   13'第13分钟，埃姆雷-詹横趟距门27米处抽射掠过横梁
18'进球啦！！！勒沃库森球员孙兴民球门左侧小角度左脚射门,球从中路飞进球门,球进了!助攻的是卡斯特罗. 多特蒙德 0-1 勒沃库森.                   18'勒沃库森第18分钟取得领先
30'射门!!!多特蒙德球员莱万多夫斯基大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是格罗斯克罗伊茨.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
31'射门!!!勒沃库森球员孙兴民大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是简斯-黑格勒.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
31'魏登费勒将球处理出底线,勒沃库森获得角球.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
32'勒沃库森球员托普拉克拼抢犯规,对手获得控球权.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
32'莱万多夫斯基为多特蒙德赢得一个任意球.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
33'基斯林为勒沃库森在对方半场,赢得一个任意球.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
33'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   30'第30分钟，格罗斯克罗伊茨右路传中，莱万多夫斯基在门前8米处外脚背凌空弹射被莱诺没收
39'勒沃库森球员简斯-黑格勒大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是卡斯特罗.                   39'第39分钟，黑格勒禁区弧顶吊射高出
40'勒沃库森球员埃姆雷-詹危险动作,对手获得控球权.                   39'第39分钟，黑格勒禁区弧顶吊射高出
40'格罗斯克罗伊茨为多特蒙德赢得一个任意球.                   39'第39分钟，黑格勒禁区弧顶吊射高出
80'勒沃库森球员基斯林大禁区外右脚射门,被防守球员封堵.给他传球的是孙兴民.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
80'勒沃库森球员卡斯特罗拼抢犯规,对手获得控球权.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
80'莱万多夫斯基为多特蒙德在对方半场,赢得一个任意球.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
80'黄牌！勒沃库森球员卡斯特罗因为恶意犯规,被主裁判出示黄牌.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
80'勒沃库森球员斯帕希奇因为在场上斗殴,被裁判直接红牌罚下.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
80'多特蒙德球员姆希塔良被主裁判出示了一张黄牌.                   80'第80分钟，莱万多夫斯基被卡斯特罗侵犯后继续突破，接着遭斯帕希奇踩踏倒地，多特球员群情激愤，姆希塔良和斯帕希奇发生冲突，斯帕希奇接触对方面部，被直接罚下
