1'上半场比赛开始                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
1'鲁能泰山队率先开球                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
1'鲁能泰山队把球回传，左路大脚长传进攻                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
1'这球传得太大，球出边线                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
1'阿洛伊西奥在前场得球，左路一脚斜射，从后点偏出！                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
2'从风向来看，鲁能泰山队上半场踢顶风                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
2'张思鹏大脚开球过中场，江苏舜天队传球被断                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
2'蒿俊闵今天踢后边后卫                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
2'塔尔德利右路带球到前场，横传球被断                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
3'任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
3'江苏舜天队险些送大礼啊                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
3'赵明剑中场得球，卡尔坦森抢球犯规                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
4'祖斯利尔传球，塔尔德利在前场得球，一脚远射！！！打中立柱啦！                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
4'鲁能泰山队虽然客战，但反客为主，全力进攻                   1'鲁能新外援尤西雷首发登场，第1分钟鲁能便展开猛攻
3'任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
3'江苏舜天队险些送大礼啊                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
3'赵明剑中场得球，卡尔坦森抢球犯规                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
4'祖斯利尔传球，塔尔德利在前场得球，一脚远射！！！打中立柱啦！                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
4'鲁能泰山队虽然客战，但反客为主，全力进攻                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
5'江苏舜天队右路攻到前场，横传转移                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
6'祖斯利尔中场抢球犯规，江苏舜天队任意球机会                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
6'江苏舜天队左路组织进攻，蒿俊闵抢球犯规                   3'第3分钟，任航后场得球回传门将，塔尔德利险些断球打空门，对方把球破坏出边线
7'任意球发到禁区内，大雷出击把球摘下来                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
7'鲁能泰山队左路攻到前场，直传球，郑铮横传门前太漂亮啦，有提前量，可惜王永珀没能碰到球！！只要一碰就能进 啊！                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
8'江苏舜天队左路攻到前场，王大雷出击控到球                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
8'刘建业中后场犯规，主裁判果断出示黄牌！！对塔尔德利犯规，手上动作太大！                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
9'任意球发出来，鲁能泰山队把球转移到左路                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
9'塔尔德利直传球没能过去                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
9'阿洛伊西奥左路突破横传，交给祖斯利尔，挑传禁区，张思鹏没收                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
10'蒿俊闵中场抢球犯规，江苏舜天队左路任意球机会                   7'第7分钟，鲁能左路攻到前场送出直传，郑铮甩开防守横传门前，可惜王永珀稍慢一步错失空门机会
14'江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出！                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
14'江苏舜天队得到角球机会                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
14'塞尔吉奥发角球到禁区内，对方破坏出来                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
15'萨米尔前场左路得球，横带一步突然一脚远射！皮球擦着后门柱偏出底线                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
15'祖斯利尔前场右路拿球，横带突破直传，再分到右路                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
15'蒿俊闵右路横传禁区，李昂把球破坏出边线                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
16'界外球发到禁区内，对方顶出来，蒿俊闵右路强过人，被萨米尔抢断                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
16'江苏舜天队左路攻到前场，任航强突，赵明剑手球犯规                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
16'江苏舜天队前场左路任意球机会                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
16'任意球发到禁区内后点，对方顶出来                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
17'江苏舜天队在前场抢球出边线                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
17'鲁能泰山队斜长传前场，塔尔德利快速插上，传得角度小了点啊，张思鹏出击没收                   14'第14分钟江苏舜天队断球长传进攻，李昂在中场就是一脚吊门，王大雷回退把球托出
20'江苏舜天队左路长传，横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线！                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
20'卡尔坦森的机会不少，可惜浪费太多                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
21'中场江苏舜天得球，直传球被对方破坏                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
21'后场鲁能泰山队断球，交给塔尔德利，力量大了点                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
21'祖斯利尔中场抢球犯规                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
22'祖斯利尔的全称是：尤西雷.达席尔瓦,祖斯利尔。是鲁能泰山队的新外援！                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
22'1曲日月明：还是叫尤西雷听起来顺耳[回复]好，我给大家称尤西雷吧！                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
23'阿洛伊西奥右路直传球，鲁能泰山队横传禁区，对方破坏                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
23'江苏舜天队快速反击                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
23'江苏舜天队进球啦！吴曦，1-0                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
23'吴曦在前场得球，一脚远射，皮球应声入网！                   20'第20分钟，吴曦在中场搓传左路，随后横传球到禁区内，卡尔坦森抢点打门，又是擦着后点出底线
26'鲁能泰山队进球啦！！塔尔德利，1-1                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
26'阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球应声入网！                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
27'双方又回到同一起跑线上                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
27'江苏舜天队右睡进攻，对方犯规                   26'山东鲁能在第26分钟迅速扳平——阿洛伊西奥左路斜传禁区，塔尔德利快速插上后点头球顶门，皮球弹地后入网，1-1
