1'上半场比赛开始                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
1'利物浦开出皮球                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
1'威纳尔杜姆横敲亨德森                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
1'威纳尔杜姆左侧接球，回给后场的洛夫伦                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
1'亨德森后场长传，阿诺德右路横敲，萨拉赫跟进打门没吃准部位                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
2'科诺凯特后场出球，被亨德森踢倒                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
2'裁判给队长叫了过去，警告了一下                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
3'布鲁诺回传给后场的邓克， 再分球左路                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
4'布莱顿直传打身后，米尼奥莱出击给到阿诺德                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
4'亨德森得球，再给左侧的洛夫伦                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
4'洛夫伦被逼抢，给到了右侧的詹                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
4'威纳尔杜姆脚底打滑，球丢了                   1'开场不到1分钟，阿诺德传球，萨拉赫禁区右侧斜射偏出
30'菲尔米诺右路内切，生吃对手，没过去啊                   30'利物浦第30分钟打破僵局，库蒂尼奥开出角球，埃姆雷-詹小禁区边缘冲顶入网
30'阿诺德右路传中，被邦挡出底线                   30'利物浦第30分钟打破僵局，库蒂尼奥开出角球，埃姆雷-詹小禁区边缘冲顶入网
30'库蒂尼奥角球开到禁区，詹头球破门                   30'利物浦第30分钟打破僵局，库蒂尼奥开出角球，埃姆雷-詹小禁区边缘冲顶入网
32'利物浦又进了                   30'利物浦第30分钟打破僵局，库蒂尼奥开出角球，埃姆雷-詹小禁区边缘冲顶入网
33'罗伯逊前场断球，送直塞，被拦截了                   30'利物浦第30分钟打破僵局，库蒂尼奥开出角球，埃姆雷-詹小禁区边缘冲顶入网
48'詹中场敲给身旁的亨德森，长传左路被拦截                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
49'布朗左路传中，穆雷跟进抽射被米尼奥莱神勇扑出啊                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
49'利物浦反击进球啦                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
50'萨拉赫奔袭到弧顶，吸引三名防守球员，萨拉赫弧顶分右侧，菲尔米诺面对门将打上角得分                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
50'布朗左路还要传中，禁区内被洛夫伦顶出                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
50'布莱顿右侧角球开出，中路被踢出来                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
51'裁判响哨，给了布莱顿点球                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
51'回放来看，没什么问题啊                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
51'穆雷点球破门，扳回一个                   48'利物浦第48分钟几近锁定胜局，萨拉赫反击中吸引4人防守后直传，菲尔米诺12码处推射上角入网，3-0
87'利物浦进球啦                   87'第87分钟，库蒂尼奥25码处任意球直接低射，人墙起跳让皮球贴地穿过入左下角，4-1
88'库蒂尼奥任意球打了低平球，瑞安没有反应啊，皮球贴地滚进网窝                   87'第87分钟，库蒂尼奥25码处任意球直接低射，人墙起跳让皮球贴地穿过入左下角，4-1
88'利物浦换人，索兰克替下菲尔米诺                   87'第87分钟，库蒂尼奥25码处任意球直接低射，人墙起跳让皮球贴地穿过入左下角，4-1
89'达菲后场起球，给出了左侧边线                   87'第87分钟，库蒂尼奥25码处任意球直接低射，人墙起跳让皮球贴地穿过入左下角，4-1
89'又进了啊                   87'第87分钟，库蒂尼奥25码处任意球直接低射，人墙起跳让皮球贴地穿过入左下角，4-1
