1'上半场比赛开始！！                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
1'首先开球的是罗马！！                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
1'纳英戈兰中场拿球分边                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
1'罗马右路传球送禁区                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
1'太靠近门将被纳瓦斯得到                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
2'皇马中场控球，回敲                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
2'比赛开始后，两队打得都比较谨慎                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
3'哈梅斯-罗德里格斯禁区前沿拿球给到本泽马                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
3'本泽马这边回做                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
3'哈梅斯-罗德里格斯这边禁区内接球被破坏                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
4'马塞洛左路起球被拦截                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
4'弗洛伦齐这边挡了一下后倒地                   1'第1分钟，弗洛伦齐争顶时头部着地受伤，幸无大碍
34'皇马左路挑传到禁区边缘                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
34'马塞洛外脚背抽射远角                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
34'稍稍打偏                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
34'这球踢的漂亮啊                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
34'罗马右路送直塞到底线                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
35'萨拉赫边路拿球将球回敲                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
35'万克尔将球分出来                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
35'佩罗蒂左路突破没有机会                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
35'沙拉维禁区前沿走中路                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
35'没过去这球                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
36'罗马这边获得角球机会                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
36'角球打了一个战术                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
36'右路低平球送前点                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
36'纳瓦斯将球压在身下                   33'皇马逐渐夺回主动权，第33分钟打出精妙配合，马塞洛分边，再接应C罗左侧挑传，禁区左角上直接左脚外脚背凌空斜射偏出远门柱
57'C罗！！！                   57'皇马第57分钟打破僵局
57'0-1！！！                   57'皇马第57分钟打破僵局
58' 。。。马塞洛中场停球送直塞给到C罗，C罗停球变向到了禁区里，兜射远角破门得分！！                   57'皇马第57分钟打破僵局
60'皇马前场再送直塞                   57'皇马第57分钟打破僵局
60'C罗停球后横敲门前                   57'皇马第57分钟打破僵局
60'没人啊                   57'皇马第57分钟打破僵局
72'本泽马左路带球到了禁区里                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
72'没有起脚打门的机会                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
72'纳英戈兰右路起球送禁区                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
72'哲科停球后回做                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
72'万克尔跟进直接远射！！                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
72'球蹭着立柱出了底线！！！                   72'第72分钟，哲科禁区内背身护球回做，万克尔在门前19米处大力抽射稍偏出右门柱
