6'进球啦！！！兰斯球员Gaëtan Charbonnier大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是迭戈. 兰斯 1-0 甘冈.                   6'第6分钟，迭戈左路传中，沙伯里12码处停球后转身抽射入网
9'曼达内为甘冈赢得一个任意球.                   6'第6分钟，迭戈左路传中，沙伯里12码处停球后转身抽射入网
9'兰斯球员塔卡弗雷德拼抢犯规,对手获得控球权.                   6'第6分钟，迭戈左路传中，沙伯里12码处停球后转身抽射入网
47'射门!!!甘冈球员布维大禁区外右脚射门,被对方守门员横身扑出.                   47'第47分钟，贝奥夫远射令门将脱手，曼丹尼小禁区前铲射入网
47'进球啦！！！甘冈球员曼达内大禁区中央右脚射门,球从中路飞进球门,球进了! 兰斯 1-2 甘冈.                   47'第47分钟，贝奥夫远射令门将脱手，曼丹尼小禁区前铲射入网
50'桑科哈雷为甘冈在右路,赢得一个任意球.                   47'第47分钟，贝奥夫远射令门将脱手，曼丹尼小禁区前铲射入网
50'兰斯球员西尼奥里诺拼抢犯规,对手获得控球权.                   47'第47分钟，贝奥夫远射令门将脱手，曼丹尼小禁区前铲射入网
79'进球啦！！！甘冈球员布维大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是亚塔巴雷. 兰斯 2-3 甘冈.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
80'兰斯球员Prince Oniangué大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是曼迪.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
80'甘冈球员曼达内拼抢犯规,对手获得控球权.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
80'孔泰为兰斯赢得一个任意球.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
81'甘冈球员亚塔巴雷拼抢犯规,对手获得控球权.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
81'西尼奥里诺为兰斯赢得一个任意球.                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
81'甘冈换人,凯尔布拉特换下曼达内                   79'甘冈第79分钟绝杀，亚塔巴雷传球，贝奥夫禁区右侧内切至16码处低射近角得手
