2'斯皮纳佐拉为亚特兰大赢得一个任意球.                   1'第1分钟波澜不惊
2'尤文图斯球员Juan Cuadrado拼抢犯规,对手获得控球权.                   1'第1分钟波澜不惊
26'射门!!!尤文图斯球员伊瓜因大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是赫迪拉.                   26'尤文第26分钟才有首次射门，博努奇右路长传被顶出，赫迪拉又顶回禁区，伊瓜因在门前13米处凌空射门被贝里沙没收
27'亚特兰大球员卡尔达拉拼抢犯规,对手获得控球权.                   26'尤文第26分钟才有首次射门，博努奇右路长传被顶出，赫迪拉又顶回禁区，伊瓜因在门前13米处凌空射门被贝里沙没收
27'伊瓜因为尤文图斯赢得一个任意球.                   26'尤文第26分钟才有首次射门，博努奇右路长传被顶出，赫迪拉又顶回禁区，伊瓜因在门前13米处凌空射门被贝里沙没收
27'A-孔蒂将球处理出底线,尤文图斯获得角球.                   26'尤文第26分钟才有首次射门，博努奇右路长传被顶出，赫迪拉又顶回禁区，伊瓜因在门前13米处凌空射门被贝里沙没收
29'射门!!!亚特兰大球员Remo Freuler大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是A-孔蒂.                   26'尤文第26分钟才有首次射门，博努奇右路长传被顶出，赫迪拉又顶回禁区，伊瓜因在门前13米处凌空射门被贝里沙没收
45'亚特兰大球员库尔蒂奇大禁区左侧右脚射门,被防守球员封堵.给他传球的是A-戈麦斯.                   45'尤文第45分钟大门告失
45'进球啦！！！亚特兰大球员A-孔蒂小禁区右侧右脚射门,球从右下角飞进球门,球进了!助攻的是A-戈麦斯. 亚特兰大 1-0 尤文图斯.                   45'尤文第45分钟大门告失
45'+1'上半场结束,亚特兰大 1-0 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   45'尤文第45分钟大门告失
47'阿莱士-桑多罗将球处理出底线,亚特兰大获得角球.                   45'尤文第45分钟大门告失
48'博努奇将球处理出底线,亚特兰大获得角球.                   45'尤文第45分钟大门告失
50'亚特兰大球员斯皮纳佐拉自摆乌龙,亚特兰大 1-1 尤文图斯                   50'下半时开始5分钟，尤文就追平比分
51'射门!!!尤文图斯球员迪巴拉大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是曼祖基奇.                   50'下半时开始5分钟，尤文就追平比分
51'Etrit Berisha将球处理出底线,尤文图斯获得角球.                   50'下半时开始5分钟，尤文就追平比分
51'射门!!!尤文图斯球员伊瓜因球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   50'下半时开始5分钟，尤文就追平比分
83'进球啦！！！尤文图斯球员阿尔维斯小禁区右侧头球,球从中路飞进球门,球进了!助攻的是皮亚尼奇. 亚特兰大 1-2 尤文图斯.                   83'尤文第83分钟反超比分
83'黄牌！尤文图斯球员阿尔维斯因为进球后脱衣庆祝,被主裁判出示黄牌.                   83'尤文第83分钟反超比分
84'射门!!!亚特兰大球员A-戈麦斯大禁区外右脚射门,被对方守门员横身扑出.                   83'尤文第83分钟反超比分
85'亚特兰大球员A-戈麦斯拼抢犯规,对手获得控球权.                   83'尤文第83分钟反超比分
85'基耶里尼为尤文图斯赢得一个任意球.                   83'尤文第83分钟反超比分
85'黄牌！亚特兰大球员A-戈麦斯因为恶意犯规,被主裁判出示黄牌.                   83'尤文第83分钟反超比分
86'亚特兰大换人,佩塔尼亚换下斯皮纳佐拉                   83'尤文第83分钟反超比分
89'射门!!!亚特兰大球员Remo Freuler大禁区中央右脚射门,被对方守门员横身扑出.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
89'进球啦！！！亚特兰大球员Remo Freuler球门线跟前右脚射门,球从右上角飞进球门,球进了! 亚特兰大 2-2 尤文图斯.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'亚特兰大球员佩塔尼亚拼抢犯规,对手获得控球权.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'基耶里尼为尤文图斯赢得一个任意球.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'+2'尤文图斯球员莱米纳大禁区中央尝试头球,可惜皮球高出球门.给他传球的是阿莱士-桑多罗.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'+3'亚特兰大球员Hans Hateboer拼抢犯规,对手获得控球权.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'+3'阿莱士-桑多罗为尤文图斯赢得一个任意球.                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
90'+4'下半场结束,亚特兰大 2-2 尤文图斯                   89'第89分钟，亚特兰大右路传中在禁区内连续折射，弗罗伊勒在门前7米处左脚推射被布冯扑出后铲射入网，2比2
