14'马夏尔左路带球内切                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
14'禁区横敲博格巴，被拦截                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
14'外围再组织                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
15'曼联进球了！！！                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
15'博格巴！！！！                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
15'埃雷拉躲过铲截，分马夏尔，直塞禁区，博格巴转身小角度射门入近角                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
15'富勒姆0-1落后曼联                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
16'塞里中场斜传禁区，达洛特解围                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
17'德赫亚接应回传球，和逼抢上来的米特洛维奇拼脚                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
17'球开出去，被米特洛维奇撞倒                   14'曼联第14分钟取得领先，马夏尔传球，博格巴禁区左侧小角度射入上角
65'勒马尚的犯规                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
65'博格巴来主罚                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
65'一蹴而就                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
66'里科扑对了方向，但是角度太刁                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
66'博格巴梅开二度，0-3                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
67'钱伯斯斜传禁区，斯莫林顶出                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
68'克里斯蒂右路拿一个角球                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
68'角球去后点没有找到队友                   65'曼联第65分钟锁定胜局，卢卡库传球，马塔禁区边缘内被勒马钱德撞倒，博格巴主罚点球命中，3-0
77'布莱恩左路起球，米特洛维奇抢点去前门柱                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
77'巴贝尔接力打在立柱上弹出                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
78'富勒姆换人，巴贝尔被凯尔尼换下                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
80'比埃托左路拿球回带，被绊倒                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
80'桑切斯前场断球，进禁区                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
80'传后点，大了                   77'第77分钟，巴贝尔小禁区左侧补射打中近角立柱反弹后弹出底线
