1'上半场比赛开始！！                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
1'首先开球的是水晶宫                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
2'扎哈中场拿球人球分过                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
2'再往前突破的时候被断                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
3'水晶宫前场接球越位了                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
3'维纳尔杜姆前场背身接球                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
4'没有处理好                   1'坐镇主场的利物浦第1分钟占据主动，维纳尔杜姆和库蒂尼奥的外围射门均被封堵
24'库蒂尼奥任意球直接打门                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
24'1-0！！！                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
24'库蒂尼奥！！！                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
24'库蒂尼奥任意球直接打门，球绕过人墙后直窜球门死角！！！                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
25'这球亨内塞可能受到了阳光的干扰                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
26'卢卡斯前场拼抢犯规                   24'利物浦第24分钟取得领先，库蒂尼奥25码处任意球直接破门
43'1-1！！！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
43'本特克！！！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
43'本特克进球后面无表情！！！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
43'一股杀气啊                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
43'水晶宫长传给到禁区边缘，队友接球后直接送小禁区边缘，本特克跟进后推射将球打进！！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
44'利物浦中场拿球控一下                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
45'水晶宫中场拦截下来                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
45'长传打到底线                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'洛夫伦将球先解围                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'水晶宫右路起球送禁区                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'后点又是本特克接球                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'胸部停球后直接打近角                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'米尼奥莱这边将球得到                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'注意力很集中啊                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'上半场补时2分钟！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'下半场比赛开始！！                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
46'下半场比赛由利物浦开球                   43'水晶宫第43分钟扳平比分，卡巴耶突入禁区右侧传中，本特克小禁区边缘凌空垫射入网，1-1
52'利物浦这边禁区内有机会                   52'第52分钟，库蒂尼奥突破庞琼和沃德后在小禁区前的射门又被封堵
52'库蒂尼奥晃开三名防守球员后推射                   52'第52分钟，库蒂尼奥突破庞琼和沃德后在小禁区前的射门又被封堵
52'补防的水晶宫球员太多了                   52'第52分钟，库蒂尼奥突破庞琼和沃德后在小禁区前的射门又被封堵
52'还是被后卫挡了出去                   52'第52分钟，库蒂尼奥突破庞琼和沃德后在小禁区前的射门又被封堵
74'1-2！！！                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
74'本特克！！！                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
74'梅开二度！！！                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
75' 水晶宫这边角球机会，球送点前点，双方球员都没有碰到，中路本特克跟进冲顶破门！！                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
75'本特克禁区后再次面无表情                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
75'现在难题留给了利物浦                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
77'水晶宫这边要准备换人                   74'水晶宫第74分钟反超比分，庞琼开出角球，菲尔米诺和马蒂普均解围踢空，本特克近距离冲顶入网，2-1
