7'胡尔克拿球反击，顾操回防，战术犯规，勾倒了胡尔克                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
7'顾操被主裁判出示了黄牌警告！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
7'这也是本场比赛的第一张黄牌！！！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
7'多奇卡尔前场拿球，强突被贺惯放倒在地！！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
7'建业前场中路的任意球机会！！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
8'多奇卡尔任意球，回传后场给路尧控制                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
8'上港前场右路的直塞球                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
9'龙成回防放铲，成功断球！！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
9'冯卓毅拿球反击，分球给到前场巴索戈                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
9'巴索戈的强突下底，王燊超回防将球破坏                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
9'建业开场进攻很猛，特别是右路！！                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
10'艾哈迈多夫后场拿球，带球到前场                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
10'分球左侧给武磊                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
10'武磊拿球内切没机会，选择回传后场                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
10'建业后场抢断，柯钊左路拿球反击                   7'比赛到第7分钟，河南中卫顾操在中场犯规吃到黄牌
14'吕文君后场拿球，分球蔡慧康                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
14'蔡慧康中路强突，直塞打身后                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
14'武磊插上到禁区接应                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
14'面对出击的吴龑，趟球，被挡                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
14'吴龑没拿住，武磊过来得球打门，打偏！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
15'艾哈迈多夫前场中路拿球，分球奥斯卡                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
15'奥斯卡停球一拨，闪开角度，远射，打飞！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
16'巴索戈前场中路拿球，转身强突                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
16'蔡慧康上抢，绊倒了巴索戈，犯规！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
16'建业获得了前场中路的任意球机会！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
17'多奇卡尔任意球斜传到禁区，被解围出来！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
17'胡尔克外围拿球，准备转身强突                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
17'路尧原地战术犯规，放倒了胡尔克，犯规！！                   14'第14分钟奥斯卡离门30米外带开冯卓毅防守，直接起脚远射，皮球擦着横梁飞出
21'角球战术配合，多奇卡尔传中到禁区中路                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
21'贺惯的头球解围出底线！！                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
21'建业继续左侧角球，没能形成威胁！！                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
22'胡尔克拿球强突路尧，被断了                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
22'巴索戈前场左路拿球，单挑石柯                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
22'虚晃一枪，回传给到多奇卡尔                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
22'多奇卡尔拿球内切，禁区外的远射                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
22'颜骏凌奋力将球封堵出来，贺惯头球解围出边线                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
23'奥斯卡中圈背身拿球，冯卓毅上抢拉人犯规！                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
24'奥斯卡中场拿球，斜塞左前方找前插的蔡慧康                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
24'蔡慧康拿球强突，趟球力量有点大                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
24'顾操补防过来，放铲解围                   21'主队在第21分钟也给出强硬回答，多奇卡尔禁区外左路怒射前点，球被颜骏凌快速蹲地用掌击出
28'艾哈迈多夫后场防守，放倒了巴索戈！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
28'艾哈迈多夫被主裁判出示了黄牌警告！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
29'建业再次获得前场右路的任意球机会！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
29'多奇卡尔任意球斜传禁区                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
29'冯卓毅倒地，魏震头球解围！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
29'裁判鸣哨，给了建业点球！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
30'裁判示意禁区内有拉人动作，冯卓毅被拉倒！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
30'多奇卡尔主罚，一蹴而就！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
30'建业主场1-0领先上港！！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
31'多奇卡尔助跑，右脚抽射球门左下角，颜骏凌判断对了方向，但是球速太快，鞭长莫及啊！                   28'第28分钟艾哈迈多夫踢倒巴索戈也吃到黄牌，多奇卡尔右路任意球开出，裁判突然吹哨判罚点球
33'直塞找胡尔克，胡尔克再给奥斯卡                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
33'奥斯卡分球右侧找上来的石柯                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
33'石柯上来慢了点，球先出边线！！！                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
34'王燊超左路拿球，强突被王飞拦截                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
34'双方倒地，王燊超再抢，主裁判吹罚犯规                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
34'武磊再次找裁判抗议，情绪很激动，被出示了黄牌，冷静一下！！                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
35'胡尔克左路拿球，单挑顾操                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
35'一个加速强突，顾操侧后方放铲，将球铲出了边线                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
35'王燊超左路拿球，强突传中到门前                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
35'吕文君抢点慢了，没碰到                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
35'球滑门而过，到了后点                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
36'柯钊抢在奥斯卡之前将球控制                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
36'柯钊左路强突，分球中间找多奇卡尔                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
36'贺惯补防卡位，成功断球                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
36'多奇卡尔再抢，推人犯规！！                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
36'王飞右路拿球强突                   33'第33分钟武磊对主裁石祯禄判罚不满，也吃到到黄牌
37'吕文君回防，身后拉人犯规！！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
37'巴索戈右路拿球，强突到角旗附近                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
37'王燊超逼抢，上抢卡位                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
37'巴索戈身后再抢，球出底线                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
38'边裁给了建业角球，王燊超很不满，但无能为力                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
38'多奇卡尔的角球开出到门前，冯卓毅的头球，顶偏！！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
39'王燊超左路拿球，过了中线                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
39'分球武磊，武磊中路强突                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
39'顾操补防放铲，绊倒武磊，犯规！！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
39'上港获得大禁区弧顶的任意球机会！！！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
40'胡尔克任意球直接打门，越过人墙                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
40'直奔球门右下方，被吴龑稳稳拿到！！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
40'目前的射门：建业5次射门，3次射正；上港3次射门，1次射正！                   37'第37分钟多奇卡尔开出右路角球，冯卓毅侧身钩射偏出
42'胡尔克中场拿球，强突后送出直塞                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
43'吕文君前插接应，柯钊回防将球破坏！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
43'武磊前场左路和王燊超的配合，被破坏                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
43'冯卓毅后场过顶球，魏震将球解围出边线！！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
44'奥斯卡中场拿球，分球右路找吕文君                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
44'柯钊上抢，踢翻了吕文君，犯规！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
44'柯钊被主裁判出示了黄牌警告！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
44'胡尔克任意球斜传禁区，被解围！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'奥斯卡右侧拿球，再突下底，传中被挡出底线                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'上港获得右侧角球                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'胡尔克主罚，开出到门前，吴龑出击打出                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'胡尔克外围再拿，远射，被顾操挡出                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'上半场比赛补时1分钟！！                   42'第42分钟柯钊左路防守踢倒吕文君吃到黄牌
45'奥斯卡右侧拿球，再突下底，传中被挡出底线                   45'第45分钟胡尔克再次远射，又被吴龑扑住
45'上港获得右侧角球                   45'第45分钟胡尔克再次远射，又被吴龑扑住
45'胡尔克主罚，开出到门前，吴龑出击打出                   45'第45分钟胡尔克再次远射，又被吴龑扑住
45'胡尔克外围再拿，远射，被顾操挡出                   45'第45分钟胡尔克再次远射，又被吴龑扑住
45'上半场比赛补时1分钟！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'吕文君前场左路拿球，横传胡尔克                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'胡尔克停球调整两下，禁区弧顶拔脚怒射                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'太正了，被吴龑揽入怀中！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'冯卓毅中场拿球，被蔡慧康放倒在地                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'下半场比赛开始！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'白衣白裤的上港，从画面的左侧向右进攻！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
46'多奇卡尔前场拿球，中路强突                   45'第45分钟胡尔克再次远射，又被吴龑扑住
47'远射，打在防守球员身上，出底线！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
47'建业获得右侧角球机会！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
47'巴索戈角球开出到前点，被解围！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
47'多奇卡尔前场抢断，再传门前                   45'第45分钟胡尔克再次远射，又被吴龑扑住
48'贺惯抢先解围，不然身后冯卓毅已经到位了！！                   45'第45分钟胡尔克再次远射，又被吴龑扑住
48'胡尔克前场左路拿球，内切横传吕文君                   45'第45分钟胡尔克再次远射，又被吴龑扑住
51'顾操补防，放铲将球解围出底线！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
51'上港获得左侧角球机会，没威胁啊！！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
52'上港前场进攻，赢得中路的任意球机会！                   51'第51分钟上港获得禁区外左路任意球机会，胡尔克助跑两步，直接起左脚开打，皮球跃过人墙，直冲球门左侧近端而来
