3'皇家马德里球员C罗大禁区中央尝试左脚射门,可惜皮球稍稍偏出了左球门.                   3'第3分钟，迪马利亚左路传中，C-罗纳尔多晃过莫亚后射门被后卫挡出
5'进球啦！！！赫塔菲球员安赫尔-拉菲塔大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是米库. 皇家马德里 0-1 赫塔菲.                   3'第3分钟，迪马利亚左路传中，C-罗纳尔多晃过莫亚后射门被后卫挡出
6'赫塔菲球员米库拼抢犯规,对手获得控球权.                   3'第3分钟，迪马利亚左路传中，C-罗纳尔多晃过莫亚后射门被后卫挡出
6'伊利亚拉门迪为皇家马德里在右路,赢得一个任意球.                   3'第3分钟，迪马利亚左路传中，C-罗纳尔多晃过莫亚后射门被后卫挡出
14'皇家马德里球员C罗大禁区右侧右脚射门,被防守球员封堵.给他传球的是本泽马.                   14'第14分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵挡出
14'阿莱克西斯将球处理出底线,皇家马德里获得角球.                   14'第14分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵挡出
16'皇家马德里球员本泽马一脚直塞球给阿韦洛亚,但是边裁举旗显示后者已经越位.                   14'第14分钟，本泽马传球，C-罗纳尔多禁区右侧的射门被封堵挡出
21'赫塔菲球员佩德罗-莱昂拼抢犯规,对手获得控球权.                   21'第21分钟，迪马利亚左路任意球传中，但C-罗纳尔多12码处捅射偏出右侧立柱
21'C罗为皇家马德里在左路,赢得一个任意球.                   21'第21分钟，迪马利亚左路任意球传中，但C-罗纳尔多12码处捅射偏出右侧立柱
21'皇家马德里球员C罗大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是迪马利亚.                   21'第21分钟，迪马利亚左路任意球传中，但C-罗纳尔多12码处捅射偏出右侧立柱
24'佩德罗-莱昂为赫塔菲在右路,赢得一个任意球.                   21'第21分钟，迪马利亚左路任意球传中，但C-罗纳尔多12码处捅射偏出右侧立柱
24'皇家马德里球员阿韦洛亚拼抢犯规,对手获得控球权.                   21'第21分钟，迪马利亚左路任意球传中，但C-罗纳尔多12码处捅射偏出右侧立柱
33'黄牌！赫塔菲球员米歇尔因为故意手球,被主裁判出示黄牌.                   33'皇马第33分钟反超比分，阿莱克西斯后场争顶时肘击佩佩被罚黄牌，C-罗纳尔多任意球射门被人墙中的米歇尔用手挡出，裁判判罚极刑，C-罗纳尔多点球低射左下角入网，2-1
33'进球啦！！！皇家马德里球员C罗右脚射门,球从左下角飞进球门,球进了! 皇家马德里 2-1 赫塔菲.                   33'皇马第33分钟反超比分，阿莱克西斯后场争顶时肘击佩佩被罚黄牌，C-罗纳尔多任意球射门被人墙中的米歇尔用手挡出，裁判判罚极刑，C-罗纳尔多点球低射左下角入网，2-1
35'阿莱克西斯将球处理出底线,皇家马德里获得角球.                   33'皇马第33分钟反超比分，阿莱克西斯后场争顶时肘击佩佩被罚黄牌，C-罗纳尔多任意球射门被人墙中的米歇尔用手挡出，裁判判罚极刑，C-罗纳尔多点球低射左下角入网，2-1
35'皇家马德里球员佩佩大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是迪马利亚.                   33'皇马第33分钟反超比分，阿莱克西斯后场争顶时肘击佩佩被罚黄牌，C-罗纳尔多任意球射门被人墙中的米歇尔用手挡出，裁判判罚极刑，C-罗纳尔多点球低射左下角入网，2-1
41'射门!!!皇家马德里球员本泽马大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是卡瓦哈尔.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
41'皇家马德里球员迪马利亚大禁区外尝试左脚射门,可惜皮球高出球门.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
42'安赫尔-拉菲塔为赫塔菲在左路,赢得一个任意球.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
42'皇家马德里球员卡瓦哈尔拼抢犯规,对手获得控球权.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
42'黄牌！皇家马德里球员卡瓦哈尔因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
44'纳乔将球处理出底线,赫塔菲获得角球.                   41'第41分钟，卡瓦哈尔人球分过后右路传中，但本泽马近距离错过射门机会
47'皇家马德里球员本泽马球门右侧小角度尝试右脚射门,可惜皮球偏出球门.                   47'第47分钟，迪马利亚直传，赫塔菲后卫门将配合失误，本泽马禁区右侧接近零角度射空门偏出
47'射门!!!皇家马德里球员本泽马大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是C罗.                   47'第47分钟，迪马利亚直传，赫塔菲后卫门将配合失误，本泽马禁区右侧接近零角度射空门偏出
48'射门!!!赫塔菲球员萨拉维亚大禁区外右脚射门,被对方守门员横身扑出.                   47'第47分钟，迪马利亚直传，赫塔菲后卫门将配合失误，本泽马禁区右侧接近零角度射空门偏出
50'射门!!!皇家马德里球员C罗大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊斯科.                   47'第47分钟，迪马利亚直传，赫塔菲后卫门将配合失误，本泽马禁区右侧接近零角度射空门偏出
50'射门!!!皇家马德里球员C罗大禁区外右脚射门,被对方守门员横身扑出.给他传球的是伊斯科.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
51'拉戈为赫塔菲赢得一个任意球.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
51'皇家马德里球员赫迪拉拼抢犯规,对手获得控球权.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
51'佩佩将球处理出底线,赫塔菲获得角球.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
53'皇家马德里球员C罗大禁区左侧左脚射门,被防守球员封堵.给他传球的是阿韦洛亚.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
53'里桑德罗将球处理出底线,皇家马德里获得角球.                   50'第50分钟，伊斯科传球，C-罗纳尔多禁区前劲射被莫亚扑挡后没收
56'皇家马德里球员迪马利亚大禁区外尝试左脚射门,可惜皮球偏出球门.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
56'卡斯特罗为赫塔菲赢得一个任意球.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
56'皇家马德里球员卡瓦哈尔拼抢犯规,对手获得控球权.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
57'赫塔菲球员佩德罗-莱昂拼抢犯规,对手获得控球权.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
57'阿韦洛亚为皇家马德里赢得一个任意球.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
58'赫塔菲球员阿罗约拼抢犯规,对手获得控球权.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
58'阿韦洛亚为皇家马德里在左路,赢得一个任意球.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
59'进球啦！！！皇家马德里球员伊斯科大禁区中央右脚射门,球从右下角飞进球门,球进了! 皇家马德里 3-1 赫塔菲.                   56'第56分钟，迪马利亚25码处任意球直接射门高出
61'射门!!!皇家马德里球员C罗大禁区外右脚射门,被对方守门员横身扑出.给他传球的是迪马利亚.                   61'第61分钟，迪马利亚传球，C-罗纳尔多禁区弧顶外半凌空抽射被莫亚扑出
61'莫亚将球处理出底线,皇家马德里获得角球.                   61'第61分钟，迪马利亚传球，C-罗纳尔多禁区弧顶外半凌空抽射被莫亚扑出
64'赫塔菲球员P-莫斯克拉拼抢犯规,对手获得控球权.                   61'第61分钟，迪马利亚传球，C-罗纳尔多禁区弧顶外半凌空抽射被莫亚扑出
64'纳乔为皇家马德里赢得一个任意球.                   61'第61分钟，迪马利亚传球，C-罗纳尔多禁区弧顶外半凌空抽射被莫亚扑出
64'皇家马德里球员伊斯科尝试右脚射门,可惜皮球高出右上角球门.给他传球的是伊利亚拉门迪.                   61'第61分钟，迪马利亚传球，C-罗纳尔多禁区弧顶外半凌空抽射被莫亚扑出
65'P-莫斯克拉为赫塔菲赢得一个任意球.                   65'第65分钟，萨拉比亚传球，迭戈-卡斯特罗禁区弧内低射被迭戈-洛佩斯得到
65'皇家马德里球员阿韦洛亚拼抢犯规,对手获得控球权.                   65'第65分钟，萨拉比亚传球，迭戈-卡斯特罗禁区弧内低射被迭戈-洛佩斯得到
65'射门!!!赫塔菲球员卡斯特罗大禁区外左脚射门,被对方守门员横身扑出.给他传球的是萨拉维亚.                   65'第65分钟，萨拉比亚传球，迭戈-卡斯特罗禁区弧内低射被迭戈-洛佩斯得到
66'皇家马德里球员伊斯科大禁区中央右脚射门,被防守球员封堵.给他传球的是本泽马.                   65'第65分钟，萨拉比亚传球，迭戈-卡斯特罗禁区弧内低射被迭戈-洛佩斯得到
66'阿莱克西斯将球处理出底线,皇家马德里获得角球.                   65'第65分钟，萨拉比亚传球，迭戈-卡斯特罗禁区弧内低射被迭戈-洛佩斯得到
71'射门!!!赫塔菲球员萨拉维亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是拉戈.                   71'第71分钟，拉戈传球，萨拉比亚25码处劲射被迭戈-洛佩斯扑出
73'皇家马德里球员本泽马球门线跟前尝试头球,可惜皮球稍稍高出球门.给他传球的是阿韦洛亚.                   71'第71分钟，拉戈传球，萨拉比亚25码处劲射被迭戈-洛佩斯扑出
75'皇家马德里卡瓦哈尔受伤倒地,比赛暂停                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
76'暂停结束,球员们重新开始比赛.                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
76'赫塔菲球员佩德罗-莱昂拼抢犯规,对手获得控球权.                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
76'伊利亚拉门迪为皇家马德里在对方半场,赢得一个任意球.                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
77'黄牌！赫塔菲球员佩德罗-莱昂因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
77'皇家马德里换人,摩德里奇换下伊利亚拉门迪                   74'第74分钟，本泽马直传，C-罗纳尔多突破，在禁区外试图晃过莫亚时摔倒，裁判未予理会
78'皇家马德里球员本泽马球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是卡瓦哈尔.                   78'第78分钟，卡瓦哈尔禁区右侧传中，本泽马远点近距离头球攻门偏出左侧立柱
79'皇家马德里球员C罗大禁区左侧右脚射门,命中门柱右侧立柱.给他传球的是迪马利亚.                   78'第78分钟，卡瓦哈尔禁区右侧传中，本泽马远点近距离头球攻门偏出左侧立柱
80'皇家马德里换人,莫拉塔换下本泽马                   78'第78分钟，卡瓦哈尔禁区右侧传中，本泽马远点近距离头球攻门偏出左侧立柱
80'皇家马德里球员伊斯科一脚直塞球给莫拉塔,但是边裁举旗显示后者已经越位.                   78'第78分钟，卡瓦哈尔禁区右侧传中，本泽马远点近距离头球攻门偏出左侧立柱
82'皇家马德里球员莫拉塔大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是摩德里奇.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
83'皇家马德里球员莫拉塔一脚直塞球给C罗,但是边裁举旗显示后者已经越位.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
84'皇家马德里换人,赫塞换下伊斯科                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
84'米歇尔为赫塔菲赢得一个任意球.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
84'皇家马德里球员赫迪拉拼抢犯规,对手获得控球权.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
84'皇家马德里球员赫塞手球犯规,对手获得球权.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
85'赫塔菲球员米歇尔拼抢犯规,对手获得控球权.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
85'赫塞为皇家马德里在对方半场,赢得一个任意球.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
85'裁判将赫塔菲的米歇尔直接红牌罚下.                   82'第82分钟，摩德里奇传球，莫拉塔禁区右侧11码处低射偏出远角
85'赫塔菲球员米歇尔拼抢犯规,对手获得控球权.                   85'第85分钟，防线最后一人的米歇尔禁区边缘外铲倒赫塞被红牌罚下，C-罗纳尔多20码处任意球射门高出
85'赫塞为皇家马德里在对方半场,赢得一个任意球.                   85'第85分钟，防线最后一人的米歇尔禁区边缘外铲倒赫塞被红牌罚下，C-罗纳尔多20码处任意球射门高出
85'裁判将赫塔菲的米歇尔直接红牌罚下.                   85'第85分钟，防线最后一人的米歇尔禁区边缘外铲倒赫塞被红牌罚下，C-罗纳尔多20码处任意球射门高出
86'皇家马德里球员C罗大禁区外尝试右脚射门,可惜皮球稍稍高出球门.                   85'第85分钟，防线最后一人的米歇尔禁区边缘外铲倒赫塞被红牌罚下，C-罗纳尔多20码处任意球射门高出
88'拉法将球处理出底线,皇家马德里获得角球.                   85'第85分钟，防线最后一人的米歇尔禁区边缘外铲倒赫塞被红牌罚下，C-罗纳尔多20码处任意球射门高出
