1'上半场比赛开始！！                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
1'首先开球的是利物浦                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
1'利物浦后场转移                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
1'沃尔特斯将球破坏                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
2'马内右路带球突破                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
2'在后卫的干扰下被碰出边线                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
2'奥里吉前场拿球送直塞到禁区                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
2'维纳尔杜姆跟进慢了半拍                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
2'这球塞的还是不错的                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
3'利物浦换到左路来进攻                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
3'肖克罗斯先将球解围                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
3'乔阿伦中场拿球                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
3'被勾了一下                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
4'利物浦中场断球下来                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
4'马内右路起球送禁区                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
4'菲尔米诺后点的包抄没有拿到                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
4'这球兜的弧度不够                   1'双方第1分钟打出快节奏，但进攻均缺乏效率
12'斯托克城长传打到前场                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
12'分边给到右路                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
12'在挑传到禁区里                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
12'0-1！！！                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
12'沃尔特斯！！！                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
14'利物浦后场停球直接给到了对方，斯托克城这边左路下底到禁区，前点的沃尔特斯头球攻门顶近角，米尼奥莱做出了扑救动作但还是没能阻挡球入网！！                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
14'利物浦这边专注力还是不够                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
14'镜头也是对准了克洛普                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
15'利物浦这边有球员受伤                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
15'裁判也是先暂停了比赛                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
15'受伤的是洛夫伦                   12'斯托克城第12分钟取得领先，马内回防解围落空，皮特斯左路传中，沃尔特斯前点小禁区边缘抢在洛夫伦之前头球攻门，皮球被米尼奥莱扑挡后入网
