1'上半场比赛开始了                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
1'利物浦把球开出                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
1'给到后场的洛夫伦                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
2'菲尔米诺外围突施冷箭                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
2'古赞一个侧扑把球扑住了                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
3'库蒂尼奥带球到了大禁区前沿右侧                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
3'一脚起球传中，禁区内钱伯斯头球解围                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
4' 洛夫伦低平球向前给                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
4'这球被弗兰德大脚踢出了边线                   1'利物浦第1分钟展开积极攻势，拉拉纳传球，菲尔米诺25码处射门被古赞没收
24' 利德比特后场断下皮球                   23'第23分钟出现争议，巴姆福德同福肖踢墙配合后禁区右侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
24' 再大脚把球开出                   23'第23分钟出现争议，巴姆福德同福肖踢墙配合后禁区右侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
25'唐宁一脚起球传中，班福德跟上头球一顶，偏了                   23'第23分钟出现争议，巴姆福德同福肖踢墙配合后禁区右侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
26'拉拉纳一脚起球传中                   23'第23分钟出现争议，巴姆福德同福肖踢墙配合后禁区右侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
26'被古赞直接抱住                   23'第23分钟出现争议，巴姆福德同福肖踢墙配合后禁区右侧在洛夫伦防守下摔倒，裁判拒绝判罚点球
33'维纳尔杜姆再往前给                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
33' 这球被吉布森大脚解围                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
33'库蒂尼奥低平球向前给                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
34'斯图里奇禁区内拿球转身打门偏出                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
36'埃姆雷詹低平球斜传左路                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
36'这球被利德比特直接断下                   33'利物浦第33分钟险些破门，库蒂尼奥传球，拉拉纳跑动牵扯防守，斯图里奇禁区边缘内低射擦右侧立柱偏出
51' 大禁区前沿位置！！库蒂尼奥兜出一脚弧线球射门！呼呼呼呼呼呼！！皮球直取球门！！皮球直入球门左侧！！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'连续的传递，皮球给到了前场右路的维纳尔杜姆                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'维纳尔杜姆！！一脚横敲！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'埃姆雷詹把球分给左边的米尔纳！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'库蒂尼奥往身前送出一脚斜线球！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'一脚分球！！给到插上的米尔纳！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
52'禁区后点！！菲尔米诺把球停下！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
53'右脚凌空抽射！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
53'皮球到了外围被克莱恩碰出底线                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
53'ibibibi~~ 裁判一声哨响！！示意盖德斯特抢球犯规！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
53'利物浦后场定位球开出                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
54'低平球斜传给到右路的维纳尔杜姆！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
54'大禁区前沿右侧！！菲尔米诺把球一分！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
54'米堡后场定位球开出！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
54'这球被米尔纳直接破坏出了边线！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
54'米堡前场右路边线球掷出！！                   51'利物浦第51分钟扩大比分，库蒂尼奥25码处任意球直接射门，皮球弹地后窜入左下角，2-0
56'拉拉纳也进球了！！！                   56'利物浦第56分钟锁定胜局，维纳尔杜姆头球摆渡，拉拉纳10码处单刀低射右下角入网，3-0
