6'威克姆为桑德兰在右路,赢得一个任意球.                   6'第6分钟，亚当-约翰逊右侧开出任意球，奥谢在门前7米处顶出弹地球偏出右门柱
6'曼城球员德米凯利斯拼抢犯规,对手获得控球权.                   6'第6分钟，亚当-约翰逊右侧开出任意球，奥谢在门前7米处顶出弹地球偏出右门柱
6'桑德兰球员奥谢大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是约翰逊.                   6'第6分钟，亚当-约翰逊右侧开出任意球，奥谢在门前7米处顶出弹地球偏出右门柱
12'孔帕尼将球处理出底线,桑德兰获得角球.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
12'桑德兰球员奥谢大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是S-拉尔森.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
14'曼城球员费尔南迪奥拼抢犯规,对手获得控球权.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
14'科尔巴克为桑德兰在对方半场,赢得一个任意球.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
14'曼城球员萨巴莱塔拼抢犯规,对手获得控球权.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
14'威克姆为桑德兰在左路,赢得一个任意球.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
15'德米凯利斯将球处理出底线,桑德兰获得角球.                   12'第12分钟，塞巴斯蒂安-拉尔森左侧开出角球，奥谢力压孔帕尼，在门前6米处顶高
47'曼城球员内格雷多大禁区中央尝试头球,可惜皮球高出球门.                   46'1分钟后，亚当-约翰逊直传，博里尼右路获得单刀，但射门角度已经太小，低射偏出远门柱
48'威克姆为桑德兰在对方半场,赢得一个任意球.                   46'1分钟后，亚当-约翰逊直传，博里尼右路获得单刀，但射门角度已经太小，低射偏出远门柱
48'曼城球员哈维-加西亚拼抢犯规,对手获得控球权.                   46'1分钟后，亚当-约翰逊直传，博里尼右路获得单刀，但射门角度已经太小，低射偏出远门柱
28'桑德兰球员博里尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是马科斯-阿隆索.                   28'第28分钟，阿圭罗禁区右侧被布朗铲倒表情痛苦，主裁判阿特金森无动于衷，慢镜显示布朗鞋底踹到阿圭罗右脚踝上，桑德兰打出反击，博里尼在门前25米处低射偏出左门柱
