5'小禁区附近埃弗顿破坏出底线！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
5'角球！后点！费莱尼！没机会！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
5'左路拉什福德拿到！遭遇围抢！埃弗顿犯规了！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
6'曼联定位球！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
6'左路拉什福德回敲！失误了！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
6'巴克利低平球给中路卢卡库！罗霍贴上来！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
6'直接出脚解围！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
7'还是埃弗顿球权！给到左路贝恩斯！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
7'再横敲中圈附近！双方拼抢！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
7'戴维斯拿下来！回给身后的威廉姆斯！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
7'大脚直接向前！后场拜利断下！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
8'中路米拉拉斯拿球！转身遭遇逼抢！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
8'裁判响哨！米拉拉斯犯规了！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
8'曼联后场定位球！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
8'左路罗霍分给拜利！                   5'开场仅5分钟，伊布强突禁区左肋的射门被阿什利-威廉姆斯及时铲堵
