16'图维尔发门球出来                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'萨帕科斯塔顶给克里斯滕森                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'法布雷加斯直传，威廉一顺，莫拉塔控球，分给埃默森                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'威廉接应，回传给克里斯滕森，转移给卡希尔                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'倒给右路的萨帕科斯塔                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'法布雷加斯接应交给佩德罗                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
16'佩德罗直传                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
17'莫拉塔单刀了，挑射，居然打偏了                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
17'打在了立柱上                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
17'莫拉塔浪费了一个黄金机会                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
17'萨帕科斯塔的起球，菲奥拉解围                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
17'切尔西继续中场控球                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'法布雷加斯转移给萨帕科斯塔                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'回传给卡希尔                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'克里斯滕森分给埃默森                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'威廉接应交给奇克                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'横传，萨帕科斯塔上来拿球                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'还是倒出来                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'克里斯滕森分左侧的科瓦契奇                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
18'威廉接应在给科瓦契奇                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
19'奇克的直传，莫拉塔打门被维尼修斯拦截出来                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
19'斯托皮拉解围出边线                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
19'佩德罗传中被维尼修斯顶出禁区                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
19'埃默森来一脚远射，打偏了                   16'第16分钟，佩德罗直传，科瓦契奇禁区右肋10码处单刀挑射偏出右侧立柱
70'威廉控球交给巴克利                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
70'分右路的阿扎尔                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
70'回给巴克利，再交给法布雷加斯                   70'切尔西第70分钟打破僵局，法布雷加斯右路直传，威廉头球摆渡，莫拉塔近距离捅射入网
