4'拉莫斯中场放铲，铲翻了对手的进攻球员！！                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
5'西班牙人获得中路的任意球机会，可惜没什么威胁！                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
5'皇马前场的进攻，J罗右路强突，传中球                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
5'后点包抄的阿森西奥放铲，没能碰到！！                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
5'球碰到西班牙人球员出了底线，角球！！                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
5'角球开出到禁区，拉莫斯的头球顶偏！1                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
6'不好意思，刚才信号中断，影响了直播啊！！                   3'开场仅3分钟，拉莫斯失误后无奈犯规被罚黄牌
40'马塞洛左路拿球，无人防守，斜传禁区，本泽马头球轰门顶进，可惜越位无效！                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
40'越位次数：西班牙人1次，皇马2次！                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
41'上半场比赛40分钟了，比分依旧是0-0！！                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
42'本泽马前场逼抢，放翻了拿球的洛佩斯，犯规                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
42'西班牙人差点进球啊！！                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
43'莱奥的头球，差之毫厘！！                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
43'哈维-洛佩兹右路拿球，强突马塞洛，边路传中到禁区                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
43'莱奥插上，抢点头球冲顶，差一点点，球贴着左侧立柱出底线                   40'第40分钟，马塞洛斜传，本泽马头球破门因越位在先被判无效
71'卡瓦哈尔右路拿球，强突后分球套边的巴斯克斯，巴斯克斯低平球到门前，本泽马跟进推射打进！                   71'皇马第71分钟扩大比分，卡瓦哈尔分球，卢卡斯-巴斯克斯禁区右侧边缘低传，本泽马小禁区边缘推射破门，2-0
72'全场比赛72分钟，比分2-0！！！                   71'皇马第71分钟扩大比分，卡瓦哈尔分球，卢卡斯-巴斯克斯禁区右侧边缘低传，本泽马小禁区边缘推射破门，2-0
72'皇马再次换人：7号莫拉塔上，换下进球的9号本泽马！                   71'皇马第71分钟扩大比分，卡瓦哈尔分球，卢卡斯-巴斯克斯禁区右侧边缘低传，本泽马小禁区边缘推射破门，2-0
73'换上的是21号莫拉塔。。。                   71'皇马第71分钟扩大比分，卡瓦哈尔分球，卢卡斯-巴斯克斯禁区右侧边缘低传，本泽马小禁区边缘推射破门，2-0
74'莱奥前场中路拿球，强突遭遇夹击，被巴斯克斯撞翻在地                   71'皇马第71分钟扩大比分，卡瓦哈尔分球，卢卡斯-巴斯克斯禁区右侧边缘低传，本泽马小禁区边缘推射破门，2-0
