1'上半场比赛开始！                   1'曼城第1分钟积极施压
1'热刺率先中圈开球                   1'曼城第1分钟积极施压
2'阿尔德韦雷尔德斜传前场                   1'曼城第1分钟积极施压
2'罗斯左路拿球回敲                   1'曼城第1分钟积极施压
3'阿里前场拿球被拉倒，任意球                   1'曼城第1分钟积极施压
4'一拨一射，但是裁判示意人墙中热刺队员先有犯规                   1'曼城第1分钟积极施压
4'图雷中场回追绊倒了登贝莱                   1'曼城第1分钟积极施压
49'任意球开前点，图雷转身陷入包夹                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
49'传后点，阿圭罗插上垫射打高                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
50'克里希左路拿球过中场                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
50'费尔南多丢球了                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
51'阿里左路做球，罗斯回敲                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
51'登贝莱脚下慢了，被破坏                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
51'孙兴民右路拿球，横敲                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
52'沃克尔右路起球，被顶出                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
52'罗斯左路起球也没有过掉封堵                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
52'裁判示意手球！                   49'曼城第49分钟错过机会，亚亚-图雷挑传热刺防线，无人防守的阿圭罗却射门高出
56'席尔瓦禁区前横敲，图雷射门打偏                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
56'裁判补吹了维默的犯规，绊倒了席尔瓦                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
56'出示黄牌警告了维默                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
57'任意球打在横梁上！                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
57'禁区内一片混战                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
57'洛里把球击出禁区                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
57'图雷错失良机                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
58'凯恩左路拿球突破被绊倒                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
58'埃里克森分左路队友                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
58'萨巴莱塔断球                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
59'阿圭罗回撤中场接应                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
59'维默跟防犯规了                   56'第56分钟，亚亚-图雷任意球直接射门绕过人墙，但洛里斯的扑救令皮球击中立柱弹出
74'罗斯左路下底传中，被奥塔门迪解围                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
74'克里希左路拿球，横敲                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
74'曼城进球了！！！                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
74'伊希纳乔！！！                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
75'克里希左路下底，倒三角传点球点，伊希纳乔跟上爆射破门！                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
75'曼城1-1追平热刺                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
75'此时此刻值得来杯嘉士伯                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
76'曼城换人，克里希被科拉罗夫换下                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
76'卡罗尔中场上抢动作比较大                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
76'裁判黄牌警告了卡罗尔                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
77'明天以後R：握手言和最好                   74'曼城第74分钟扳平比分，克里希同席尔瓦配合后左路传中，无人防守的伊赫纳乔12码处第一时间劲射破门，1-1
83'阿圭罗又被吹了越位                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
83'中场连续争夺                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
83'热刺进球了！！！                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
83'埃里克森！！！                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
84'拉梅拉中路突，直塞，埃里克森进禁区推射破门！                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
84'曼城1-2落后热刺！                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
84'此时此刻值得来杯嘉士伯                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
86'科拉罗夫左路直塞，被拦截                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
86'埃里克森左路突破被破坏                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
86'外围凯恩直接远射打偏                   83'热刺第83分钟再度超出，拉梅拉直传从奥塔门迪双腿间穿过，反越位成功的埃里克森12码处单刀低射破门，2-1
