2'皇马边线发球给右路萨乌尔！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
2'直传球给身前！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
2'雷吉把球踢出了边线！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
2'马竞边线发球给中场勒马尔！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
2'斜传球给右路希门尼斯！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
3'再给身前的埃尔南德斯！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
3'分球前场左侧格列兹曼！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
4'格列兹曼外围一脚打门！打偏击中了边网！                   2'开场仅2分钟，勒马尔传球，格列兹曼禁区左侧小角度射门打在边网
16'皮球被解围出来！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'皇马再开右侧角球！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'角球开到禁区内前点左路！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'双方争顶！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'皮球落下到门前左侧！卡塞米罗站位完全被放空了！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'卡塞米罗！倒钩打门！！！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
16'GOOOOOOOOOOOOOOAL！！！球进了！！！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
17'卡塞米罗倒钩破门！皇马1比0领先马竞！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
19'继续看比赛！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
19'科雷亚带球被卡塞米罗放倒！卡塞米罗的犯规！                   16'皇马第16分钟取得领先，克罗斯开出角球，拉莫斯10码处头球攻门被封堵后偏转，卡塞米罗小禁区边缘抢在奥布拉克出击封堵前倒钩破门
25'横敲给身边本泽马！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
25'本泽马回传一下！球被戈丁破坏！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
25'马竞的反击！给前场一脚直塞球！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'格列兹曼中场策应把球得到！快步推进！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'格列兹曼的单刀机会！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'库尔图瓦主动出击！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'格列兹曼推射打门！！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'皮球穿过库尔图瓦胯下！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
26'GOOOOOOOOOOOOAL！！！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
27'球进了！！但是主裁判在等视频助理裁判的意见！确定格列兹曼有无越位！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
27'视频助理裁判确认进球有效！格列兹曼单刀破门！马竞1-1扳平皇马！                   25'马竞第25分钟扳平，科雷亚抢断维尼修斯后送出直传，格列兹曼单刀突入禁区边缘低射从库尔图瓦双腿间穿过入网，1-1
42'主裁判在等待视频裁判的确认，看看这球是禁区线外的犯规还是禁区内的犯规！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
43'点球！裁判给了皇马点球！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
43'拉莫斯来主罚点球！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
43'拉莫斯助跑！右脚推射球门左下角！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
43'奥布拉克判断对了方向！但是球速太快了！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
43'GOOOOOOOOOOOAL！球进了！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
44'维尼修斯造希门尼斯的点球！拉莫斯操刀点球破门！皇马2比1领先马竞！                   42'皇马第42分钟再次超出，维尼修斯切入禁区左侧边缘在希门尼斯防守下摔倒，裁判判罚极刑，视频裁判检查回放后维持原判，拉莫斯主罚点球命中，2-1
