6'尼古拉-穆勒为美因茨在对方半场,赢得一个任意球.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
6'拜仁慕尼黑球员拉姆危险动作,对手获得控球权.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
6'美因茨球员贝尔大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是盖斯.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
9'美因茨球员贝尔拼抢犯规,对手获得控球权.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
9'施魏因斯泰格为拜仁慕尼黑在对方半场,赢得一个任意球.                   6'开场6分钟，盖斯任意球长传，贝尔头球高出
22'拜仁慕尼黑球员丹特大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是克罗斯.                   22'第22分钟，克罗斯右侧开出任意球，丹特点球点争顶掠过横梁
24'帕克为美因茨赢得一个任意球.                   22'第22分钟，克罗斯右侧开出任意球，丹特点球点争顶掠过横梁
24'拜仁慕尼黑球员博阿滕拼抢犯规,对手获得控球权.                   22'第22分钟，克罗斯右侧开出任意球，丹特点球点争顶掠过横梁
35'拜仁慕尼黑球员曼朱基齐大禁区中央右脚射门,被防守球员封堵.                   35'第35分钟，曼朱基奇禁区内头球摆渡，罗本右侧距门18米处停球左脚半凌空扫射偏出近门柱
35'胡里奥-迪亚斯将球处理出底线,拜仁慕尼黑获得角球.                   35'第35分钟，曼朱基奇禁区内头球摆渡，罗本右侧距门18米处停球左脚半凌空扫射偏出近门柱
35'拜仁慕尼黑球员罗本大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是曼朱基齐.                   35'第35分钟，曼朱基奇禁区内头球摆渡，罗本右侧距门18米处停球左脚半凌空扫射偏出近门柱
37'美因茨球员帕克大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是诺韦斯基.                   35'第35分钟，曼朱基奇禁区内头球摆渡，罗本右侧距门18米处停球左脚半凌空扫射偏出近门柱
