7'天津泰达的进攻，赢得角球机会                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
7'角球开出到后点，乔尼伸脚解围出底线                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
7'泰达再次获得右侧角球机会                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
8'杜震宇主罚，开出到后点                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
8'泰达球员头球后蹭，利马跟进，左脚抽射，打飞                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
9'王赟中场争抢时被吹身后推人犯规                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
9'本场比赛是王赟职业生涯的第350场中超比赛，很有意义哦                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
9'查尔顿前场拿球，面对逼抢，回传于涛                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
9'于涛拿球中路强突，胡人天上抢犯规                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
10'于涛禁区弧顶拿球，挑传转移找杨家威                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
10'利马抢在杨家威之前头球解围                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
10'杨家威转身上抢，将球控制住                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
10'回传给到王赟，王赟的强突横传，赢得右侧角球                   7'第7分钟天津队利用角球机会，由利马在小禁区内轰门稍稍打高
26'王赟任意球直接吊门，宗磊出击，无人干扰轻松将球拿到                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
27'聂涛左路拿球，强突过掉杨家威                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
28'突入禁区，面对唐家庶，横传王新欣                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
28'王新欣的左脚低射远角，球擦着立柱出了底线                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
28'刘殿座对队友这个防守很不满，怒吼一声，两手叉腰，怒目圆睁啊                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
29'刘殿座门球大脚开出到前场，李本舰力压乌塔卡头球顶回                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
29'李本舰左路挑传直线球找瓦伦西亚                   26'客场作战的天津队越打越来气势，第26分钟聂涛从边线附近强行内切，在过掉杨家威后把球望外一拨，王新欣跟上左脚怒射稍偏出界
41'刘殿座手抛球发动反击，可惜乌塔卡并没控制好                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
41'安德烈齐尼奥左侧和杜震宇的配合，唐家庶上抢断掉                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
41'过度给到杨家威，杨家威横传于涛                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
42'于涛带球过了中线，分边再给杨家威                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
42'杨家威上来晚了一点，争抢中撞倒了聂涛，犯规                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
43'胡人天右路的横传球到禁区，姜嘉俊回防将球挡出                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
43'胡人天得球，左脚再传，又被后卫挡出                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
43'姜嘉俊回防中堵枪眼，被打的不轻，躺在自家禁区半天没起来                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
44'比赛暂时中断，姜嘉俊接受队医检查后，慢慢起身，出场治疗                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
44'申鑫中场拿球，叶重秋的斜传球找左侧上去的孙凯                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
44'可惜传球力量太大，孙凯拼了，还是没拿到                   41'第41分钟胡人天传中踢中姜嘉俊腹部，后者倒地一时无法起身，比赛暂停，双方队员乘此机会赶紧到场边补水
57'白岳峰倒在了禁区内，不过裁判并不理会，比赛继续                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
58'泰达前场继续进攻，杜震宇的直塞找瓦伦西亚                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
58'结果没掌握好，直接出了底线                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
58'哎呀，好机会，可惜包抄的泰达球员慢了啊                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
58'杜震宇左路拿球，内切，大禁区线上横传门前                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
59'前点的瓦伦西亚没能碰到，后点的胡人天慢了点，球被孙凯抢先伸脚解围                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
59'这球很危险，只要后点的泰达球员碰到，必进无疑啊                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
59'刘殿座这个球已经失去了位置                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
60'申鑫的一次反击，后场过顶球找乌塔卡                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
60'乌塔卡胸部停球，面对阿里汗，内切摆脱                   57'第57分钟泰达在左路打出二过二配合，杜震宇下底传中，前点瓦伦西亚漏过，后点孙凯拦在王新欣之前奋不顾身把球铲出危险地带
