8'尤文前场左侧任意球！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
8'皮亚尼奇交给身边C罗                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
8'C罗直接打门！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
8'偏出了边线啊！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
9'林孔右侧长传禁区！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
9'球出了底线！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
10'佩林长传前场！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
10'争顶后林孔得球！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
10'博努奇长传前场左侧！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
11'球被解围出底线                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
11'尤文左侧角球！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
11'给到后点！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
11'埃姆雷-詹拼抢犯规了！                   8'开场8分钟，皮亚尼奇左侧开出角球，C罗禁区前沿抽射奔着远端角旗而去
71'桑德罗分中路曼朱基奇！                   70'尤文第70分钟打破僵局
71'直塞禁区前沿C罗！                   70'尤文第70分钟打破僵局
71'突破被破坏了！                   70'尤文第70分钟打破僵局
72'博努奇长传禁区！                   70'尤文第70分钟打破僵局
72'扎扎得球回传！                   70'尤文第70分钟打破僵局
72'曼朱基奇插上得球！                   70'尤文第70分钟打破僵局
72'被伊查佐绊倒！                   70'尤文第70分钟打破僵局
72'裁判给了点球！                   70'尤文第70分钟打破僵局
73'C罗来主罚！                   70'尤文第70分钟打破僵局
73'C罗暴力点球！                   70'尤文第70分钟打破僵局
73'球进了！！！                   70'尤文第70分钟打破僵局
73'尤文取得领先！                   70'尤文第70分钟打破僵局
48'安萨尔迪左侧传中！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
48'被挡出了底线！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
48'角球给到禁区！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
48'被解围了！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
49'贝洛蒂右侧突破！被皮亚尼奇犯规了！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
49'裁判给了皮亚尼奇黄牌！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
50'都灵任意球给禁区左侧！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
50'被解围出去！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
51'安萨尔迪得球边路突破！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
51'造成埃姆雷-詹犯规！                   48'仅过3分钟，尤文进球被判无效，皮亚尼奇右路任意球斜传，C罗中路头球摆渡，曼朱基奇后点距门4米处左脚小角度推射入网，但被判越位在先
