1'伊利亚拉门迪为皇家马德里在右路,赢得一个任意球.                   1'全场为拉莫斯刚刚去世的祖父默哀1分钟
1'埃尔切球员德尔莫拉尔危险动作,对手获得控球权.                   1'全场为拉莫斯刚刚去世的祖父默哀1分钟
3'射门!!!皇家马德里球员本泽马大禁区外右脚射门,被对方守门员横身扑出.给他传球的是迪马利亚.                   1'全场为拉莫斯刚刚去世的祖父默哀1分钟
3'马努-赫雷拉将球处理出底线,皇家马德里获得角球.                   1'全场为拉莫斯刚刚去世的祖父默哀1分钟
4'西斯马将球处理出底线,皇家马德里获得角球.                   1'全场为拉莫斯刚刚去世的祖父默哀1分钟
8'皇家马德里球员赫塞大禁区外右脚射门,被防守球员封堵.给他传球的是阿韦洛亚.                   8'第8分钟，吉尔传球，科罗禁区右侧12码处小角度射门被迭戈-洛佩斯没收
8'射门!!!埃尔切球员科罗大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卡莱斯-希尔.                   8'第8分钟，吉尔传球，科罗禁区右侧12码处小角度射门被迭戈-洛佩斯没收
9'皇家马德里球员贝尔球门右侧小角度左脚射门,被防守球员封堵.给他传球的是本泽马.                   8'第8分钟，吉尔传球，科罗禁区右侧12码处小角度射门被迭戈-洛佩斯没收
9'博蒂亚将球处理出底线,皇家马德里获得角球.                   8'第8分钟，吉尔传球，科罗禁区右侧12码处小角度射门被迭戈-洛佩斯没收
23'皇家马德里球员迪马利亚大禁区左侧尝试左脚射门,可惜皮球高出球门.给他传球的是阿韦洛亚.                   23'第23分钟，阿韦罗亚传球，迪马利亚连过2人后禁区左侧边缘内劲射偏出
34'隆班将球处理出底线,皇家马德里获得角球.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
34'进球啦！！！皇家马德里球员伊利亚拉门迪大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是佩佩. 皇家马德里 1-0 埃尔切.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
36'埃尔切球员R-佩雷斯拼抢犯规,对手获得控球权.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
36'伊利亚拉门迪为皇家马德里在对方半场,赢得一个任意球.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
37'皇家马德里球员伊利亚拉门迪一脚直塞球给贝尔,但是边裁举旗显示后者已经越位.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
37'卡莱斯-希尔为埃尔切在对方半场,赢得一个任意球.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
37'皇家马德里球员阿韦洛亚拼抢犯规,对手获得控球权.                   34'皇马第34分钟打破僵局，迪马利亚开出角球，佩佩抢点蹭到皮球，伊利亚拉门迪20码处抽射入右下角
42'射门!!!皇家马德里球员本泽马大禁区外右脚射门,被对方守门员横身扑出.                   42'第42分钟，本泽马25码处劲射被埃雷拉勉强扑出
45'+1'上半场结束,皇家马德里 1-0 埃尔切,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，本泽马25码处劲射被埃雷拉勉强扑出
53'埃尔切球员哈维-马克斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是阿尔瓦卡尔.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
54'卡莱斯-希尔为埃尔切在右路,赢得一个任意球.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
54'皇家马德里球员伊利亚拉门迪拼抢犯规,对手获得控球权.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
55'埃尔切球员德尔莫拉尔一脚直塞球给哈维-马克斯,但是边裁举旗显示后者已经越位.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
55'埃尔切球员哈维-马克斯拼抢犯规,对手获得控球权.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
55'伊利亚拉门迪为皇家马德里赢得一个任意球.                   53'第53分钟，阿尔巴卡尔角球开至外围，马科斯禁区边缘外第一时间抽射离谱偏出
63'埃尔切球员博蒂亚拼抢犯规,对手获得控球权.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
63'赫塞为皇家马德里在对方半场,赢得一个任意球.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
63'黄牌！埃尔切球员博蒂亚因为恶意犯规,被主裁判出示黄牌.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
65'皇家马德里球员阿隆索大禁区外右脚射门,被防守球员封堵.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
65'哈维-马克斯将球处理出底线,皇家马德里获得角球.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
66'哈维-马克斯为埃尔切赢得一个任意球.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
66'皇家马德里球员阿隆索拼抢犯规,对手获得控球权.                   63'第63分钟，埃雷拉传球失误，博蒂亚禁区前铲倒即将面对空门的赫塞，但裁判普列托仅出示黄牌引来主队和球迷的不满
67'皇家马德里球员贝尔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是伊利亚拉门迪.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
68'埃尔切球员哈维-马克斯拼抢犯规,对手获得控球权.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
68'阿隆索为皇家马德里在对方半场,赢得一个任意球.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
69'德尔莫拉尔为埃尔切赢得一个任意球.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
69'皇家马德里球员卡瓦哈尔拼抢犯规,对手获得控球权.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'埃尔切球员科罗大禁区外左脚射门,被防守球员封堵.给他传球的是卡莱斯-希尔.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'埃尔切球员哈维-马克斯拼抢犯规,对手获得控球权.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'迪马利亚为皇家马德里赢得一个任意球.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'黄牌！埃尔切球员哈维-马克斯因为恶意犯规,被主裁判出示黄牌.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'埃尔切球员R-佩雷斯拼抢犯规,对手获得控球权.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
70'阿隆索为皇家马德里在对方半场,赢得一个任意球.                   67'第67分钟，伊利亚拉门迪左路传中，贝尔禁区右侧12码处头球冲顶弹地偏出远角
71'埃尔切球员科罗大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
71'进球啦！！！皇家马德里球员贝尔大禁区外左脚射门,球从右上角飞进球门,球进了!助攻的是阿隆索. 皇家马德里 2-0 埃尔切.                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
73'埃尔切球员哈维-马克斯拼抢犯规,对手获得控球权.                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
73'伊利亚拉门迪为皇家马德里赢得一个任意球.                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
73'埃尔切换人,阿龙换下里维拉                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
74'埃尔切换人,菲德尔换下德尔莫拉尔                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
74'皇家马德里换人,伊斯科换下赫塞                   71'皇马第71分钟扩大比分，阿隆索传球，贝尔30码处左脚劲射，皮球紧贴横梁下沿入网，2-0
81'进球啦！！！皇家马德里球员伊斯科球门左侧小角度左脚射门,球从左下角飞进球门,球进了!助攻的是本泽马. 皇家马德里 3-0 埃尔切.                   81'第81分钟，本泽马传球，伊斯科小禁区左侧边缘射入近角，3-0
82'皇家马德里换人,莫拉塔换下本泽马                   81'第81分钟，本泽马传球，伊斯科小禁区左侧边缘射入近角，3-0
82'皇家马德里球员莫拉塔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是迪马利亚.                   81'第81分钟，本泽马传球，伊斯科小禁区左侧边缘射入近角，3-0
83'皇家马德里换人,卡塞米罗换下阿隆索                   81'第81分钟，本泽马传球，伊斯科小禁区左侧边缘射入近角，3-0
82'皇家马德里换人,莫拉塔换下本泽马                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
82'皇家马德里球员莫拉塔大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是迪马利亚.                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
83'皇家马德里换人,卡塞米罗换下阿隆索                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
85'埃尔切球员R-佩雷斯拼抢犯规,对手获得控球权.                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
85'伊斯科为皇家马德里在左路,赢得一个任意球.                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
85'射门!!!皇家马德里球员莫拉塔球门左侧小角度右脚射门,被对方守门员横身扑出.给他传球的是伊斯科.                   82'第82分钟，迪马利亚左路传中，莫拉塔12码处冲顶偏出
85'埃尔切球员R-佩雷斯拼抢犯规,对手获得控球权.                   85'第85分钟，伊斯科直传，莫拉塔禁区左侧小角度挑射被埃雷拉摘下
85'伊斯科为皇家马德里在左路,赢得一个任意球.                   85'第85分钟，伊斯科直传，莫拉塔禁区左侧小角度挑射被埃雷拉摘下
85'射门!!!皇家马德里球员莫拉塔球门左侧小角度右脚射门,被对方守门员横身扑出.给他传球的是伊斯科.                   85'第85分钟，伊斯科直传，莫拉塔禁区左侧小角度挑射被埃雷拉摘下
88'射门!!!埃尔切球员阿龙右脚射门,被对方守门员横身扑出.给他传球的是R-佩雷斯.                   85'第85分钟，伊斯科直传，莫拉塔禁区左侧小角度挑射被埃雷拉摘下
88'皇家马德里球员莫拉塔一脚直塞球给贝尔,但是边裁举旗显示后者已经越位.                   85'第85分钟，伊斯科直传，莫拉塔禁区左侧小角度挑射被埃雷拉摘下
