1'巴黎圣日耳曼球员马图伊迪拼抢犯规,对手获得控球权.                   1'第1分钟，巴黎占据场上主动，马图伊迪紧盯对方已助攻6球的老将马尔布兰克
1'里桑德罗为里昂赢得一个任意球.                   1'第1分钟，巴黎占据场上主动，马图伊迪紧盯对方已助攻6球的老将马尔布兰克
2'巴黎圣日耳曼球员马图伊迪一脚直塞球给伊布,但是边裁举旗显示后者已经越位.                   1'第1分钟，巴黎占据场上主动，马图伊迪紧盯对方已助攻6球的老将马尔布兰克
10'巴黎圣日耳曼萨科奥受伤倒地,比赛暂停                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
10'里昂比舍瓦奇受伤倒地,比赛暂停                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
11'暂停结束,球员们重新开始比赛.                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
12'射门!!!巴黎圣日耳曼球员帕斯托雷大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是伊布.                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
12'Rémy Vercoutre将球处理出底线,巴黎圣日耳曼获得角球.                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
13'射门!!!巴黎圣日耳曼球员拉维齐大禁区外右脚射门,被对方守门员横身扑出.给他传球的是蒂亚戈-席尔瓦.                   10'第10分钟，比塞瓦茨和萨科争顶任意球头部相撞接受治疗，前者头扎绷带回到场内
18'里昂球员米歇尔-巴斯托斯大禁区外左脚射门,被防守球员封堵.                   18'第18分钟，巴斯托斯左脚大力任意球打在雅莱身上，西里古将球没收
20'巴黎圣日耳曼球员拉维齐一脚直塞球给伊布,但是边裁举旗显示后者已经越位.                   18'第18分钟，巴斯托斯左脚大力任意球打在雅莱身上，西里古将球没收
21'蒂亚戈-席尔瓦为巴黎圣日耳曼赢得一个任意球.                   18'第18分钟，巴斯托斯左脚大力任意球打在雅莱身上，西里古将球没收
21'里昂球员福法纳拼抢犯规,对手获得控球权.                   18'第18分钟，巴斯托斯左脚大力任意球打在雅莱身上，西里古将球没收
27'里昂球员里桑德罗大禁区左侧左脚射门,命中门柱左侧立柱.给他传球的是福法纳.                   27'里昂第27分钟险些破门
29'里昂球员Rémy Vercoutre一脚直塞球给戈米,但是边裁举旗显示后者已经越位.                   27'里昂第27分钟险些破门
33'拉维齐为巴黎圣日耳曼在对方半场,赢得一个任意球.                   33'第33分钟，福法纳铲倒拉维奇，被黄牌警告
33'里昂球员福法纳拼抢犯规,对手获得控球权.                   33'第33分钟，福法纳铲倒拉维奇，被黄牌警告
33'黄牌！里昂球员福法纳因为恶意犯规,被主裁判出示黄牌.                   33'第33分钟，福法纳铲倒拉维奇，被黄牌警告
35'里昂萨穆埃尔-乌木提提受伤倒地,比赛暂停                   33'第33分钟，福法纳铲倒拉维奇，被黄牌警告
36'暂停结束,球员们重新开始比赛.                   33'第33分钟，福法纳铲倒拉维奇，被黄牌警告
54'里昂球员福法纳大禁区外右脚射门,被防守球员封堵.给他传球的是雷维耶.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
54'加列特将球处理出底线,里昂获得角球.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
54'射门!!!里昂球员福法纳大禁区中央头球,被对方守门员横身扑出.给他传球的是马尔布兰克.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
56'里昂球员洛夫伦拼抢犯规,对手获得控球权.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
56'马图伊迪为巴黎圣日耳曼赢得一个任意球.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
56'黄牌！里昂球员洛夫伦因为恶意犯规,被主裁判出示黄牌.                   54'下半时开始9分钟，福法纳禁区边缘射门被雅莱挡出底线，马尔布兰克开出角球，福法纳头球被西里古得到
78'巴黎圣日耳曼球员加列特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅内斯.                   78'第78分钟，伊布左路低传，洛夫伦解围不干净漏到后点，雅莱禁区前沿外脚背大力抽射稍偏出左门柱
79'里昂球员戈米手球犯规,对手获得球权.                   78'第78分钟，伊布左路低传，洛夫伦解围不干净漏到后点，雅莱禁区前沿外脚背大力抽射稍偏出左门柱
81'射门!!!巴黎圣日耳曼球员拉维齐大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是帕斯托雷.                   78'第78分钟，伊布左路低传，洛夫伦解围不干净漏到后点，雅莱禁区前沿外脚背大力抽射稍偏出左门柱
81'Rémy Vercoutre将球处理出底线,巴黎圣日耳曼获得角球.                   78'第78分钟，伊布左路低传，洛夫伦解围不干净漏到后点，雅莱禁区前沿外脚背大力抽射稍偏出左门柱
81'巴黎圣日耳曼球员马图伊迪大禁区外尝试右脚射门,可惜皮球高出球门.                   78'第78分钟，伊布左路低传，洛夫伦解围不干净漏到后点，雅莱禁区前沿外脚背大力抽射稍偏出左门柱
84'里昂球员戈尼亚隆斯拼抢犯规,对手获得控球权.                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
84'梅内斯为巴黎圣日耳曼在对方半场,赢得一个任意球.                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
84'巴黎圣日耳曼球员伊布大禁区外尝试右脚射门,可惜皮球偏出球门.                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
85'里昂换人,姆恩巴换下马尔布兰克                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
85'里昂换人,本齐亚换下戈米                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
87'巴黎圣日耳曼换人,Clément Chantôme换下梅内斯                   84'第84分钟，伊布左路距门25米处大力任意球偏出远角
