2'华夏后场断球给到右路                   2'第2分钟，阿洛伊西奥远射打偏
2'廖均健右路和队友打撞墙被拦截                   2'第2分钟，阿洛伊西奥远射打偏
3'阿洛伊西奥左路突破内切后直接打门，皮球偏出左侧立柱                   2'第2分钟，阿洛伊西奥远射打偏
3'打完门之后，阿洛伊西奥示意队友，处理急了                   2'第2分钟，阿洛伊西奥远射打偏
4'李金羽面无表情啊                   2'第2分钟，阿洛伊西奥远射打偏
4'永昌左路拿球，鲁本中场转移                   2'第2分钟，阿洛伊西奥远射打偏
5'丁海峰边线球掷出来                   2'第2分钟，阿洛伊西奥远射打偏
5'永昌中场断球，毛剑卿挑传，糜昊伦在底线把球打出边线                   2'第2分钟，阿洛伊西奥远射打偏
5'这个球，裁判还是给了门球                   2'第2分钟，阿洛伊西奥远射打偏
6'毛剑卿左路突破被踢出边线                   6'第6分钟，毛剑卿左路一对二突破传中，马修斯倒钩攻门角度过正，河北华夏门将杨程将球没收
6'永昌左侧边线球掷出                   6'第6分钟，毛剑卿左路一对二突破传中，马修斯倒钩攻门角度过正，河北华夏门将杨程将球没收
7'毛剑卿左路接边线球，连续突破两人包夹，直接起球到禁区，马修斯倒钩打门被杨程抱住                   6'第6分钟，毛剑卿左路一对二突破传中，马修斯倒钩攻门角度过正，河北华夏门将杨程将球没收
8'华夏后场底线附近断球                   6'第6分钟，毛剑卿左路一对二突破传中，马修斯倒钩攻门角度过正，河北华夏门将杨程将球没收
8'直接往前场打，董学升犯规了                   6'第6分钟，毛剑卿左路一对二突破传中，马修斯倒钩攻门角度过正，河北华夏门将杨程将球没收
46'下半场比赛开始                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
46'华夏前场断球，姆比亚给到禁区，姜宁在干扰下打门偏出                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
47'华夏又是前场断球                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
47'姜宁接球禁区前沿打门被关震没收                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
48'鲁本拉拽姆比亚犯规                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
48'关震的门球发不出来了                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
48'毛剑卿左路突破横传被拦截                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
49'董学升后场右路护球被李超踢倒                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
49'李超示意对手跳水                   46'1分钟后鲁本妙传策动永昌右路传中攻势，毛剑卿头球攻门顶高
26'姆比亚中路上来，给到姜宁                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
26'华夏中圈起球了，直接出了底线                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
27'杨程后场拿球自己带了啊                   26'第26分钟，杨程面对毛里西奥的扑抢并没有急于开球，两人贴身瞬间他将球带出，而在带球至禁区线时杨程险些被永昌抢断
