7'射门!!!国际米兰球员胡安大禁区右侧头球,被对方守门员横身扑出.给他传球的是沙奇里.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
7'索伦蒂诺将球处理出底线,国际米兰获得角球.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
9'达普雷拉为巴勒莫赢得一个任意球.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
9'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
9'Achraf Lazaar将球处理出底线,国际米兰获得角球.                   7'开场7分钟，沙奇里开出角球，小胡安后点头球被索伦蒂诺扑出底线
25'巴勒莫球员康斯坦特小禁区左侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Achraf Lazaar.                   25'巴勒莫第25分钟有机会扳平，拉扎左路传中，里戈尼前点距门6米处推射却偏出近门柱
26'巴勒莫球员迪巴拉大禁区右侧尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是加拉洛.                   25'巴勒莫第25分钟有机会扳平，拉扎左路传中，里戈尼前点距门6米处推射却偏出近门柱
27'巴勒莫球员巴斯克斯一脚直塞球给迪巴拉,但是边裁举旗显示后者已经越位.                   25'巴勒莫第25分钟有机会扳平，拉扎左路传中，里戈尼前点距门6米处推射却偏出近门柱
51'射门!!!巴勒莫球员巴斯克斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是康斯坦特.                   51'下半时开始6分钟，巴雷托低传被小胡安破坏，巴斯克斯禁区外左脚射门击中左门柱，迪瓦拉右侧距门4米处左脚补射空门打飞
51'巴勒莫球员迪巴拉小禁区右侧尝试左脚射门,可惜皮球偏出球门.                   51'下半时开始6分钟，巴雷托低传被小胡安破坏，巴斯克斯禁区外左脚射门击中左门柱，迪瓦拉右侧距门4米处左脚补射空门打飞
52'国际米兰球员布罗佐维奇大禁区左侧右脚射门,被防守球员封堵.                   51'下半时开始6分钟，巴雷托低传被小胡安破坏，巴斯克斯禁区外左脚射门击中左门柱，迪瓦拉右侧距门4米处左脚补射空门打飞
54'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   51'下半时开始6分钟，巴雷托低传被小胡安破坏，巴斯克斯禁区外左脚射门击中左门柱，迪瓦拉右侧距门4米处左脚补射空门打飞
54'国际米兰球员布罗佐维奇拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，巴雷托低传被小胡安破坏，巴斯克斯禁区外左脚射门击中左门柱，迪瓦拉右侧距门4米处左脚补射空门打飞
57'国际米兰球员多多一脚直塞球给帕拉西奥,但是边裁举旗显示后者已经越位.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
57'国际米兰球员伊卡尔迪大禁区外头球,命中门柱右侧立柱.给他传球的是瓜林.                   57'第57分钟，瓜林右路传中，伊卡尔迪禁区前沿争顶，球击中右门柱，再沿门线滚动回到场内
