3'尤文图斯球员帕多因一脚直塞球给博格巴,但是边裁举旗显示后者已经越位.                   1'第1分钟尤文并不急于进攻
4'热那亚球员帕沃雷蒂拼抢犯规,对手获得控球权.                   1'第1分钟尤文并不急于进攻
4'帕多因为尤文图斯赢得一个任意球.                   1'第1分钟尤文并不急于进攻
30'热那亚球员迪马伊奥自摆乌龙,尤文图斯 1-0 热那亚                   30'尤文第30分钟取得领先
32'热那亚球员泽马伊利拼抢犯规,对手获得控球权.                   30'尤文第30分钟取得领先
32'迪巴拉为尤文图斯赢得一个任意球.                   30'尤文第30分钟取得领先
33'尤文图斯球员Juan Cuadrado大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是莫拉塔.                   30'尤文第30分钟取得领先
89'苏索为热那亚赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
89'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'热那亚球员凯珀尔拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'Juan Cuadrado为尤文图斯赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+1'伊佐为热那亚赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+1'尤文图斯球员扎乍拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+1'裁判将尤文图斯的扎乍直接红牌罚下.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+2'热那亚球员穆尼奥斯拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+2'巴尔扎利为尤文图斯赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+3'尤文图斯球员博格巴一脚直塞球给迪巴拉,但是边裁举旗显示后者已经越位.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+3'热那亚球员迪马伊奥拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+3'博努奇为尤文图斯赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+5'热那亚球员帕沃雷蒂拼抢犯规,对手获得控球权.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+5'鲁加尼为尤文图斯赢得一个任意球.                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
90'+6'下半场结束,尤文图斯 1-0 热那亚                   89'第89分钟，迪巴拉禁区右侧转身突破防守，但没有直接射门，而是想回传扎扎，但他的低传被穆尼奥斯截断
