1'比赛开始了，阿森纳率先开球                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
1'阿森纳从右侧向左侧进攻，主场的曼联反之                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
1'阿森纳开场从右路来攻，贝莱林上来                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
1'下底传中，曼联解围不利索                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
2'维尔贝克禁区前沿一记抽射，偏了                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
2'阿森纳敲山震虎，上来进入角色很快                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
2'德佩左路衔枚疾走，回给身后的罗霍                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
2'在传中，前点被加布里埃尔顶出                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
2'埃雷拉中场拼抢犯规                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
3'拉姆塞组织一下，分边给贝莱林                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
3'贝莱林本赛季发挥不俗，一直占据了主力位置                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
3'维尔贝克中场断下马塔的球                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
3'维尔贝克右路没有空间，只能要一个边线球                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
4'阿森纳中场传递，科奎林贴身拼抢被吹犯规                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
4'曼联右路得球，林加德交给插上的巴雷拉                   1'双方第1分钟拼抢激烈，在防守中均显得小心谨慎
14'加布里埃尔见势不妙，铲翻对方                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
14'就在左侧禁区线上，差一点点就是点球啊                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
15'德佩任意球低射，直接轰门了                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
15'人丛中没有人碰到，切赫反应迅速，倒地没收                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
15'这个球切赫反应很快啊，视野被挡住了大半。但还是如此神速的反应，没有脱手                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
15'曼联逐渐站稳脚跟                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
16'林加德回敲，布林德转移到左侧给罗霍                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
16'罗霍自己往前推进，维尔贝克犯规                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
16'阿森纳的进攻，拉姆塞横敲加布里埃尔                   14'第14分钟，拉什福德左路从加布里埃尔和贝莱林之间突破赢得禁区边缘外任意球机会，德佩直接射门，皮球绕过人墙被切赫沉稳没收
