1'射门!!!乌迪内斯球员迪纳塔莱大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是吉列尔梅.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
1'洛佩兹将球处理出底线,乌迪内斯获得角球.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
2'乌迪内斯球员巴杜一脚直塞球给吉列尔梅,但是边裁举旗显示后者已经越位.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
3'乌迪内斯球员平齐拼抢犯规,对手获得控球权.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
3'阿巴特为AC米兰赢得一个任意球.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
4'乌迪内斯球员杰乔大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是迪纳塔莱.                   1'第1分钟，迪纳塔莱禁区边缘左脚凌空射门被迭戈-洛佩斯封出底线
36'AC米兰球员Marco Van Ginkel大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是阿巴特.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
36'乌迪内斯球员迪纳塔莱大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是巴杜.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
37'AC米兰帕莱塔受伤倒地,比赛暂停                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
37'暂停结束,球员们重新开始比赛.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
38'乌迪内斯球员平齐拼抢犯规,对手获得控球权.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
38'苏索为AC米兰在右路,赢得一个任意球.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
38'黄牌！乌迪内斯球员平齐因为恶意犯规,被主裁判出示黄牌.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
39'平齐为乌迪内斯赢得一个任意球.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
39'AC米兰球员梅内斯拼抢犯规,对手获得控球权.                   36'AC米兰第36分钟才有首次射门，范欣克尔右侧禁区前沿打高，而此时乌迪内斯已有10次射门
46'乌迪内斯球员Silvan Widmer拼抢犯规,对手获得控球权.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
46'博纳文图拉为AC米兰赢得一个任意球.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
49'乌迪内斯球员阿兰拼抢犯规,对手获得控球权.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
49'博纳文图拉为AC米兰赢得一个任意球.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
49'乌迪内斯球员达尼洛拼抢犯规,对手获得控球权.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
49'帕齐尼为AC米兰赢得一个任意球.                   46'1分钟后，达尼洛左路头球回点，吉列尔梅在门前14米处左脚凌空抽射稍偏出近门角
52'乌迪内斯球员迪纳塔莱大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是吉列尔梅.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
53'吉列尔梅为乌迪内斯在对方半场,赢得一个任意球.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
53'AC米兰球员德容拼抢犯规,对手获得控球权.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
54'乌迪内斯换人,泰罗换下杰乔                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
54'乌迪内斯球员平齐大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
55'乌迪内斯球员Silvan Widmer拼抢犯规,对手获得控球权.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
55'梅内斯为AC米兰在对方半场,赢得一个任意球.                   52'第52分钟，吉列尔梅反击分球，迪纳塔莱突入禁区右侧抽出弧线球掠过横梁
