27'进球啦！！！西汉姆联球员诺布尔大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是萨拉特. 西汉姆联 1-0 南安普敦.                   27'第27分钟，萨拉特前场抢断，诺布尔30码处反弹球射入右下角
29'库亚特为西汉姆联赢得一个任意球.                   27'第27分钟，萨拉特前场抢断，诺布尔30码处反弹球射入右下角
29'南安普敦球员沃特-普洛斯拼抢犯规,对手获得控球权.                   27'第27分钟，萨拉特前场抢断，诺布尔30码处反弹球射入右下角
30'西汉姆联球员阿德里安一脚直塞球给萨拉特,但是边裁举旗显示后者已经越位.                   27'第27分钟，萨拉特前场抢断，诺布尔30码处反弹球射入右下角
68'进球啦！！！南安普敦球员施奈德林球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是沃特-普洛斯. 西汉姆联 1-2 南安普敦.                   68'第68分钟，普劳斯左路传中，施奈德林前点捅射破门
69'雷德为西汉姆联赢得一个任意球.                   68'第68分钟，普劳斯左路传中，施奈德林前点捅射破门
69'南安普敦球员佩莱拼抢犯规,对手获得控球权.                   68'第68分钟，普劳斯左路传中，施奈德林前点捅射破门
71'南安普敦换人,柯克换下沃特-普洛斯                   68'第68分钟，普劳斯左路传中，施奈德林前点捅射破门
83'进球啦！！！南安普敦球员佩莱大禁区中央左脚射门,球从左上角飞进球门,球进了! 西汉姆联 1-3 南安普敦.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
84'西汉姆联球员库亚特拼抢犯规,对手获得控球权.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
84'柯克为南安普敦在对方半场,赢得一个任意球.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
85'西汉姆联球员库亚特拼抢犯规,对手获得控球权.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
85'柯克为南安普敦赢得一个任意球.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
86'迪亚姆为西汉姆联赢得一个任意球.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
86'南安普敦球员S-戴维斯拼抢犯规,对手获得控球权.                   83'第83分钟，克莱因禁区右侧传中被解围，意大利前锋佩莱小禁区前补射上角入网，这是他个人首粒英超入球
