3'佩格罗将球处理出底线,AC米兰获得角球.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
4'锡耶纳球员达戈斯蒂诺拼抢犯规,对手获得控球权.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
4'博阿滕为AC米兰在对方半场,赢得一个任意球.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
5'帕齐为锡耶纳赢得一个任意球.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
5'AC米兰球员阿切尔比拼抢犯规,对手获得控球权.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
6'锡耶纳球员菲利佩拼抢犯规,对手获得控球权.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
6'帕齐尼为AC米兰在右路,赢得一个任意球.                   3'开场3分钟，康斯坦特左路似传似射被佩戈洛托出底线
13'射门!!!AC米兰球员沙拉维大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是博阿滕.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
13'佩格罗将球处理出底线,AC米兰获得角球.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
15'安杰洛为锡耶纳赢得一个任意球.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
15'AC米兰球员康斯坦特拼抢犯规,对手获得控球权.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
16'罗西纳为锡耶纳在右路,赢得一个任意球.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
16'AC米兰球员阿切尔比拼抢犯规,对手获得控球权.                   13'第13分钟， 博阿滕左路抢断直传，沙拉维奔袭30米突入禁区左侧，巧妙晃动穿过达戈斯蒂诺和内托包夹，在门前9米处推射被佩戈洛封出底线
34'AC米兰球员沙拉维大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是康斯坦特.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
34'博格达尼为锡耶纳在对方半场,赢得一个任意球.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
34'AC米兰球员安布罗西尼拼抢犯规,对手获得控球权.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
34'锡耶纳球员罗西纳大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是维尔加索拉.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
36'锡耶纳球员达戈斯蒂诺拼抢犯规,对手获得控球权.                   34'第34分钟，康斯坦特左路低传被诺切里诺漏过，沙拉维在门前16米处转身闪出角度低射偏出右门柱
