1'上半场比赛开始了                   1'阿森纳第1分钟展开积极攻势
1'斯旺西开出皮球                   1'阿森纳第1分钟展开积极攻势
1'桑切斯前场带球，被放倒了                   1'阿森纳第1分钟展开积极攻势
1'右路科斯切尔尼上来的吊到禁区，被解围了                   1'阿森纳第1分钟展开积极攻势
2'科拉希纳茨后场左路带球给到扎卡                   1'阿森纳第1分钟展开积极攻势
2'贝莱林右路接球横敲                   1'阿森纳第1分钟展开积极攻势
2'斯旺西后场回传，法比安斯基大脚开出来                   1'阿森纳第1分钟展开积极攻势
2'切赫将球控制给到左路                   1'阿森纳第1分钟展开积极攻势
3'斯旺西将球拦截下来                   1'阿森纳第1分钟展开积极攻势
3'后场阿森纳再次拿到球权                   1'阿森纳第1分钟展开积极攻势
4'阿森纳进入到了习惯的控制模式                   1'阿森纳第1分钟展开积极攻势
4'阿森纳进攻来到了左路                   1'阿森纳第1分钟展开积极攻势
4'桑切斯挑传身后，没过去                   1'阿森纳第1分钟展开积极攻势
22'斯旺西反击进球了                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
23'y阿伯拉罕外围送直塞，克卢卡斯左路高速插上面对出击的门将，穿裆射门得手                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
23'斯旺西仅有的一次威胁进攻，竟然进球了                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
24'贝莱林右侧底线横敲，被费尔南德斯解围                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
24'角球开到了后点，被阿尤破坏                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
24'拉卡泽特拉到外线给到右侧                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
25'贝莱林转移球到左侧                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
25'斯旺西后场断球，默特萨克铲球犯规                   22'斯旺西第22分钟取得领先，亚布拉罕前场抢断后直传，克卢卡斯禁区左侧小角度推射从切赫双腿间穿过入网
51'拉卡泽特右路给到禁区，被挡了一下后大脚解围                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
51'阿森纳扳平了                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
52'厄齐尔进去前前沿分球，拉卡泽特后脚跟                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
52'中路的勉强要打，被解围后，外围跟进的科拉希纳茨大力轰门得分                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
53'亚伯拉罕禁区内补射，越位了                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
53'节奏提起来了                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
53'阿森纳右路进攻，被破坏出了边线                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
54'厄齐尔禁区内的急停，被寄诚庸大脚解围                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
54'卡罗尔后场想给左路，阿尤被卡住位置                   51'阿森纳第51分钟扳平，拉卡泽特和厄齐尔连续踢墙配合，厄齐尔小禁区前射门被封堵偏转，科拉希纳茨禁区左侧14码处劲射远角入网，1-1
58'阿森纳反超了                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
59'阿森纳大范围转移左路，科拉希纳茨胸部停球后，禁区左侧低平球横传，中路拉姆塞左脚推射破门                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
60'桑切斯左路推进，被破坏出了界外                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
60'扎卡斜传到禁区前                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
60'桑切斯挑传禁区，出了底线                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
61'拉卡泽特禁区内磕球，厄齐尔做给中路                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
61'拉姆塞和桑切斯有点抢到了一起，拉姆塞的抢射打高                   58'阿森纳第58分钟反超比分，科拉希纳茨禁区左侧传中，拉姆塞前点8码处第一时间扫射，皮球打在法比安斯基腿上偏转入近角，2-1
48'阿森纳中场断球反击                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
48'阿森纳左路传中，被顶到外围                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
49'科拉希纳茨45度吊禁区，出了底线                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
50'诺顿后场发边线球，一瘸一拐啊                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
51'拉卡泽特右路给到禁区，被挡了一下后大脚解围                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
51'阿森纳扳平了                   48'3分钟后，厄齐尔传球，吉鲁禁区前射门偏出
