6'右路张文涛套上下底传中，球直接出了底线                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
6'申鑫控球，乔尼拿球                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
6'长传球找到奇玛，奇玛传对方身后                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
7'吴毅臻得球底线传中，落点不错，还好第一点是吕伟头球解围                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
7'申鑫中场得球，巴兰特斯分左路，白岳峰将球铲出边线                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
8'申鑫有机会，左路界外球掷到左肋部，奇玛接应倒三角传到大禁区边缘，池忠国迎球怒射，球直接挂网                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
8'上海申鑫凭借池忠国的进球，暂时1：0领先                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
9'泰达获得一个前场左路的任意球机会                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
9'王秋明传到禁区，于涛头球解围不远                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
9'还好球还在他身旁，于涛大脚踢出禁区                   6'第6分钟，吴毅臻左路传中，吕伟在丹尼尔压制下堪堪将球顶出
12'奇玛右路的硬突，与吕伟抢位置时手部有犯规动作                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
12'泰达有机会                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
13'特纳塞禁区外外脚背撩射，球击中了横梁                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
13'特纳塞再打，偏了                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
14'泰达的运气还是差了一点                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
15'杨家威前场断球，禁区左侧下底传中，杨启鹏倒地将球摁在身下                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
15'巴尔克斯左路得球交给了莫特扎                   12'第12分钟，天津队连续配合被对方挡出，塔纳塞禁区外直接凌空弹射，皮球越过门将击中横梁弹出
19'巴尔克斯回中场接应转移向右路，胡人天停球了                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
19'但吴毅臻将球踢出了边线                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
19'泰达扳平了比分                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
19'王秋明补射得分                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
20'池忠国中场控球回传给乔尼                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
20'乔尼长传到中场，奇玛争顶没有顶着，下来时手球犯规了                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
20'卢卡斯交给白岳峰又能回给卢卡斯                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
21'卢卡斯长传打到对方禁区，胡鸣飞头球顶得不远                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
21'吴毅臻左路带球长传，吕伟头球顶给了奇                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
21'奇玛传弧顶处力量不够被吕伟断下                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
21'巴尔克斯来到自己的右路接应转身长传到对方禁区                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
21'张一诺了击将球摘下                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
22'慢镜来看，是申鑫的叶重秋在禁区内解围不远，禁区边缘特纳塞远射，张一诺扑球脱手，王秋明拍马赶到将球补射入网                   19'第19分钟，塔纳塞禁区线上再次远射，张一诺扑球脱手，快速跟上的王秋明眼疾脚快补射入网
23'慢镜刚看完，泰达再进一球                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
24'特纳塞外围跑动中直接远射，打出一记电梯球，球越过张一诺的手后坠入球网左上角！                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
24'主场作战的泰达反超了比分                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
24'特纳塞左路急停回传                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
25'王秋明传右路，胡人天停球打在了于涛的手上                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
25'泰达获得一个前场右路的任意球机会                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
25'特纳塞斜传，第一点被胡鸣飞顶出来                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
26'巴尔克斯边线附近控球，有队友受伤，巴尔克斯将球踢出边线                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
26'是莫特扎的头受了点伤                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
26'申鑫将球权交还给对方                   23'第23分钟，塔纳塞禁区外突施冷箭，皮球打出快速下坠的世界波，越过门将直落死角
27'泰达右路得到一个任意球机会                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
27'特纳塞传中，卢卡斯头球攻门，球稍稍偏出左边立柱                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
27'泰达在左路继续发难                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
28'聂涛左路加速被乔尼绊倒                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
29'聂涛受伤不轻                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
29'经过治疗后可以重新投入比赛                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
29'泰达中场控球，巴尔克斯交给特纳塞                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
29'特纳塞内切又打一脚                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
29'又进了！！！                   27'第27分钟，塔纳塞开出角球，普拉利甘吉后点头球攻门稍稍偏出
37'申鑫获得一个前场左路的任意球机会                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
37'巴兰特斯传中被卢卡斯顶出来                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
38'巴兰特斯前场反抢成功再传前点，卢卡斯猫腰将球顶出禁区                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
38'巴尔克斯回后场接应被池忠国背后铲倒                   37'第37分钟，巴兰特斯左路断球后传中，卢卡斯抢在丹尼尔之前鱼跃将球顶出
