10'进球啦！！！尤文图斯球员赫迪拉大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是博格巴. 尤文图斯 1-0 巴勒莫.                   10'开场10分钟，尤文首次射正就取得领先
26'射门!!!巴勒莫球员加拉洛大禁区外左脚射门,被对方守门员横身扑出.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
27'巴勒莫球员加拉洛拼抢犯规,对手获得控球权.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
27'迪巴拉为尤文图斯在左路,赢得一个任意球.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
27'Achraf Lazaar将球处理出底线,尤文图斯获得角球.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
28'射门!!!尤文图斯球员博格巴大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是Juan Cuadrado.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
28'索伦蒂诺将球处理出底线,尤文图斯获得角球.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'特莱科夫斯基为巴勒莫赢得一个任意球.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'尤文图斯球员巴尔扎利拼抢犯规,对手获得控球权.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'黄牌！尤文图斯球员巴尔扎利因为恶意犯规,被主裁判出示黄牌.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'巴勒莫球员希列马克拼抢犯规,对手获得控球权.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'迪巴拉为尤文图斯在对方半场,赢得一个任意球.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
29'黄牌！巴勒莫球员希列马克因为恶意犯规,被主裁判出示黄牌.                   26'巴勒莫第26分钟才有首次射门，亚亚洛禁区前沿左脚抽射被布冯得到
71'进球啦！！！尤文图斯球员博格巴球门线跟前左脚射门,球从右下角飞进球门,球进了!助攻的是莫拉塔. 尤文图斯 2-0 巴勒莫.                   71'莫拉塔换下迪巴拉，很快帮助尤文扩大优势，第71分钟，夸德拉多左侧开出角球，莫拉塔前点头球一蹭，博格巴后门柱边左脚凌空勾进空门，2比0
72'巴勒莫球员Sinisa Andjelkovic拼抢犯规,对手获得控球权.                   71'莫拉塔换下迪巴拉，很快帮助尤文扩大优势，第71分钟，夸德拉多左侧开出角球，莫拉塔前点头球一蹭，博格巴后门柱边左脚凌空勾进空门，2比0
72'莫拉塔为尤文图斯赢得一个任意球.                   71'莫拉塔换下迪巴拉，很快帮助尤文扩大优势，第71分钟，夸德拉多左侧开出角球，莫拉塔前点头球一蹭，博格巴后门柱边左脚凌空勾进空门，2比0
73'巴勒莫换人,拉古米纳换下戈尔达尼加                   71'莫拉塔换下迪巴拉，很快帮助尤文扩大优势，第71分钟，夸德拉多左侧开出角球，莫拉塔前点头球一蹭，博格巴后门柱边左脚凌空勾进空门，2比0
74'进球啦！！！尤文图斯球员Juan Cuadrado大禁区中央右脚射门,球从左上角飞进球门,球进了! 尤文图斯 3-0 巴勒莫.                   71'莫拉塔换下迪巴拉，很快帮助尤文扩大优势，第71分钟，夸德拉多左侧开出角球，莫拉塔前点头球一蹭，博格巴后门柱边左脚凌空勾进空门，2比0
90'+1'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+1'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+1'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+1'尤文图斯球员帕多因拼抢犯规,对手获得控球权.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+2'尤文图斯球员莫拉塔大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是曼祖基奇.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+2'尤文图斯球员莫拉塔大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是曼祖基奇.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+3'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+3'巴斯克斯为巴勒莫在对方半场,赢得一个任意球.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+3'尤文图斯球员莱米纳拼抢犯规,对手获得控球权.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+3'尤文图斯球员莱米纳拼抢犯规,对手获得控球权.                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+4'下半场结束,尤文图斯 4-0 巴勒莫                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
90'+4'下半场结束,尤文图斯 4-0 巴勒莫                   90'帕多因换下赫迪拉，第90分钟锦上添花，莫拉塔中场与博格巴踢墙配合后塞球，帕多因在门前12米处推进左下角，4比0
