9'外围左侧莱万多夫斯基造了一个角球机会！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
9'拜仁慕尼黑的左侧角球！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
9'开出战术角球给金斯利-科曼！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
9'禁区外围的传中到后点！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
9'古拉西奇把球拿下没收！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
9'发球给身前科内特！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'斜传球被金斯利-科曼拦截！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'金斯利-科曼直传球给身前左侧！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'皮球传大出了底线！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'古拉西奇大脚开球到中场这边！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'双方争抢！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
10'金斯利-科曼倒地不起！RB莱比锡球员先把球踢出边线！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
11'金斯利-科曼起身继续比赛！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'乌尔赖希开球给后场左侧阿拉巴！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'斜线球给前场左侧！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'科内特把球拦截过来！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'回给后场的古拉西奇！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'古拉西奇大脚开球到中场给维尔纳！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
12'分球遭到蒂亚戈-席尔瓦拦截！                   9'开场9分钟，蒂亚戈挑传禁区，莱万单刀推射偏出，但越位在先
50'外围右侧拜仁慕尼黑球员跟进再打！这球打偏出底线！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'古拉西奇开球到中圈！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'格雷茨卡把球抢下来！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'给右路基米希！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'传中到禁区内左肋！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'第一落点被防守顶出来！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'中路格雷茨卡跟进起脚打门！！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'GOOOOOOOOAL！球进了！！！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
51'格雷茨卡的破门！拜仁慕尼黑1-0领先RB莱比锡！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
53'主裁判正在听VAR裁判的意见！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
53'主裁判宣布进球无效！这球判了拜仁慕尼黑的进攻越位在先！进球无效！                   50'下半时开始5分钟，穆勒禁区弧顶横敲，戈雷茨卡右侧距门24米外抽射打在莱万身上变线，科曼禁区右侧底线传中被顶出，戈雷茨卡在门前10米处凌空弹射入左下角，但主裁判格拉菲听取VAR意见后，吹罚莱万越位在先，进球无效
