2'帕尔马球员帕波恩大禁区左侧左脚射门,被防守球员封堵.给他传球的是加洛帕.                   2'开场2分钟，帕冯突入禁区左侧射门被阿比亚蒂得到
3'帕尔马球员阿里安度-罗西在禁区内摔倒了,但裁判判他假摔！                   2'开场2分钟，帕冯突入禁区左侧射门被阿比亚蒂得到
3'帕尔马球员阿里安度-罗西被主裁判出示了一张黄牌.                   2'开场2分钟，帕冯突入禁区左侧射门被阿比亚蒂得到
14'AC米兰球员诺切里诺大禁区外右脚射门,被防守球员封堵.给他传球的是德希利奥.                   14'第14分钟，德希利奥传中，博阿滕禁区边缘左脚射门太正，被米兰特得到
14'帕尔马球员阿毛里手球犯规,对手获得球权.                   14'第14分钟，德希利奥传中，博阿滕禁区边缘左脚射门太正，被米兰特得到
14'射门!!!AC米兰球员博阿滕大禁区外左脚射门,被对方守门员横身扑出.给他传球的是德希利奥.                   14'第14分钟，德希利奥传中，博阿滕禁区边缘左脚射门太正，被米兰特得到
16'AC米兰球员阿巴特一脚直塞球给博阿滕,但是边裁举旗显示后者已经越位.                   14'第14分钟，德希利奥传中，博阿滕禁区边缘左脚射门太正，被米兰特得到
27'帕尔马球员阿里安度-罗西手球犯规,对手获得球权.                   27'第27分钟，加洛帕传球，阿毛里头球被耶佩斯封堵
30'AC米兰球员安布罗西尼大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   27'第27分钟，加洛帕传球，阿毛里头球被耶佩斯封堵
33'AC米兰球员德容大禁区外右脚射门,被防守球员封堵.                   33'第33分钟，沙拉维被放倒，德容任意球打在人墙上
35'戈比为帕尔马赢得一个任意球.                   33'第33分钟，沙拉维被放倒，德容任意球打在人墙上
35'AC米兰球员诺切里诺拼抢犯规,对手获得控球权.                   33'第33分钟，沙拉维被放倒，德容任意球打在人墙上
36'帕尔马球员戈比拼抢犯规,对手获得控球权.                   33'第33分钟，沙拉维被放倒，德容任意球打在人墙上
36'阿巴特为AC米兰在右路,赢得一个任意球.                   33'第33分钟，沙拉维被放倒，德容任意球打在人墙上
42'AC米兰球员博扬大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是沙拉维.                   42'第42分钟，沙拉维传球，博扬在门前20米处弧线球稍稍偏出远门角
43'帕尔马球员尼尼斯大禁区外尝试右脚射门,可惜皮球偏出球门.给他传球的是加洛帕.                   42'第42分钟，沙拉维传球，博扬在门前20米处弧线球稍稍偏出远门角
45'上半场结束,帕尔马 0-0 AC米兰,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，沙拉维传球，博扬在门前20米处弧线球稍稍偏出远门角
50'进球啦！！！AC米兰球员沙拉维大禁区左侧左脚射门,球从中路飞进球门,球进了!助攻的是博扬. 帕尔马 0-1 AC米兰.                   50'下半时开始5分钟，米兰打出反击，博扬中路突破分球到左侧，沙拉维加速趟过扎卡尔多，在禁区左侧距门9米处左脚斜射入网，1比0
51'卢卡雷利将球处理出底线,AC米兰获得角球.                   50'下半时开始5分钟，米兰打出反击，博扬中路突破分球到左侧，沙拉维加速趟过扎卡尔多，在禁区左侧距门9米处左脚斜射入网，1比0
