6'上港的机会啊，麦克布林的小进度左脚劲射，张烈将球封堵                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
6'这球朱峥嵘倒在禁区线上将球直塞麦克布林，机会相当好，可惜面对张烈的封堵，左脚推射被挡出                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
7'陈昌源右路拿球，面对逼抢，横传给到杨昊                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
7'杨昊将球转移给到米西莫维奇，自己前插                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
8'米西莫维奇背身拿球，回敲跟上的杨昊，杨昊带球向前                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
8'禁区弧内的起脚打门，打在后卫身上弹出底线，危险哦                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
8'贵州人和获得左侧角球机会                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
9'角球开出，人和队员前点的攻门，孙乐奋力将球托出横梁                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
9'进球啦，上海上港领先！！！                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
9'麦克布林推射建功！！！                   6'第6分钟米西莫维奇转身送球，杨昊禁区外远射打在上港队员身上弹出界
8'米西莫维奇背身拿球，回敲跟上的杨昊，杨昊带球向前                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
8'禁区弧内的起脚打门，打在后卫身上弹出底线，危险哦                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
8'贵州人和获得左侧角球机会                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
9'角球开出，人和队员前点的攻门，孙乐奋力将球托出横梁                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
9'进球啦，上海上港领先！！！                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
9'麦克布林推射建功！！！                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
10'上港后场的过顶长传到前场，麦克布林停球不好，但是孙继海的解围踢空，两人拼抢中麦克布林得球，禁区中路右脚推射进网                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
11'开场仅仅10分钟，上港客场领先人和，有点意思了哦                   8'第8分钟上港第二脚射门即告破门，上港蔡慧康后场长传，孙继海回身后撤解围时对球的落点判断不对，导致动作有些迟缓变形，结果被麦克布林后上顺利截球，他摆脱孙继海干扰后，带球杀入禁区后怒射，皮球飞入大门，1比0，上港客场领先
12'人和右路的传接球失误，出边线                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
12'上港中场失误，人和的抢断反击，杨昊拿球                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
13'杨昊拿球过度给到穆斯利，穆斯利背身接球没法转身                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
13'穆斯利横带，接着的斜传球到禁区弧顶，被上港球员解围                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
13'上港再进一球！！！                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
13'萨利的左脚一垫，自摆乌龙！！！                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
14'吕文君左路拿球，斜传禁区，萨利解围时伸出左脚一垫，球滚进自家大门。。。                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
15'蔡慧康后场拿球，短传给到武磊                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
15'武磊中路拿球，直塞后卫身后找麦克布林，张烈出击将球解围                   12'第12分钟上港队又进一球，吕文君左路得球观察了一下后起脚传中，萨利伸左腿一挡，结果皮球打在他的护腿板上，折射飞入大门，没有准备的张烈无可奈何
14'吕文君左路拿球，斜传禁区，萨利解围时伸出左脚一垫，球滚进自家大门。。。                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
15'蔡慧康后场拿球，短传给到武磊                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
15'武磊中路拿球，直塞后卫身后找麦克布林，张烈出击将球解围                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
16'人和的进攻，穆斯利右路拿球，下底传中                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
16'孙乐单掌将球一打到后点，米西莫维奇再将球往门前扫                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
16'第一点被上港球员解围出边线                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
17'人和的进攻，陈杰禁区内接到杨昊的传球                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
17'竟然没能起脚打门，选择挑传找穆斯利                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
17'穆斯利的头球攻门，直接顶飞                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
17'这球张烈完全有机会打门，面对出击的孙乐，竟然选择传球                   14'第14分钟伊班冒顶，穆斯利右路下底传中，孙乐将球打出，于海侧转身怒射打队员身上
18'人和后场传球失误，麦克布林的抢断                   18'第18分钟贵州队火速换人，拉法换下陈杰
18'麦克布林抢断，回传给到孙凯                   18'第18分钟贵州队火速换人，拉法换下陈杰
18'孙凯和队友配合时被陈昌源上来将球挡出边线                   18'第18分钟贵州队火速换人，拉法换下陈杰
19'人和后场的过顶长传到禁区弧顶，伊班将球解围                   18'第18分钟贵州队火速换人，拉法换下陈杰
19'人和换人啦：拉法换下陈杰                   18'第18分钟贵州队火速换人，拉法换下陈杰
20'宫磊指导坐不住了，要开始准备反击了                   18'第18分钟贵州队火速换人，拉法换下陈杰
20'拉法中场背身拿球，被上港上来上抢的球员踢翻在地                   18'第18分钟贵州队火速换人，拉法换下陈杰
21'萨利后场拿球，短传给到米西莫维奇                   18'第18分钟贵州队火速换人，拉法换下陈杰
26'上港继续前场进攻，李运秋拿球下底传中                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
27'张烈出击，在前点将球直接揽入怀中                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
27'于海的边路过顶球找穆斯利，可惜后者越位在先                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
28'汪佳捷中场拿球被上来的李春郁踢翻在地                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
28'不过球权在上港这边，有利原则                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
28'朱峥嵘拿球向前，禁区外直接大力抽射，飞出底线                   26'上港队也不手软，第26分钟汪佳捷中场摆脱传球，但朱峥嵘拿球后着急远射偏出
