8'中圈右侧姜涛把球拦截                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'长传向前，，，前场右侧找巴坎布                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'跟上接球，，再横敲                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'送到禁区内，左侧朴成跟上来，，，抽射                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'击中后卫弹出底线                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'左侧角球机会，，奥古斯托主罚                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'找前点，，，被头球顶出来                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
8'球是出了底线，裁判给了门球                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'张翀大脚开起来                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'前场左侧卡拉斯科得球                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'往边路带，遭遇逼抢，姜涛和张瑀合力断下                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'横敲中间找池忠国                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'低球向前找大脑奥古斯托                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'再分右路插上的姜涛，，，低球向前送                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
9'到了禁区右侧，张翀出来没收                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'大脚开起来                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'前场张瑀得球，回敲给到门将郭全博                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'再出一个大脚                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'中圈附近池忠国拿住                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'左侧分给金泰延，再横敲                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'朴成接球，选择回敲给池忠国                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
10'再分右路张瑀，找边线的姜涛                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
11'低球向前传，，被单鹏飞解围出来                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
11'中圈附近右侧还是国安球权                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
11'奥古斯托拿球，斜长传                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
11'前场中路比埃拉跟进                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
11'拼抢球权和对手相撞，双双倒地                   8'国安在第8分钟形成首次攻门，朴成禁区内施射被防守球员挡出底线
12'裁判哨响，，吹了盖坦的犯规                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
12'盖坦还吃到黄牌，，盖坦下轮4黄停赛了啊                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
12'前场中路奥古斯托主罚定位球                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
12'挑传入禁区，，，杨善平解围                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
12'中圈左侧单鹏飞得球，大步流星                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
12'快速的推进反击                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'左侧横敲，，找到包抄的盖坦                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'盖坦稍作调整，，，外围挑射，，偏出底线                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'郭全博大脚开起来                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'中圈附近得球，斜长传，再给左路                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'双方争顶，，哨响，于大宝犯规了                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
13'一方后场右侧定位球，张翀开起来                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
14'前场中路雷腾龙得球                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
14'长传给比埃拉                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
14'得球挑传，，巴坎布跟进                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'单刀突入，，，，甩开了防守                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'面对门将，，，推射，，被张翀挡出底线                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'右侧国安角球                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'开起来，，禁区中央，，，一方把球解围                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'外围右侧奥古斯托再组织                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'带球向底线，，里亚斯科斯上抢断下                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
15'奥古斯托反抢犯规                   12'第12分钟，一方形成较有威胁的攻势，单鹏飞在左路快速突进后传中，盖坦禁区前挑射打偏
48'往右路盘带，，禁区附近在渗透进去                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
48'雷腾龙把球解围出来                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
48'裁判哨响，上半场结束了                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
48'传到禁区右侧，朴成停球，，，打门，，一气呵成，，精彩的入球                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
48'小角度的直接爆射                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
49'国安右路推进，前场低球斜传到了禁区右侧，朴成把球卸下，直接爆抽近角得分                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
49'里亚斯科斯中前场拿球被侵犯                   48'3分钟后巴坎布将功补过收获入球：奥古斯托中路挑传一方防线身后，巴坎布反越位前插，禁区内横向摆脱张翀后攻破空门，比分变为1-0
