4'进球啦！！！皇家社会球员阿吉雷谢大禁区中央头球,球从左下角飞进球门,球进了!助攻的是贝拉. 赫塔菲 0-1 皇家社会.                   4'第4分钟，贝拉右路传中，阿吉雷切12码处头球破门
6'拉法将球处理出底线,皇家社会获得角球.                   4'第4分钟，贝拉右路传中，阿吉雷切12码处头球破门
7'皇家社会球员鲁本-帕尔多大禁区外左脚射门,被防守球员封堵.给他传球的是祖鲁图萨.                   4'第4分钟，贝拉右路传中，阿吉雷切12码处头球破门
48'贝拉为皇家社会在左路,赢得一个任意球.                   47'赫塔菲连入2球扳平，第28分钟，埃斯库德罗传球，反越位成功的马里卡10码处左脚低射破门
48'赫塔菲球员拉法拼抢犯规,对手获得控球权.                   47'赫塔菲连入2球扳平，第28分钟，埃斯库德罗传球，反越位成功的马里卡10码处左脚低射破门
48'黄牌！赫塔菲球员拉法因为恶意犯规,被主裁判出示黄牌.                   47'赫塔菲连入2球扳平，第28分钟，埃斯库德罗传球，反越位成功的马里卡10码处左脚低射破门
50'乔-安赫尔将球处理出底线,赫塔菲获得角球.                   47'赫塔菲连入2球扳平，第28分钟，埃斯库德罗传球，反越位成功的马里卡10码处左脚低射破门
61'赫塔菲球员卡斯特罗左侧远离球门处小角度尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是拉戈.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
61'贝尔加拉为皇家社会在对方半场,赢得一个任意球.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
61'赫塔菲球员博尔哈拼抢犯规,对手获得控球权.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
61'赫塔菲球员博尔哈因为恶意犯规,被裁判出示了第二张黄牌.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
61'赫塔菲球员卡斯特罗被主裁判出示了一张黄牌.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
63'哈维-普列托为皇家社会赢得一个任意球.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
63'赫塔菲球员马里卡拼抢犯规,对手获得控球权.                   61'第61分钟，赫塔菲中场博尔哈累计两张黄牌被罚下
