8'克罗托内球员特罗塔大禁区外右脚射门,被防守球员封堵.                   8'AC米兰第8分钟首先丢球
8'进球啦！！！克罗托内球员特罗塔大禁区左侧左脚射门,球从左下角飞进球门,球进了!助攻的是安德里亚. 克罗托内 1-0 AC米兰.                   8'AC米兰第8分钟首先丢球
10'克罗托内球员凯舍里尼拼抢犯规,对手获得控球权.                   8'AC米兰第8分钟首先丢球
10'拉帕杜拉为AC米兰赢得一个任意球.                   8'AC米兰第8分钟首先丢球
11'克罗托内球员克里塞蒂格拼抢犯规,对手获得控球权.                   8'AC米兰第8分钟首先丢球
11'洛卡特利为AC米兰赢得一个任意球.                   8'AC米兰第8分钟首先丢球
50'进球啦！！！AC米兰球员帕莱塔球门线跟前左脚射门,球从左下角飞进球门,球进了! 克罗托内 1-1 AC米兰.                   50'AC米兰第50分钟追平比分
51'阿里安度-罗西为克罗托内赢得一个任意球.                   50'AC米兰第50分钟追平比分
51'AC米兰球员M-费尔南德斯拼抢犯规,对手获得控球权.                   50'AC米兰第50分钟追平比分
52'AC米兰球员拉帕杜拉球门线跟前左脚射门,被防守球员封堵.给他传球的是德乌洛费乌.                   50'AC米兰第50分钟追平比分
53'克罗托内球员法尔西内利拼抢犯规,对手获得控球权.                   50'AC米兰第50分钟追平比分
53'帕莱塔为AC米兰赢得一个任意球.                   50'AC米兰第50分钟追平比分
53'克罗托内换人,斯托扬换下安德里亚                   50'AC米兰第50分钟追平比分
47'射门!!!克罗托内球员特罗塔大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是克里塞蒂格.                   47'AC米兰2分钟后几乎反超，德乌洛费乌禁区右侧趟过门将科尔达兹之后低传中路，拉帕杜拉在门前3米处左脚铲射被罗西破坏
48'克罗托内球员特罗塔大禁区左侧左脚射门,被防守球员封堵.给他传球的是克里塞蒂格.                   47'AC米兰2分钟后几乎反超，德乌洛费乌禁区右侧趟过门将科尔达兹之后低传中路，拉帕杜拉在门前3米处左脚铲射被罗西破坏
49'AC米兰球员拉帕杜拉大禁区外左脚射门,被防守球员封堵.给他传球的是卡拉.                   47'AC米兰2分钟后几乎反超，德乌洛费乌禁区右侧趟过门将科尔达兹之后低传中路，拉帕杜拉在门前3米处左脚铲射被罗西破坏
49'阿里安度-罗西将球处理出底线,AC米兰获得角球.                   47'AC米兰2分钟后几乎反超，德乌洛费乌禁区右侧趟过门将科尔达兹之后低传中路，拉帕杜拉在门前3米处左脚铲射被罗西破坏
50'进球啦！！！AC米兰球员帕莱塔球门线跟前左脚射门,球从左下角飞进球门,球进了! 克罗托内 1-1 AC米兰.                   47'AC米兰2分钟后几乎反超，德乌洛费乌禁区右侧趟过门将科尔达兹之后低传中路，拉帕杜拉在门前3米处左脚铲射被罗西破坏
47'射门!!!克罗托内球员特罗塔大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是克里塞蒂格.                   47'补时第2分钟，拉帕杜拉右肋突破传中，苏索在门前12米处左脚凌空抽射太正，被科尔达兹没收
48'克罗托内球员特罗塔大禁区左侧左脚射门,被防守球员封堵.给他传球的是克里塞蒂格.                   47'补时第2分钟，拉帕杜拉右肋突破传中，苏索在门前12米处左脚凌空抽射太正，被科尔达兹没收
49'AC米兰球员拉帕杜拉大禁区外左脚射门,被防守球员封堵.给他传球的是卡拉.                   47'补时第2分钟，拉帕杜拉右肋突破传中，苏索在门前12米处左脚凌空抽射太正，被科尔达兹没收
49'阿里安度-罗西将球处理出底线,AC米兰获得角球.                   47'补时第2分钟，拉帕杜拉右肋突破传中，苏索在门前12米处左脚凌空抽射太正，被科尔达兹没收
50'进球啦！！！AC米兰球员帕莱塔球门线跟前左脚射门,球从左下角飞进球门,球进了! 克罗托内 1-1 AC米兰.                   47'补时第2分钟，拉帕杜拉右肋突破传中，苏索在门前12米处左脚凌空抽射太正，被科尔达兹没收
