6'德布劳内发角球，奥塔门迪前点摆渡                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
6'后点孔帕尼头球接力                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
6'裁判鸣哨，沃克斯倒地                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
6'队医入场观察沃克斯的伤势                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
7'伯恩利的26号右后卫巴德斯利也受伤                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
7'看来他的问题更严重                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
7'比赛继续                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
8'沃克直传，阿圭罗拉边接应回传给沃克                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
8'再交给孔帕尼，横传给奥塔门迪                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
8'奥塔门迪在观察，短传给孔帕尼                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
8'直传，阿圭罗分右面，贝尔纳多没有追上球，球出边线                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
8'泰勒掷后场界外球                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'列侬回传，被德布劳内破坏出边线                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'泰勒掷界外球                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'科克头球摆渡下来                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'转移向右面，斯特林得球回传给达尼洛                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'费尔南迪奥过渡交给了阿圭罗                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'绕半圈分右面的沃克                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
9'带球到中路，回传给德布劳内                   6'开场仅6分钟，孔帕尼角球混战中头球攻门被没收
22'曼城左侧的角球机会                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
22'德布劳内过来主罚，还是战术角球给了贝尔纳多                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
22'交给达尼洛                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
22'达尼洛打出世界波！球进了！                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
23'达尼洛在中路偏左的位置在对方上来趁封堵慢了的机会，右脚带旋转的劲射打入球门右上角死角！                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
23'非常精彩的进球                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
23'沃克交给孔帕尼                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
23'直传给费尔南迪奥                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
24'领先后曼城可以打得更耐心了                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
24'埃德森交给达尼洛                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
24'横传给斯特林                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
24'强突推进被科克撞倒                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
25'费尔南迪奥交给孔帕尼                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
25'分右面的沃克                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
25'将球一让，摆渡了列侬，但球却出边线了                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
25'斯特林断球斜塞给阿圭罗                   22'曼城第22分钟取得领先，贝纳尔多角球混战中传球，达尼洛22码处射入右上死角
39'德布劳内中路推进，闪开角度打门                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'打得太正了被波佩扑一下                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'门前的阿圭罗没有反应过来，用身体挡一下球，打偏了                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'德布劳内中场控球交给京多安                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'分右面的贝尔纳多                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'交给套边上来的沃克                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'横传交给京多安                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
39'交给沃克                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
40'斯特林接应回传给孔帕尼                   39'曼城第39分钟险些扩大比分，京多安传球，德布劳内外围劲射被波佩勉强扑出，但阿圭罗错过补射机会
