4'贵州右路突破，起球，阿尔滨中路防守头球解围，凯塔得球反击被萨利拉倒。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
4'萨利被裁判出示黄牌。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
4'贵州人和后场任意球。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
5'贵州人和外围一脚远射被张翀打出禁区，贵州人和前场右路界外球。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
5'贵州人和解围球发出，阿尔滨后卫将球控制。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
5'凯塔右路带球突破，于海拉人犯规，阻止大连阿尔滨的快速反击。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
6'今天阿尔滨的于汉超首发出场，目前还没有什么表现。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
6'孙继海后场控球，大脚前传。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
7'穆伦发出阿尔滨后场任意球，赵和靖右路突破，底线控球，逼得前场界外球。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
7'赵和靖掷出前场界外球，罗申巴克上抢丢球，贵州人和后场任意球。                   4'第4分钟，萨利在防守时拉拽凯塔领到了本场比赛的第一张黄牌
10'进球了！                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
10'米西莫维奇发出任意球，禁区内张成林高高跃起头球射门，球进！！                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
11'阿尔滨中场开球后，快速组织进攻。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
11'赵和靖右路带球突破，分球罗申巴克。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
11'罗申巴克右路起球，中路禁区内于大宝头球射门，球被对方门将扑出，不过这次头球很有威胁。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
12'孙继海发出门球，球出边线，赵和靖掷出界外球。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
12'罗申巴克中路控球，分球左路。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
12'阿尔滨左路进攻。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
12'陈雷助攻前场，于汉超得球，传后点球，贵州后卫将球控制。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
13'于汉超分球凯塔，凯塔再传罗申巴克。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
13'陈雷左路突破逼得角球。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
13'阿尔滨获得开场第一个角球。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
13'罗申巴克准备发出角球。                   10'第10分钟，贵州人和打破场上僵局，米西莫维奇的任意球罚向阿尔滨小禁区，张成林高高跃起头球攻门，球越过张头顶坠入网窝
46'穆伦后场断球，阿尔滨反击。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
46'于汉超左路突破，被对方陈昌源断下。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'吕鹏丢球后快速反抢，阿尔滨中路继续控球。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'陈雷倒地铲球犯规。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'陈雷被裁判出示黄牌。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
48'贵州发出任意球，张翀出击将球打出禁区。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
49'于汉超前场突破，同样摔倒，好在贵州球员素质比较高，直接将球踢出边线。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
46'下半场双方都没有人员调整。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
46'陈雷防守犯规，贵州人和开场获得前场右路任意球。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'密西莫维奇发出任意球，于大宝头球解围出边线，界外球。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'陈昌源掷出前场界外球，阿尔滨现在全线防守。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
47'中路李春郁挑传禁区，阿尔滨后卫解围，于大宝控球。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
48'李春郁干扰于大宝罚任意球，被裁判出示黄牌。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
48'贵州人和右路进攻。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
48'拉斐尔右路起球，21号于海禁区内冲撞阿尔滨出击门将张翀。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
49'于海被裁判出示黄牌，张翀受伤倒地，队医入场治疗。                   46'1分钟后，于大宝的头球攻门被张烈奋勇挡出
19'球又进了！                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
19'贵州人和进攻越位在先，进球无效。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
20'这个球虽然越位在先，但是阿尔滨的后防，已经整个队伍的经验真是让人担心，同一个位置，让对手入门两次，不可思议。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
20'阿尔滨获得前场任意球，罗申巴克发出任意球，贵州队得球反击。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
21'阿尔滨主教练本场比赛被罚只能在看台遥控指挥。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
21'孙继海中场控球失误，于大宝得球反击，不过于大宝突破犯规，贵州后场任意球。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
22'贵州人和左路赵和靖密西莫维奇犯规。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
22'贵州人和再次获得左侧同一位置任意球，第三个了阿尔滨不能再犯错误了。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
22'密西莫维奇发出任意球，张翀将球打出底线，角球，威胁依然很大。                   19'第19分钟，贵州人和再次获得位置不错的任意球机会，球奔向后点人和包抄球员将球送入球门，就在人和球员庆祝进球之际，边裁举起示意人和有球员越位在先，进球无效
33'罗申巴克传球失误，后场球打在自己队员身上，对方拉斐尔断球快速反击射门，张翀出击没有拿到皮球，好在李学鹏补位，将球踢出底线，角球，这个球太危险了。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
34'赵和靖掷出右路后场界外球，阿尔滨前场现在少一人啊。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
34'于海左路底线传中，阿尔滨后卫解围，外围贵州继续控球进攻。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
35'吕鹏右路进攻，孙继海阻挡犯规。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
35'贵州现在开始控制场上节奏。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
35'贵州前场再获角球。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
35'密西莫维奇发出角球，张翀出击将球没收。                   32'第32分钟，罗申巴克传球出现失误，拉法断球后形成单刀，张用指尖碰了一下来球，李学鹏抢在球滚入球网前大脚将球解围
37'萨利大脚传球前场左路，张成林直接起脚打门，球打飞了。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
38'纳诺控球失误，于大宝断球被对方侵犯，阿尔滨获得前场任意球。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
38'罗申巴克发出任意球，阿尔滨头球射门，球偏出底线。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
39'张成林发出门球，球直接出边线。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
39'赵和靖界外球，对方防守犯规，阿尔滨前场任意球。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
39'陈雷控球直传于汉超，球传大了，出底线，门球。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
40'孙继海发出门球，贵州前场获得界外球。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
40'吕鹏受伤倒地，裁判鸣笛。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
40'阿尔滨后场任意球，张翀大脚前传。                   37'第37分钟，张成林的一脚凌空射门球飞向看台
42'密西莫维奇发出任意球，纳诺传球禁区，张翀出击没有拿回皮球。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
42'贵州围攻阿尔滨。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
43'贵州右路闫相闯一脚射门，帮助阿尔滨解围。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
43'于汉超前场断球，阿尔滨进攻                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
44'阿尔滨前场反抢，于汉超一脚远射，偏出，不过这次远射也是给贵州一些压力。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
44'张成林的门球怎么都出边线呢。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
45'人和角旗附近掷出界外球。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
45'上半场补时3分钟。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
45'于大宝前场积极拼抢，干扰对方后场控球。                   42'第42分钟，闫相闯右路在角度极小的情况下完成一脚射门
45'人和角旗附近掷出界外球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
45'上半场补时3分钟。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
45'于大宝前场积极拼抢，干扰对方后场控球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
46'穆伦后场断球，阿尔滨反击。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
46'于汉超左路突破，被对方陈昌源断下。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'吕鹏丢球后快速反抢，阿尔滨中路继续控球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'陈雷倒地铲球犯规。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'陈雷被裁判出示黄牌。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
48'贵州发出任意球，张翀出击将球打出禁区。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
46'下半场双方都没有人员调整。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
46'陈雷防守犯规，贵州人和开场获得前场右路任意球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'密西莫维奇发出任意球，于大宝头球解围出边线，界外球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'陈昌源掷出前场界外球，阿尔滨现在全线防守。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
47'中路李春郁挑传禁区，阿尔滨后卫解围，于大宝控球。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
48'李春郁干扰于大宝罚任意球，被裁判出示黄牌。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
48'贵州人和右路进攻。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
48'拉斐尔右路起球，21号于海禁区内冲撞阿尔滨出击门将张翀。                   45'45分钟战罢，大连阿尔滨暂1-1贵州人和
48'贵州发出任意球，张翀出击将球打出禁区。                   48'第48分钟，李春郁防守于大宝时染黄，随后，于海在与阿尔滨门将张争抢高球时冲撞门将染黄
