12'1-0！！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
12'阿兰的进球！！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
13'黄博文角球开出到禁区中路，保利尼奥头球摆渡，阿兰后点甩开刘建业，头球接力顶进！！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
14'马丁内斯右路拿球，强突甩开黄博文                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
14'面对补防的冯潇霆，人球分过！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
14'强突下底，李学鹏补防过来，将球破坏出边线！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
15'特谢拉前场右路拿球，面对两人夹抢                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
15'回传陈吉，陈吉边路强突，球出边线                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
15'边裁给了恒大后场界外球！！                   12'第12分钟，黄博文角球传中，保利尼奥头球摆渡，阿兰头球接力破门
56'吉翔右路拿球内切，横传到后点，谢鹏飞停球一拨，左脚抽射，打进球门右侧！                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
56'黄博文中场拿球，强突后斜传到禁区                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
56'高拉特甩头轰门，顶高了！！                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
57'拉米雷斯中场争抢，跳起来撞翻了上来的冯潇霆                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
57'拉米雷斯被主裁判出示了黄牌警告！！！                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
58'保利尼奥中场拿球，过顶找郜林                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
58'边裁举旗，郜林的越位在先！！！                   55'第55分钟，吉翔带球横传，谢鹏飞得球斜射得手
47'第一点被恒大球员解围！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
47'裁判鸣哨！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
47'曹海清左路拿球，强突内切                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
47'和张琳芃发生身体碰撞，摔倒在地                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
47'球被张琳芃控制，大范围转移球找李学鹏                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
47'李学鹏没能启动，球先出了边线！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
48'李学鹏也是向队友挥手，表示歉意！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
48'谢鹏飞禁区内拿球，转身回传给到拉米雷斯                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
48'拉米雷斯跟进左脚抽射，打在防守球员身上弹起                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
49'球到了越位位置的马丁内斯脚下                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
49'裁判没举旗，马丁内斯转身抽射，被曾诚封堵！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
49'曾诚很不满，向队友怒吼发泄！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
49'不过主裁判还是鸣哨，吹罚了马丁内斯的越位，给了恒大门球                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
50'于汉超前场拿球，强突被曹海清放铲带倒在地                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
50'球到了保利尼奥脚下，右侧的斜传到后点                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
50'阿兰插上慢了点，球先出了底线！！                   47'第2分钟，江苏苏宁角球进攻差点破门，特谢拉弧线球传中，吉翔摆脱防守头球后蹭直奔球门，曾诚反应迅速将球挡出
57'拉米雷斯中场争抢，跳起来撞翻了上来的冯潇霆                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
57'拉米雷斯被主裁判出示了黄牌警告！！！                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
58'保利尼奥中场拿球，过顶找郜林                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
58'边裁举旗，郜林的越位在先！！！                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
59'恒大中场抢断，于汉超斜传找高拉特                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
59'边裁举旗，高拉特越位在先！！                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
60'拉米雷斯后场拿球，阿兰反抢，拉人犯规！！                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
60'刘建业的过顶球找马丁内斯，边裁举旗，越位在先！                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
60'保利尼奥中场拿球强突，变向被拉米雷斯绊倒在地                   57'第12分钟，黄博文弧线球传中，保利尼奥头球后蹭，阿兰后点接力头球破门，广州恒大1-0领先
64'球被回防的黄博文抢断，给到保利尼奥                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
64'保利尼奥再给右侧的于汉超                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
64'于汉超回带两步，斜传后点找郜林                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
64'被防守球员将球破坏出底线，角球！！                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
65'黄博文角球开出到前点，马丁内斯头球解围！！                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
65'特谢拉外围想拿，被冯潇霆拦截                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
65'分球右侧张琳芃，张琳芃的强突下底，趟大出底线！                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
66'周云后场拿球，分球给到刘建业                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
66'刘建业再给左侧曹海清                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
67'曹海清斜传找特谢拉，被保利尼奥回防抢断                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
67'分球刘健，刘健的长传找郜林                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
67'李昂回防没顶到，好在周云及时回来，将球拦截！                   64'第19分钟，崔龙洙用谢鹏飞换下U23小将陈吉
72'队医进场，简单查看后，刘健起身离场治疗！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
72'于汉超前场右路拿球，斜传到禁区！！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
73'郜林插上，脚后很回做找高拉特                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
73'球防守球员抢先破坏！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
73'苏宁的反击，特谢拉拿球！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
73'一个加速，想要摆脱保利尼奥，被拉了一把                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
73'保利尼奥被主裁判出示了黄牌警告！！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
74'李学鹏后场左路拿球，吉翔的放铲逼抢，犯规！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
74'斯科拉里对于这个犯规很不满，向裁判抗议，可惜没用！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
75'张晓彬坐在了地上，出现抽筋，队友帮忙压腿！！                   72'第27分钟，广州恒大也作出换人，于汉超换下温家宝
83'恒大换人：25号邹正上，换下了进球功臣7号阿兰！！                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
84'苏宁换人：27号杨家威上，换下24号吉翔                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
85'慢镜回放显示：马丁内斯刚刚拿球强突，被李学鹏踢倒在地，保利尼奥上手捂着坐在地上的马丁内斯眼睛将其搂倒在地                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
86'恒大后场的长传，郜林前场争抢，和李昂发生摩擦！！                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
86'裁判吹停比赛，李昂和郜林各打五十大板，每人一张黄牌！！！                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
86'邹正前场逼抢，放铲绊倒了上来的拉米雷斯！！                   83'第38分钟，江苏苏宁错失得分良机，马丁内斯晃开防守队员后远射，球被曾诚飞身挡出，拉米雷斯跟进抢球时与后卫纠缠倒地，但主裁判未判罚
93'拉米雷斯中圈拿球，分球刘建业                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
93'刘建业再给谢鹏飞，谢鹏飞给到右侧陶源                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
93'陶源的斜传球到禁区，张琳芃头球解围！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
93'张琳芃右路再抢，球出了边线！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
94'于汉超后场背身拿球，陶源身后逼抢，犯规！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
94'比分领先，人数劣势，恒大节奏慢慢，等待时间的耗尽                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
94'冯潇霆后场过顶找前场左侧的高拉特，球出了边线                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
96'苏宁前场斜传球到禁区！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
96'邹正附身，将球解围出来！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
96'谢鹏飞左路拿球，强突被刘健放倒在地！！                   93'下半场易边再战，第48分钟，拉米雷斯远射打在防守队员身上弹给马丁内斯，后者射门被挡出，随后边裁示意越位
56'吉翔右路拿球内切，横传到后点，谢鹏飞停球一拨，左脚抽射，打进球门右侧！                   55'第55分钟，江苏苏宁扳回一分
56'黄博文中场拿球，强突后斜传到禁区                   55'第55分钟，江苏苏宁扳回一分
56'高拉特甩头轰门，顶高了！！                   55'第55分钟，江苏苏宁扳回一分
57'拉米雷斯中场争抢，跳起来撞翻了上来的冯潇霆                   55'第55分钟，江苏苏宁扳回一分
57'拉米雷斯被主裁判出示了黄牌警告！！！                   55'第55分钟，江苏苏宁扳回一分
58'保利尼奥中场拿球，过顶找郜林                   55'第55分钟，江苏苏宁扳回一分
58'边裁举旗，郜林的越位在先！！！                   55'第55分钟，江苏苏宁扳回一分
57'拉米雷斯中场争抢，跳起来撞翻了上来的冯潇霆                   57'第57分钟，拉米雷斯犯规被黄牌警告
57'拉米雷斯被主裁判出示了黄牌警告！！！                   57'第57分钟，拉米雷斯犯规被黄牌警告
58'保利尼奥中场拿球，过顶找郜林                   57'第57分钟，拉米雷斯犯规被黄牌警告
58'边裁举旗，郜林的越位在先！！！                   57'第57分钟，拉米雷斯犯规被黄牌警告
59'恒大中场抢断，于汉超斜传找高拉特                   57'第57分钟，拉米雷斯犯规被黄牌警告
59'边裁举旗，高拉特越位在先！！                   57'第57分钟，拉米雷斯犯规被黄牌警告
60'拉米雷斯后场拿球，阿兰反抢，拉人犯规！！                   57'第57分钟，拉米雷斯犯规被黄牌警告
60'刘建业的过顶球找马丁内斯，边裁举旗，越位在先！                   57'第57分钟，拉米雷斯犯规被黄牌警告
60'保利尼奥中场拿球强突，变向被拉米雷斯绊倒在地                   57'第57分钟，拉米雷斯犯规被黄牌警告
46'上半场比赛补时1分钟！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'恒大前场抢断，于汉超拿球斜传禁区                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'保利尼奥插上抢点头球，差一点！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'苏宁的前场进攻，特谢拉的打门，被挡出底线！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'苏宁获得左侧角球，开出到禁区                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'第一点被恒大球员解围！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
47'裁判鸣哨！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
46'下半场比赛开始！！！                   46'1分钟后，吉翔连人带球铲翻李学鹏，引发斯科拉里强烈不满
