4'伊班拿球过顶球给到卡贝萨斯，卡贝萨斯横传武磊                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
4'武磊带球强突，宋龙回防身后踢倒武磊，犯规                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
4'上港获得前场的任意球机会                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
5'卡贝萨斯的任意球直接攻门，打偏                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
5'这球卡贝萨斯打的毫无目标，偏得离谱啊                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
6'李运秋后场防守中放翻了进攻的中能的队员                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
6'中能获得前场左侧任意球                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
6'任意球过度给到前插的朱世玉                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
7'朱世玉拿球下底，球出底线前勾回门前，颜俊涛将球没收                   4'第4分钟朱峥嵘突破赢得任意球，卡贝萨斯直接射门偏出
14'武磊的这个进球，是他本赛季打进的第13粒进球                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
14'                    14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
15'中能的前场进攻，卡巴特罗拿球强突，小禁区左侧抽射，滑门而出                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
16'武磊前场左路拿球，横切后的挑传禁区                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
16'古斯塔沃力压卡贝萨斯头球解围出禁区                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
17'卡巴耶罗得球准备打反击，伊班原地反抢，直接犯规阻挡                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
17'上港再次中场抢断，直塞给到卡贝萨斯                   14'落后的青岛只能打起精神进攻，第14分钟卡巴雷罗禁区左路得球怒射稍偏
18'卡贝萨斯拿球进入禁区，劲射被挡出                   18'第18分钟李壮飞中场防守犯规吃到黄牌
18'李壮飞得球，卡贝萨斯倒地放铲，带倒了李壮飞                   18'第18分钟李壮飞中场防守犯规吃到黄牌
19'李运秋右路拿球，人球分过的突破，可惜球是趟出了边线                   18'第18分钟李壮飞中场防守犯规吃到黄牌
19'邹正后场拿球，分边给到右路的宋博                   18'第18分钟李壮飞中场防守犯规吃到黄牌
20'宋博拿球过了中线，横传交给许景杰                   18'第18分钟李壮飞中场防守犯规吃到黄牌
20'许景杰的传球到禁区弧顶，阿多的头球解围                   18'第18分钟李壮飞中场防守犯规吃到黄牌
20'上港的反击，后场长传过顶找卡贝萨斯                   18'第18分钟李壮飞中场防守犯规吃到黄牌
21'卡贝萨斯争顶被吹犯规，手上有个抬肘的动作，打在了梅尔坎的身上                   18'第18分钟李壮飞中场防守犯规吃到黄牌
21'中能的前场进攻，赢得右侧角球机会                   18'第18分钟李壮飞中场防守犯规吃到黄牌
21'宋博角球开出到禁区，颜骏涛出击直接将球收入怀中                   18'第18分钟李壮飞中场防守犯规吃到黄牌
30'30分钟不到，上港已经3球领先，这是要大胜的节奏啊                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
30'中能前场进攻赢得任意球机会                   30'第30分钟青岛队攻到上港禁区前沿，阿多在和卡巴雷罗争顶时犯规，青岛获得禁区弧里的任意球机会，朱世玉一脚射门打在人墙上弹出界
