4'纽卡掷出边线球                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
5'利物浦反击机会，科洛奇尼艰难的倒地将球捅给了门将                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
5'节奏忽然加快                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
6'利物浦的前场紧逼只能逼得纽卡横向倒脚                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
6'巴洛特利目前还没有联赛进球，不知道今天怎么样                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
7'西索科中场险些丢球                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
7'纽卡稳稳地将球控制在自己的脚下，不敢丝毫的大意                   4'第4分钟，前曼联边锋奥贝坦传球，西塞的射门被封堵
16'慢镜头回放，刚才奥贝坦倒在了利物浦禁区，乔阿伦确实没有犯规，裁判的吹罚没有任何的问题                   16'第16分钟，杰拉德头球回摆，库迪尼奥禁区边缘内停球欠佳错过机会
16'斯特林高高跃起秀了一下弹跳，但还是没有争到队友的传球                   16'第16分钟，杰拉德头球回摆，库迪尼奥禁区边缘内停球欠佳错过机会
18'斯特林右路传中，力量给小了                   16'第16分钟，杰拉德头球回摆，库迪尼奥禁区边缘内停球欠佳错过机会
27'利物浦现在还没有一脚打门                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
28'纽卡只有一脚任意球攻门                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
28'巴洛特利也没有什么存在感                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
29'纽卡获得禁区左侧定位球                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
29'杰拉德在指挥防守                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
29'低平球开到前点，混战当中险些带来破门机会                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
30'纽卡仍然控制球权                   27'第27分钟，奥贝坦争顶角球时受伤，阿伦斯替补出场
38'纽卡又获得一个角球                   37'第37分钟，西塞角球混战中小禁区边缘扫射，格伦-约翰逊门线救险，巴洛特利背身解围
38'角球发的非常高，第一点还是被斯科特尔顶出                   37'第37分钟，西塞角球混战中小禁区边缘扫射，格伦-约翰逊门线救险，巴洛特利背身解围
40'亨德森接后场长传想第一时间将球扫到禁区中央，但却没有发上力气                   37'第37分钟，西塞角球混战中小禁区边缘扫射，格伦-约翰逊门线救险，巴洛特利背身解围
40'科洛奇尼不敢大意，将球破坏出底线                   37'第37分钟，西塞角球混战中小禁区边缘扫射，格伦-约翰逊门线救险，巴洛特利背身解围
45'斯特林外脚背挑传给杰拉德，想要做一个撞墙配合，但意图被对方后卫及时识破，没有形成什么威胁                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
45'纽卡获得禁区弧顶任意球                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
45'米尼奥莱的考验来了                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
46'西塞直接打门，打高了                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
47'上半场补时2分钟                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
48'斯特林今天上半场在杜梅特的干扰下没有好的机会                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
47'利物浦下场比赛将要客场面对皇家马德里                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
47'亨德森斜长传找到莫雷诺，被对方后卫碰出了边线，利物浦掷边线球                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
48'佩雷斯对位换下了西塞                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
48'斯特林越位                   45'第45分钟，斯科特尔禁区弧顶绊倒西索科被罚黄牌，史蒂文-泰勒再次干扰门将米尼奥莱也被黄牌警告，但西塞任意球直接射门高出
49'乔阿伦被西索科放倒，利物浦获得前场定位球                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
49'西索科并为此获得了黄牌                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
50'巴洛特利任意球直接射门，皮球弹地之后被克鲁尔直接抱在怀里                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
50'球的质量还是很不错的                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
50'不过这球对克鲁尔来说没有什么威胁                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
52'科洛奇尼一头爆炸头也是醉了                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
52'利物浦明显下半场加强了攻势，看来是势必要拿走三分啊                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
52'不过纽卡也是针锋相对                   49'第49分钟，西索科后场对乔-艾伦铲球犯规被罚黄牌，巴洛特利30码外任意球射门正入克鲁尔下怀
58'库蒂尼奥左侧传中，第一点被科洛尼奇定出来                   57'第57分钟，杰拉德右路传中，库迪尼奥小禁区前头球攻门被克鲁尔飞身扑出
58'纽卡9次犯规，利物浦7次犯规                   57'第57分钟，杰拉德右路传中，库迪尼奥小禁区前头球攻门被克鲁尔飞身扑出
60'纽卡中场连续倒地放铲，甚是凶残啊                   57'第57分钟，杰拉德右路传中，库迪尼奥小禁区前头球攻门被克鲁尔飞身扑出
60'西索科左路直接面对格伦约翰逊，传中被约翰逊伸脚挡出禁区                   57'第57分钟，杰拉德右路传中，库迪尼奥小禁区前头球攻门被克鲁尔飞身扑出
47'上半场补时2分钟                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
48'斯特林今天上半场在杜梅特的干扰下没有好的机会                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
47'利物浦下场比赛将要客场面对皇家马德里                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
47'亨德森斜长传找到莫雷诺，被对方后卫碰出了边线，利物浦掷边线球                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
48'佩雷斯对位换下了西塞                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
48'斯特林越位                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
49'乔阿伦被西索科放倒，利物浦获得前场定位球                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
49'西索科并为此获得了黄牌                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
50'巴洛特利任意球直接射门，皮球弹地之后被克鲁尔直接抱在怀里                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
50'球的质量还是很不错的                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
50'不过这球对克鲁尔来说没有什么威胁                   47'2分钟后，扬马特对巴洛特利犯规被罚黄牌
73'杨马特逼抢中线的博里尼被吹了犯规                   73'纽卡斯尔第73分钟打破僵局，西索科禁区左侧斜传，莫雷诺解围失误，阿约泽-佩雷斯10码处劲射破门
76'阿约泽小禁区前捡漏，一脚怒射，皮球窜进球网。                   73'纽卡斯尔第73分钟打破僵局，西索科禁区左侧斜传，莫雷诺解围失误，阿约泽-佩雷斯10码处劲射破门
76' [此时此刻值得来杯嘉士伯]                   73'纽卡斯尔第73分钟打破僵局，西索科禁区左侧斜传，莫雷诺解围失误，阿约泽-佩雷斯10码处劲射破门
77'利物浦获得右侧角球                   77'纽卡斯尔第77分钟险些扩大比分，卡贝拉同阿约泽-佩雷斯踢墙配合后突入禁区边缘内单刀射门，米尼奥莱用腿堪堪挡出左侧立柱
77'半高球到中路，但被对方后卫顶出                   77'纽卡斯尔第77分钟险些扩大比分，卡贝拉同阿约泽-佩雷斯踢墙配合后突入禁区边缘内单刀射门，米尼奥莱用腿堪堪挡出左侧立柱
77'第二点被亨德森控制住                   77'纽卡斯尔第77分钟险些扩大比分，卡贝拉同阿约泽-佩雷斯踢墙配合后突入禁区边缘内单刀射门，米尼奥莱用腿堪堪挡出左侧立柱
79'卡贝拉上前抢断，中路一片坦途，直接面对门将，米尼奥莱伸脚将球挡出                   77'纽卡斯尔第77分钟险些扩大比分，卡贝拉同阿约泽-佩雷斯踢墙配合后突入禁区边缘内单刀射门，米尼奥莱用腿堪堪挡出左侧立柱
81'克鲁尔开门球，直接打到了巴洛特利的屁股上                   80'第80分钟，阿约泽-佩雷斯传球，卡贝拉25码处弧线球射门偏出右上角
81'纽卡斯尔右路反击，阿约泽起脚传中，斯科特尔头球解围                   80'第80分钟，阿约泽-佩雷斯传球，卡贝拉25码处弧线球射门偏出右上角
82'兰伯特换下库蒂尼奥                   80'第80分钟，阿约泽-佩雷斯传球，卡贝拉25码处弧线球射门偏出右上角
83'西索科往小禁区横传，球被米尼奥莱直接控制住                   80'第80分钟，阿约泽-佩雷斯传球，卡贝拉25码处弧线球射门偏出右上角
88'巴洛特利左侧传中，博里尼接球转身打门，结果打次了                   87'第87分钟，巴洛特利传球，莫雷诺的射门被克鲁尔救下
88'门将轻松将球拿到                   87'第87分钟，巴洛特利传球，莫雷诺的射门被克鲁尔救下
89'杰拉德清晰地将球转移到右路                   87'第87分钟，巴洛特利传球，莫雷诺的射门被克鲁尔救下
90'洛夫伦放倒了卡贝拉领到了黄牌                   87'第87分钟，巴洛特利传球，莫雷诺的射门被克鲁尔救下
90'纽卡获得禁区右侧的任意球                   87'第87分钟，巴洛特利传球，莫雷诺的射门被克鲁尔救下
