2'米尔泽耶夫斯基为特拉布宗赢得一个任意球.                   1'第1分钟，尤文反客为主，完全压制了对手
2'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   1'第1分钟，尤文反客为主，完全压制了对手
3'艾丁为特拉布宗赢得一个任意球.                   1'第1分钟，尤文反客为主，完全压制了对手
3'尤文图斯球员佩鲁索拼抢犯规,对手获得控球权.                   1'第1分钟，尤文反客为主，完全压制了对手
4'特拉布宗球员艾丁拼抢犯规,对手获得控球权.                   1'第1分钟，尤文反客为主，完全压制了对手
4'博努奇为尤文图斯赢得一个任意球.                   1'第1分钟，尤文反客为主，完全压制了对手
9'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是乔文科.                   9'第9分钟，马尔基西奥禁区边缘抽射被扑出底线
9'扬将球处理出底线,尤文图斯获得角球.                   9'第9分钟，马尔基西奥禁区边缘抽射被扑出底线
9'尤文图斯球员佩鲁索球门线跟前尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是马尔基西奥.                   9'第9分钟，马尔基西奥禁区边缘抽射被扑出底线
11'尤文图斯球员比达尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是乔文科.                   9'第9分钟，马尔基西奥禁区边缘抽射被扑出底线
12'射门!!!尤文图斯球员博格巴大禁区外右脚射门,被对方守门员横身扑出.给他传球的是比达尔.                   9'第9分钟，马尔基西奥禁区边缘抽射被扑出底线
14'尤文图斯球员马尔基西奥一脚直塞球给佩鲁索,但是边裁举旗显示后者已经越位.                   14'尤文第14分钟进球无效，马尔基西奥右侧开出角球，博努奇在门前12米处捅射被奥努尔-基夫拉克伸腿挡出，博格巴缘补射被挡，马尔基西奥禁区边缘左脚再射，佩卢索将球推进门内，但被判越位
14'特拉布宗球员艾丁拼抢犯规,对手获得控球权.                   14'尤文第14分钟进球无效，马尔基西奥右侧开出角球，博努奇在门前12米处捅射被奥努尔-基夫拉克伸腿挡出，博格巴缘补射被挡，马尔基西奥禁区边缘左脚再射，佩卢索将球推进门内，但被判越位
14'佩鲁索为尤文图斯赢得一个任意球.                   14'尤文第14分钟进球无效，马尔基西奥右侧开出角球，博努奇在门前12米处捅射被奥努尔-基夫拉克伸腿挡出，博格巴缘补射被挡，马尔基西奥禁区边缘左脚再射，佩卢索将球推进门内，但被判越位
16'特拉布宗球员扬拼抢犯规,对手获得控球权.                   14'尤文第14分钟进球无效，马尔基西奥右侧开出角球，博努奇在门前12米处捅射被奥努尔-基夫拉克伸腿挡出，博格巴缘补射被挡，马尔基西奥禁区边缘左脚再射，佩卢索将球推进门内，但被判越位
16'伊斯拉为尤文图斯赢得一个任意球.                   14'尤文第14分钟进球无效，马尔基西奥右侧开出角球，博努奇在门前12米处捅射被奥努尔-基夫拉克伸腿挡出，博格巴缘补射被挡，马尔基西奥禁区边缘左脚再射，佩卢索将球推进门内，但被判越位
33'尤文图斯球员比达尔大禁区右侧右脚射门,被防守球员封堵.给他传球的是伊斯拉.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
33'进球啦！！！尤文图斯球员奥斯瓦尔多球门线跟前头球,球从中路偏上飞进球门,球进了!助攻的是乔文科. 特拉布宗 0-2 尤文图斯.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
34'特拉布宗克乐斯受伤倒地,比赛暂停                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
34'暂停结束,球员们重新开始比赛.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
35'射门!!!尤文图斯球员乔文科大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是博格巴.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
36'博辛瓦为特拉布宗赢得一个任意球.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
36'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   33'第33分钟，马尔基西奥传过顶球，乔文科禁区左侧反越位挑传中路，奥斯瓦尔多顶过门线，2比0
59'尤文图斯球员奥斯瓦尔多大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是马尔基西奥.                   59'第59分钟，奥斯瓦尔多突入禁区右侧踩单车斜射掠过横梁
62'马卢达将球处理出底线,尤文图斯获得角球.                   59'第59分钟，奥斯瓦尔多突入禁区右侧踩单车斜射掠过横梁
48'尤文图斯球员博努奇一脚直塞球给比达尔,但是边裁举旗显示后者已经越位.                   46'1分钟后，奥尔坎-阿丁任意球被布冯没收
49'尤文图斯球员奥斯瓦尔多大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是佩鲁索.                   46'1分钟后，奥尔坎-阿丁任意球被布冯没收
73'射门!!!尤文图斯球员帕多因大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是奥斯瓦尔多.                   73'第73分钟，奥斯瓦尔多脚后跟传球，帕多因左侧距门9米处左脚抽射险些被奥努尔-基夫拉克漏进门内
73'基弗拉克将球处理出底线,尤文图斯获得角球.                   73'第73分钟，奥斯瓦尔多脚后跟传球，帕多因左侧距门9米处左脚抽射险些被奥努尔-基夫拉克漏进门内
75'尤文图斯球员博努奇一脚直塞球给比达尔,但是边裁举旗显示后者已经越位.                   73'第73分钟，奥斯瓦尔多脚后跟传球，帕多因左侧距门9米处左脚抽射险些被奥努尔-基夫拉克漏进门内
88'特拉布宗球员Özer Hurmaci大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是保尔斯安鲁.                   88'第88分钟，厄泽尔-胡尔马奇在门前20米处转身低射稍偏出左门柱
89'特拉布宗球员尤姆鲁大禁区外右脚射门,被防守球员封堵.                   88'第88分钟，厄泽尔-胡尔马奇在门前20米处转身低射稍偏出左门柱
