2'皇马右路斜传球到左前场找C罗                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
3'洛文斯上抢将球拦截                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
3'洛文斯后场过顶长传到前场，阿韦罗亚将球控制                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
3'迪马利亚前场拿球过度给到C罗                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
4'C罗拿球横带，没机会起脚转移球到右路给迪马利亚                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
4'迪马利亚的边路下底传中被萨拉戈萨后卫顶出                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
5'萨拉戈萨后场直传球给到波斯蒂加                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
5'波斯蒂加禁区弧顶拿球，面对佩佩的封堵，直接一脚打门，踢飞啦                   2'开场仅2分钟，皇马解围角球，阿布拉罕外围射门偏出
18'游客4763:直播怎么看啊（图文这里就可以，视频进刚发的收视指南视频链接即可）                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
18'埃辛后场的解围球，见高不见远                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
18'萨拉戈萨中场斜传球给到左路的波斯蒂加                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
19'波斯蒂加面对拉莫斯和佩佩的双人包夹，强行底线内切                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
19'结果球被波斯蒂加自己带出了底线                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
20'皇家小米:咋才来人解说 搞笑（我早就来了，哈哈）                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
20'迪马利亚右边路的横传球，伊瓜因包抄慢了半拍                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
21'拉莫斯后场停球失误，波斯蒂加拿球进入禁区                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
21'波斯蒂加的倒地铲射，卡西利亚斯奋力将球扑出                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
21'C罗左路拿球为皇马赢得角球机会                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
21'厄齐尔角球开出，第一点被萨拉戈萨球员解围                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
21'阿尔比奥尔禁区外得到第二落点，起脚打门，球打在后卫身上出底线                   18'第18分钟，阿韦罗亚左路传中，C-罗纳尔多10码处头球攻门高出
23'皇马进球啦~~                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
23'伊瓜因~~~~~~~                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
23'莫德里奇右侧角球开到门前，阿尔比奥尔的头球攻门被挡出，伊瓜因门前捡漏，补射得手                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
24'伊瓜因门前嗅觉无人能敌啊                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
24'迪马利亚右边路拿球横传给到伊瓜因                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
24'伊瓜因拿球准备人球分过，可惜球过人未过                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
25'C罗前场拿球，分边给到右路的迪马利亚                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
25'进球啦                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
25'迪马利亚~~~~~~                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
26'迪马利亚左脚的传球被后卫挡出，迪马利亚得球再起脚打门又被挡出，跟进，门前补射远角得手                   23'皇马连续获得角球并在第23分钟取得领先，摩德里奇开出角球，阿尔比奥尔10码处头球攻门被罗贝托勉强扑出，伊瓜因近距离补射入网，这是他本赛季第7粒联赛入球
27'萨拉戈萨的进攻根本到不了皇马禁区附近啊                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
27'皇马又是中场的抢断，莫德里奇过顶斜传给到右路的C罗                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
27'C罗拿球进入禁区，面对冈萨雷斯的封堵，一脚怒射，踢偏啦                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
28'C罗也是一脸苦笑，心想迪马利亚此位置能进，我怎么就这么难了                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
29'厄齐尔前场拿球过掉一名球员后横传给到插上的埃辛                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
29'埃辛得球直接拔脚怒射，球踢飞啦                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
30'卡西利亚斯手抛球失误，直接抛给了波斯蒂加                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
30'波斯蒂加左边路拿球，面对拉莫斯的防守，横传球到门前                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
30'卡西利亚斯在佩佩的掩护下，出击将球揽入怀中                   27'第27分钟，摩德里奇传球，C-罗纳尔多禁区右侧12码处小角度低射偏出远角
38'阿波诺左路拿球内切，禁区外突施冷箭，可惜打偏了                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
38'目前控球率：皇马59%，萨拉戈萨41%                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
39'皇马也开始前场逼抢了，这可是萨拉戈萨的招牌哦                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
39'拉莫斯前场拿球，想来一个马赛回转，可惜不是齐达内，控球没控好，出界啦                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
40'马里禁区右上角的一脚打门，球打在队友身上弹出底线                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
41'皇马后场过顶直传给到右前场的迪马利亚                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
41'迪马利亚拿球向里走，禁区线上突然起脚，左脚的斜射，球滑门而出                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
41'萨拉戈萨右路的传接寻求进攻机会                   38'第38分钟，阿布拉罕传球，蒙塔内斯左路突破至25码处的劲射偏出远角
58'维克多禁区弧顶拿球，闪开角度突然的一脚打门，卡西利亚斯飞身将球扑出了底线                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
59'维克多的这脚打门质量很高，但是卡西利亚斯的扑救更是炉火纯青                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
59'萨拉戈萨获得左侧角球机会，没能形成威胁                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
60'皇马前场直传球到禁区找伊瓜因                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
60'洛文斯卡住身位，罗伯托出击将球没收，同时还带倒了洛文斯                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
61'洛文斯在这次冲撞中还受伤啦，郁闷哦                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
61'萨拉戈萨右路的进攻赢得角球，不过没威胁                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
61'阿波诺禁区外拿球突施冷箭，卡西利亚斯奋力将球扑出                   58'第58分钟，波斯蒂加传球，维克托禁区边缘的弧线球射门被卡西利亚斯飞身扑出
63'我们看到本泽马在场边热身了，但何时登场目前还是个未知                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
63'莫德里奇禁区中路接到C罗的传球，右脚轮射踢飞                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
64'莫德里奇前场拿球，禁区线上起脚打门，被对方后卫挡出                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
64'阿韦罗亚中场防守时身后推倒了维克多，犯规                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
65'萨拉戈萨的远射击中横梁弹出                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
65'这是萨拉戈萨连续第三次打门打在门框范围内啦                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
65'阿布拉姆左路拿球直传给到蒙塔内斯                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
66'蒙塔内斯拿球面对拉莫斯的防守，横拨，拉莫斯伸腿将蒙塔内斯放倒                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
66'拉莫斯被裁判出示黄牌警告                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
66'萨拉戈萨获得了前场左路的任意球机会                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
66'任意球开到禁区内，阿尔比奥尔头球解围                   63'第63分钟，C-罗纳尔多右路传中，摩德里奇15码处第一时间侧身抽射偏出
68'任意球开到禁区弧顶，蒙塔内斯的一脚远射，打在后卫身上出底线                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
68'萨拉戈萨获得左侧角球机会，没能形成威胁                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
69'波斯蒂加进球了，可惜被吹罚越位在先，进球无效                   68'第68分钟，莫维利亚挑传，波斯蒂加抽射破门因越位被判无效，但回放显示这次判罚具有争议
