17'汉堡球员伊利切维奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉索加.                   17'汉堡第17分钟浪费机会，拉索加挑传过顶，伊利舍维奇鱼跃冲顶偏出
19'多特蒙德球员京多安大禁区外右脚射门,被防守球员封堵.                   17'汉堡第17分钟浪费机会，拉索加挑传过顶，伊利舍维奇鱼跃冲顶偏出
19'拉索加为汉堡赢得一个任意球.                   17'汉堡第17分钟浪费机会，拉索加挑传过顶，伊利舍维奇鱼跃冲顶偏出
19'多特蒙德球员沙欣拼抢犯规,对手获得控球权.                   17'汉堡第17分钟浪费机会，拉索加挑传过顶，伊利舍维奇鱼跃冲顶偏出
20'汉堡球员斯帕希奇一脚直塞球给霍尔特比,但是边裁举旗显示后者已经越位.                   17'汉堡第17分钟浪费机会，拉索加挑传过顶，伊利舍维奇鱼跃冲顶偏出
52'汉堡球员阿德勒拼抢犯规,对手获得控球权.                   51'第51分钟，拉莫斯前场抢断直传，香川真司形成单刀之势，门将阿德勒出击将其扑倒，被红牌罚下
52'香川真司为多特蒙德在对方半场,赢得一个任意球.                   51'第51分钟，拉莫斯前场抢断直传，香川真司形成单刀之势，门将阿德勒出击将其扑倒，被红牌罚下
52'裁判将汉堡的阿德勒直接红牌罚下.                   51'第51分钟，拉莫斯前场抢断直传，香川真司形成单刀之势，门将阿德勒出击将其扑倒，被红牌罚下
54'汉堡换人,德罗布尼换下卡查尔                   51'第51分钟，拉莫斯前场抢断直传，香川真司形成单刀之势，门将阿德勒出击将其扑倒，被红牌罚下
86'射门!!!多特蒙德球员香川真司大禁区外右脚射门,被对方守门员横身扑出.给他传球的是莱特纳.                   86'第86分钟，香川真司与替补莱特纳打出踢墙配合，禁区前沿劲射造成德布罗尼脱手，拉莫斯左脚补进空门，3比0，他在2016年德甲平均82.7分钟打进1球
86'进球啦！！！多特蒙德球员阿德里安-拉莫斯大禁区中央左脚射门,球从中路偏上飞进球门,球进了! 多特蒙德 3-0 汉堡.                   86'第86分钟，香川真司与替补莱特纳打出踢墙配合，禁区前沿劲射造成德布罗尼脱手，拉莫斯左脚补进空门，3比0，他在2016年德甲平均82.7分钟打进1球
88'斯帕希奇将球处理出底线,多特蒙德获得角球.                   86'第86分钟，香川真司与替补莱特纳打出踢墙配合，禁区前沿劲射造成德布罗尼脱手，拉莫斯左脚补进空门，3比0，他在2016年德甲平均82.7分钟打进1球
89'霍尔特比将球处理出底线,多特蒙德获得角球.                   86'第86分钟，香川真司与替补莱特纳打出踢墙配合，禁区前沿劲射造成德布罗尼脱手，拉莫斯左脚补进空门，3比0，他在2016年德甲平均82.7分钟打进1球
