26'帕托外围突施冷箭                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
26'吴龑飞身扑出                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
26'进球啦                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
27'权健角球开出，禁区内赵旭日头球攻门顶进                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
29'建业把球给到了禁区里右侧                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
29'维特塞尔头球解围                   26'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日头球破门
77'巴索戈直传禁区，禁区内陈子介背身拿球转身打门被封堵                   77'第77分钟，巴索戈边路送助攻，钟晋宝冲顶破门，帮助河南建业扳平比分
77'扳平了                   77'第77分钟，巴索戈边路送助攻，钟晋宝冲顶破门，帮助河南建业扳平比分
78'巴索戈禁区右侧突破后传中，中路钟晋宝冲顶破门                   77'第77分钟，巴索戈边路送助攻，钟晋宝冲顶破门，帮助河南建业扳平比分
78'帕托前场突破，球被戈麦斯放倒                   77'第77分钟，巴索戈边路送助攻，钟晋宝冲顶破门，帮助河南建业扳平比分
79'帕托任意球打门，打在了人墙上                   77'第77分钟，巴索戈边路送助攻，钟晋宝冲顶破门，帮助河南建业扳平比分
48'巴索戈分球右路的钟晋宝                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
48'边路起球传中，皮球是被郑达伦踢出了边线                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
49'多奇卡尔禁区内打门被封堵                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
49' 左路的郑达伦得球                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
49'盘带到了大禁区左侧                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
49'杜长杰把球踢出了底线                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
50'王永珀左侧角球开出，权敬源头球攻门顶出底线                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
51'吴龑分球身前中路的戈麦斯                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
51'再分球右路的顾操                   48'第3分钟，维特塞尔送出长传，帕托快速跟上形成单刀，但是在他打门瞬间，吴龑出击将球没收
60'巴索戈禁区前沿倒地，裁判给了定位球                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
61'孙可要登场了                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
61'多奇卡尔任意球低射，被人墙挡出禁区外                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
62'巴索戈左路回敲，禁区内左侧多奇卡尔抽射近角偏出                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
62'权健换人，孙可替下裴帅                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
63'孙可左路得球倒三角，帕托禁区线上调整后打门偏出                   60'第15分钟，维特塞尔长传再次找到帕托，但是帕托稍微犹豫错失打门机会
67'孙可前场拿球被断掉                   67'第22分钟，王永珀禁区外远射将球射偏
67'杜长杰带球突破，第二个没过去                   67'第22分钟，王永珀禁区外远射将球射偏
69'杨阔外围带球杀入禁区被阻挡，外围杜长杰跟进射门打高                   67'第22分钟，王永珀禁区外远射将球射偏
69'糜昊伦坐在了 草坪上                   67'第22分钟，王永珀禁区外远射将球射偏
69'双方球员借机补水一下                   67'第22分钟，王永珀禁区外远射将球射偏
71'糜昊伦突然被给了红牌                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
71'画面没交代清呢                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
72'裁判认为糜昊伦故意拖延时间，吃到本场第二张黄牌被罚出场                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
73'建业换人，陈子介替下杨阔                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
74'孙可挑传禁区                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
74'戈麦斯抢先把球顶给门将                   71'第26分钟，天津权健打破僵局，王永珀角球传中，赵旭日抢点头球攻门顶入球门左侧，天津权健客场1-0领先
78'巴索戈禁区右侧突破后传中，中路钟晋宝冲顶破门                   78'第33分钟，河南建业打出默契配合，巴索戈做球，多奇卡尔摆脱防守后大力射门，球被张鹭奋勇挡出
78'帕托前场突破，球被戈麦斯放倒                   78'第33分钟，河南建业打出默契配合，巴索戈做球，多奇卡尔摆脱防守后大力射门，球被张鹭奋勇挡出
79'帕托任意球打门，打在了人墙上                   78'第33分钟，河南建业打出默契配合，巴索戈做球，多奇卡尔摆脱防守后大力射门，球被张鹭奋勇挡出
81'权敬源手抛球掷到禁区，争顶后中路的王永珀倒钩打门击中横梁，皮球弹到地上被吴龑抱住                   78'第33分钟，河南建业打出默契配合，巴索戈做球，多奇卡尔摆脱防守后大力射门，球被张鹭奋勇挡出
81'巴索戈左侧带球被权敬源绊倒了                   78'第33分钟，河南建业打出默契配合，巴索戈做球，多奇卡尔摆脱防守后大力射门，球被张鹭奋勇挡出
90'龙成外围挑传禁区，球给出了底线                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
90'权健用王杰替下了赵旭日                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
91'下半场补时4分钟                   90'第45分钟，巴索戈送出妙传，阿卜杜外力跟进射门被后卫挡出
