78'进球啦！！！热刺球员凯恩大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是洛伦特. 热刺 1-1 埃因霍温.                   78'凯恩第78分钟追平比分
80'埃因霍温球员罗萨里奥拼抢犯规,对手获得控球权.                   78'凯恩第78分钟追平比分
80'凯恩为热刺在对方半场,赢得一个任意球.                   78'凯恩第78分钟追平比分
81'埃因霍温换人,塞恩斯伯里换下L-德容                   78'凯恩第78分钟追平比分
89'进球啦！！！热刺球员凯恩大禁区中央头球,球从右下角飞进球门,球进了!助攻的是本-戴维斯. 热刺 2-1 埃因霍温.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
89'埃因霍温祖耶特受伤倒地,比赛暂停                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+1'暂停结束,球员们重新开始比赛.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+1'埃因霍温球员亨德里克斯拼抢犯规,对手获得控球权.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+1'凯恩为热刺赢得一个任意球.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+3'埃因霍温球员施瓦布拼抢犯规,对手获得控球权.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+3'凯恩为热刺赢得一个任意球.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+3'黄牌！埃因霍温球员施瓦布因为恶意犯规,被主裁判出示黄牌.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+4'洛扎诺为埃因霍温在对方半场,赢得一个任意球.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+4'热刺球员Kieran Trippier拼抢犯规,对手获得控球权.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+5'黄牌！热刺球员Kieran Trippier因为恶意犯规,被主裁判出示黄牌.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+6'埃因霍温球员Denzel Dumfries球门右侧小角度尝试右脚射门,可惜皮球高出球门.给他传球的是安杰利诺.                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
90'+7'下半场结束,热刺 2-1 埃因霍温                   89'热刺第89分钟上演绝杀，本-戴维斯左路传中，凯恩在门前9米处头球攻门碰塞恩斯伯里变线入右下角，2比1
