1'好！比赛正式开始！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
1'曼联中圈开球！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
1'落后后场拿球！长传送了出去！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
1'孔多比亚将球拦截！给中圈！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
1'博格巴将球断了下来！回传后场！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
1'罗梅罗拿球！长传送到前场！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
2'皮球被破坏出边线了！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
2'曼联界外球扔出来了！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
2'弗雷德拿球！斜传送了出去！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
2'佩雷拉拿球！被断了下来！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
3'皮球被琼斯断了下来！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
3'孔多比亚中圈断球！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
4'孔多比亚带球推进！斜传送出去！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
4'皮奇尼拿球！斜传送了出去！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
4' 索勒拿球！起脚传中送禁区！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
4'弗雷德将球给破坏了！！                   1'双方第1分钟打出快节奏且对抗激烈，瓦伦西亚飞铲拉托被黄牌警告
31'皮奇尼右路传中！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
31'巴舒亚伊跟进！头球攻门！！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
31'顶高了啊！！！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
32'拜利将球破坏出底线了！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
32'瓦伦西亚角球机会！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
33'瓦伦西亚角球开出来！给禁区！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
33'索勒跟进拿球！凌空打门！！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
33'门将将球扑了出去了！！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
33'孔多比亚拿球！补射！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
33'博格巴以身挡枪！将球挡了出去！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
34'米纳跟进！再打一脚！！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
34'打偏了啊！皮球出了底线了啊！                   31'瓦伦西亚第31分钟错过机会，皮奇尼右路传中，巴舒亚伊小禁区边缘头球攻门高出
47'孔多比亚前场左路拿球！起脚传中！                   47'瓦伦西亚第47分钟扩大优势，帕雷霍直传巴舒亚伊，菲尔-琼斯抢先铲回，但皮球错过出击的罗梅罗滚入自家大门，2-0
