9'穆勒得球，起脚传中                   9'开场9分钟，拜仁首次射正就取得领先
9'被挡出底线，角球                   9'开场9分钟，拜仁首次射正就取得领先
9'开到中路，双方争顶，被解围了                   9'开场9分钟，拜仁首次射正就取得领先
10'弧顶里贝里得到球，一脚抽射，打到防守队员身上出了底线                   9'开场9分钟，拜仁首次射正就取得领先
10'还是角球                   9'开场9分钟，拜仁首次射正就取得领先
10'角球开出，禁区前点                   9'开场9分钟，拜仁首次射正就取得领先
10'莱万跟进头球，进了，，，，，，，，                   9'开场9分钟，拜仁首次射正就取得领先
11'莱万门前抢点帮助拜仁1比0领先                   9'开场9分钟，拜仁首次射正就取得领先
11'回到比赛                   9'开场9分钟，拜仁首次射正就取得领先
11'阿拉巴边路拿球                   9'开场9分钟，拜仁首次射正就取得领先
11'给到里贝里，正面一脚长传                   9'开场9分钟，拜仁首次射正就取得领先
11'穆勒没有争到                   9'开场9分钟，拜仁首次射正就取得领先
12'莱万得球，米尔上来铲出底线                   9'开场9分钟，拜仁首次射正就取得领先
12'角球                   9'开场9分钟，拜仁首次射正就取得领先
12'基米希主罚，低平球罚到前点                   9'开场9分钟，拜仁首次射正就取得领先
12'穆勒控下皮球，没有机会再传了出来                   9'开场9分钟，拜仁首次射正就取得领先
27'回到比赛吧，这回应该能好多了，抱歉                   27'拜仁第27分钟扩大比分
27'里贝里边路得球了，给到阿拉巴                   27'拜仁第27分钟扩大比分
27'再回给上来的博阿滕                   27'拜仁第27分钟扩大比分
27'直塞找莱万                   27'拜仁第27分钟扩大比分
27'后脚跟给到格雷茨卡                   27'拜仁第27分钟扩大比分
28'一脚打门，门柱，，，                   27'拜仁第27分钟扩大比分
28'跟进的莱万                   27'拜仁第27分钟扩大比分
28'直接挡进球门                   27'拜仁第27分钟扩大比分
30'看下回放，格雷茨卡一脚打门中了门柱，跟进的莱万顺势一挡，入网得分                   27'拜仁第27分钟扩大比分
30'拜仁2比0领先                   27'拜仁第27分钟扩大比分
57'格纳布里得球分到右侧                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
57'带球加速推进，禁区右侧一脚传中                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
57'后点里贝里跟进补射                   56'拜仁第56分钟再下一城，布雷德洛夫开球失误，格纳布里凌空垫给穆勒，然后接应穆勒分球，禁区右侧距门10米处小角度射门被布雷德洛夫扑出，里贝里补射被布雷德洛夫一挡还是入网，3比0
