1'上半场比赛开始，泰达队首先开球                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
1'青岛队后才断球后进行传递                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
1'左路小范围的配合很娴熟                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
1'莫拉德拿球时没有处理好                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
2'布鲁诺接应队友传球时越位了                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
2'本场比赛对泰达来说真是非赢不可了                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
3'郑龙中场拼抢犯规                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
3'泰达队前场右路边线球                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
3'帕尔塔鲁大力掷入禁区                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
4'第一点被防守队员结尾出来                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
4'梅尔坎中场拿球分到左路                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
4'斜45度的传球直接被杨启鹏拿到                   1'第1分钟经过几分钟的试探，天津队逐渐开始阵型前压
8'边线球配合，郭亮突破到禁区里横穿被李玮峰解围出底线                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
8'郑龙处理角球                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
8'前点被曹阳顶出来                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
8'梅尔坎外围再传中还是被防守队员解围出来                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
9'球运行到右路，李本舰铲倒了邹正                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
9'李本舰拿到黄牌                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
9'青岛队前场右路任意球                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
9'郑龙任意球没有踢起来                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
10'泰达队反击打到左路，郭亮补防到右路把球踢出边线                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
11'王新欣左路接到边线球后送出直线，瓦伦西亚禁区里没有踢到队友的直传                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
11'梅尔坎和队友撞墙配合后送出直塞，力量没有拿捏好                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
11'尤万希奇前场断球                   8'第8分钟，青岛队快速反击，郑龙将球送入禁区，莫拉德在小禁区拿球切入，但在底线附近的小角度射门被白岳峰挡出底线
14'泰达队帕尔塔鲁中超拿球，过渡到左路                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
15'李本舰左路回传曹阳，后者外围施射产生变线后被牟鹏飞拿到                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
15'力量不大                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
15'郭亮左路面对王冠伊造成对方的犯规                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
16'泰达队反击，瓦伦西亚前场拿球经过长时间调整后准备直塞助攻上去的利马时被回防的队员截获                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
17'曹阳连续两次左路斜传找禁区里的前锋，都没有过对方后卫的顶                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
17'王新欣出现停球失误                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
17'今天泰达队在前场抢的很积极                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
17'采用高位拼抢的战术                   14'第14分钟，曹阳禁区外远射碰到后卫折射后被牟鹏飞得到
15'李本舰左路回传曹阳，后者外围施射产生变线后被牟鹏飞拿到                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
15'力量不大                   15'第15分钟，郭亮在左路拿球被王冠伊铲倒犯规
