4'舍甫丘克将球处理出底线,曼联获得角球.                   1'曼联第1分钟就加强控制，第8分钟，克莱维利挑传，范佩西禁区弧顶的左脚射门高出
18'进球啦！！！曼联球员维尔贝克大禁区中央右脚射门,球从左下角飞进球门,球进了! 顿涅茨克矿工 0-1 曼联.                   18'曼联第18分钟取得领先，费莱尼右路强行摆脱许布施曼后传中，拉基茨基拦截失误，维尔贝克小禁区边缘铲射破门
21'拉斐尔将球处理出底线,顿涅茨克矿工获得角球.                   18'曼联第18分钟取得领先，费莱尼右路强行摆脱许布施曼后传中，拉基茨基拦截失误，维尔贝克小禁区边缘铲射破门
38'费尔南多将球处理出底线,曼联获得角球.                   38'第38分钟，范佩西开出角球，斯马林前点小禁区边缘头球攻门顶偏
38'曼联球员斯马林小禁区右侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是范佩西.                   38'第38分钟，范佩西开出角球，斯马林前点小禁区边缘头球攻门顶偏
39'射门!!!顿涅茨克矿工球员特谢拉大禁区外左脚射门,被对方守门员横身扑出.给他传球的是L-阿德里亚诺.                   38'第38分钟，范佩西开出角球，斯马林前点小禁区边缘头球攻门顶偏
44'曼联球员费莱尼一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   43'第43分钟，斯马林失误，但阿德里亚诺反应迟缓，德赫亚及时出击解围
45'+1'上半场结束,顿涅茨克矿工 0-1 曼联,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，斯马林失误，但阿德里亚诺反应迟缓，德赫亚及时出击解围
46'费莱尼为曼联赢得一个任意球.                   43'第43分钟，斯马林失误，但阿德里亚诺反应迟缓，德赫亚及时出击解围
46'顿涅茨克矿工球员许布施曼拼抢犯规,对手获得控球权.                   43'第43分钟，斯马林失误，但阿德里亚诺反应迟缓，德赫亚及时出击解围
61'曼联球员费莱尼拼抢犯规,对手获得控球权.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
61'泰森为顿涅茨克矿工赢得一个任意球.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
61'黄牌！曼联球员费莱尼因为恶意犯规,被主裁判出示黄牌.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
64'曼联球员维迪奇拼抢犯规,对手获得控球权.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
64'道格拉斯-科斯塔为顿涅茨克矿工在对方半场,赢得一个任意球.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
64'黄牌！曼联球员维迪奇因为恶意犯规,被主裁判出示黄牌.                   61'第61分钟，费莱尼对泰森犯规被罚黄牌
66'曼联换人,吉格斯换下费莱尼                   66'第66分钟，吉格斯替换费莱尼出场
71'曼联球员范佩西大禁区中央左脚射门,被防守球员封堵.给他传球的是拉斐尔.                   71'第71分钟，拉斐尔传球，范佩西的射门被拉基茨基封堵
73'卡里克为曼联赢得一个任意球.                   71'第71分钟，拉斐尔传球，范佩西的射门被拉基茨基封堵
73'顿涅茨克矿工球员道格拉斯-科斯塔拼抢犯规,对手获得控球权.                   71'第71分钟，拉斐尔传球，范佩西的射门被拉基茨基封堵
74'曼联球员吉格斯拼抢犯规,对手获得控球权.                   71'第71分钟，拉斐尔传球，范佩西的射门被拉基茨基封堵
74'斯尔纳为顿涅茨克矿工赢得一个任意球.                   71'第71分钟，拉斐尔传球，范佩西的射门被拉基茨基封堵
85'德赫亚将球处理出底线,顿涅茨克矿工获得角球.                   85'第85分钟，替补出场的伊尔西尼奥右路传中打中斯马林后偏转向球门，德赫亚反应神速托出横梁
86'拉斐尔将球处理出底线,顿涅茨克矿工获得角球.                   85'第85分钟，替补出场的伊尔西尼奥右路传中打中斯马林后偏转向球门，德赫亚反应神速托出横梁
