37'力量稍稍大了，出了底线                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'中场争抢球                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'裁判哨响，给了建业的定位球机会                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'卡拉直接主罚球到禁区                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'禁区里插上队友将球打进                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'现场没有波澜                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
38'边裁举旗越位了                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
39'裁判启用了录像回放                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'进球有效也                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'是陈灏的进球                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'！！！！！                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'这样建业率先取得了场上的优势                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'你还别说这个回放功能的采用作用还是很大的                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
40'因为有些时候助理裁判也是看不太清楚                   37'第37分钟，钟晋宝头球摆渡，陈灏凌空垫射破门，打入全场比赛唯一进球
52'角球开出来                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
52'阿约维的头球攻                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
52'顶高了                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
53'门将大脚将球开出来                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
53'争抢球                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
53'建业进攻                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
54'柯钊分球边路插上的里卡多，传球禁区                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
54'球被门将没收了                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
55'阿约维前场拿球，来一脚打门                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
55'球被挡出来                   52'第7分钟，河南建业获得角球机会，马兴煜弧线球传入禁区，陈灏抢点甩头攻门，球擦着远端立柱偏出
57'中场争球                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
57'裁判给了人和的犯规                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
58'钟金宝前场传球                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
58'球继续被解围出来                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
59'前场尼扎木丁拿球，直接传球禁区，球出了底线                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
60'卡拉前场控制球                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
60'突然来一脚打门                   57'第12分钟，河南建业再次错失机会，柯钊边路突入禁区倒三角回传被后卫挡出，禁区外的钟晋宝远射，球打在万厚良腿上折线飞向球门，张烈反应迅速飞身将球挡出球门
65'球被门将没收了                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
66'前场饶伟辉拿球，直传球给到禁区附近的朱宝杰，往禁区里传                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
66'球被挡出了底线                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
66'角球机会                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
66'角球开出来，球被解围出来                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
67'建业送出长传球                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
67'但是球被拦截了呀                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
67'下半场目前为止和上半场相差还是有点大的呀                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
67'上半场双方进攻打的是有来有回，建业占据着优势                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
67'下半场人和占据了优势                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
68'建业这边失误增加了                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
68'OK，继续看比赛                   65'第20分钟，胡安·卡拉主罚任意球送出挑传，里卡多凌空垫射，球被张烈飞身扑住
79'建业这边换人，杜长杰被换下，路遥上来了                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
80'建业任意球机会                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
80'里卡多直接选择了打门                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
80'打偏了呀                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
81'门将大脚将球开出来                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
81'外围建业将球控制下来                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
81'给到前场里卡多，里卡多继续选择了打门                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
81'还是打高了呀                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
82'双方争抢球                   79'第34分钟，胡安·卡拉禁区外重炮轰门，球被张烈侧扑没收
44'球被挡出来                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
44'外围尼扎木丁拿球，突破，突然来一脚打门                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
44'打高了呀                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
45'这边有人倒地了                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
45'马兴煜倒地了                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'先抬出场外一下                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'上半场马上结束了                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'这边阿约维拿球，传球禁区，球被挡出了底线                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'人和角球机会                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'角球开出来，球被破环出来                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
47'曹永静外围继续起脚打门                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'下半场比赛开始了                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'龙城中场控制球                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'奥兰多直接传球禁区                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
46'球被门将没收                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
47'阿约维前场拿球，送出直塞球                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
47'球被顶出来                   44'第44分钟，尼扎木丁带球突进中突然禁区外重炮射门高出
55'阿约维前场拿球，来一脚打门                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
55'球被挡出来                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
56'饶伟辉外围拿球，传球禁区，球继续被解围出来                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
57'中场争球                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
57'裁判给了人和的犯规                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
58'钟金宝前场传球                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
58'球继续被解围出来                   55'下半场易边再战，第55分钟，王刚突入禁区倒三角回传，阿约维射门被挡出，禁区外得球再次远射又被后卫挡出
46'先抬出场外一下                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'上半场马上结束了                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'这边阿约维拿球，传球禁区，球被挡出了底线                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'人和角球机会                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'角球开出来，球被破环出来                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
47'曹永静外围继续起脚打门                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'球打在防守球员身上出了底线                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'人和继续角球                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'角球开出来                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'裁判哨响，攻方犯规                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'建业这边换人了，杜长杰换下了马兴煜                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
49'对了上半场补时4分钟                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
49'建业定位球机会                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'下半场比赛开始了                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'龙城中场控制球                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'奥兰多直接传球禁区                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
46'球被门将没收                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
47'阿约维前场拿球，送出直塞球                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
47'球被顶出来                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
48'外围争抢球                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
49'有人倒地了                   46'1分钟后，胡安·卡拉冲到前场突然一脚远射将球打飞
75'杜长杰拿球，被犯规了                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
75'而且王选宏还吃到了黄牌                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
75'连续两张黄牌呀                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
76'裁判看来要控制一下比赛呀                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
77'柯钊拿球传球禁区，球被顶出来                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
77'争抢球                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
77'裁判继续哨响                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
77'这段时间双方动作有点偏大呀                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
78'继续看比赛把                   75'第75分钟，王选宏犯规引发冲突，王选宏被黄牌警告
81'门将大脚将球开出来                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
81'外围建业将球控制下来                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
81'给到前场里卡多，里卡多继续选择了打门                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
81'还是打高了呀                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
82'双方争抢球                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
84'网络卡了不好意思                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
84'向汉天传球禁区                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
84'球被挡出来                   81'第81分钟，河南建业任意球制造混乱，里卡多禁区外远射高出
87'奥兰多和里卡多的配合                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
88'里卡多的打门                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
88'球被挡出来                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
88'路遥拿球继续打门                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
88'打高了                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
89'门将大脚将球开出来                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
89'争抢球                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
90'外围人和控制球                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
90'建业这边换人了，里卡多下场了，龙威上来                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
90'比赛已经接近尾声了                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
90'全场比赛补时4分钟                   87'第87分钟，河南建业快速反击吸引张烈出击，里卡多头球摆渡，奥兰多·萨得球转身之后射门，但射出的球角度太正，被张烈没收
49'对了上半场补时4分钟                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
49'建业定位球机会                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
50'定位球发出来                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
50'双方在争抢球                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
50'裁判吹响了上半场结束的哨音                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
50'建业凭借着陈灏的进球暂时领先                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'我们稍事休息一下                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
49'有人倒地了                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
50'OK，继续比赛把                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'建业进攻                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'阿约维把球断下来                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'转换进攻走起来                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'尼扎木丁的传球被挡出底线                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
51'下半场比赛第一个角球来了                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
52'角球开出来                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
52'阿约维的头球攻                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
52'顶高了                   49'补时4分钟，王选宏禁区外凌空抽射，球稍稍偏出
