3'后卫这边大脚破坏                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'纽卡后场拿球转移                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'突然长传送前场                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'右路挑传送禁区                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'洛夫伦先将球破坏                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'利物浦这边反击                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'中路拿球送直塞给到禁区                   3'开场仅3分钟，萨拉赫12码处错过马内传中
3'马内禁区内接球观察了一下                   3'开场仅3分钟，萨拉赫12码处错过马内传中
4'推中路                   3'开场仅3分钟，萨拉赫12码处错过马内传中
4'萨拉赫跟进推射                   3'开场仅3分钟，萨拉赫12码处错过马内传中
4'结果打了一个空气                   3'开场仅3分钟，萨拉赫12码处错过马内传中
4'禁区内利物浦还有机会                    3'开场仅3分钟，萨拉赫12码处错过马内传中
4'斯图里奇拿球被包夹                   3'开场仅3分钟，萨拉赫12码处错过马内传中
4'没有将球摘出来                   3'开场仅3分钟，萨拉赫12码处错过马内传中
5'利物浦中场长传                   3'开场仅3分钟，萨拉赫12码处错过马内传中
5'埃利奥特出击先将球得到                   3'开场仅3分钟，萨拉赫12码处错过马内传中
5'纽卡前场拿球分边路                   3'开场仅3分钟，萨拉赫12码处错过马内传中
5'禁区外围兜远端                   3'开场仅3分钟，萨拉赫12码处错过马内传中
5'米尼奥莱还是有所防范的                   3'开场仅3分钟，萨拉赫12码处错过马内传中
6'斯图里奇中路接球                   3'开场仅3分钟，萨拉赫12码处错过马内传中
6'禁区外围的吊射将球打高了                   3'开场仅3分钟，萨拉赫12码处错过马内传中
6'利物浦中场又是断球下来                   3'开场仅3分钟，萨拉赫12码处错过马内传中
6'长传直接往前场送                   3'开场仅3分钟，萨拉赫12码处错过马内传中
6'这球给的太靠近门将了                   3'开场仅3分钟，萨拉赫12码处错过马内传中
18'斯图里奇右路拿球进了禁区                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'横向带球后起脚打门                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'球被后卫挡了一下后反弹到后卫手上                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'斯图里奇这边投诉                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'但主裁判并没有吹点球                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'利物浦右路起球送后点                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'马内后点跟进直接端射                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
18'这球也是打在了边网上                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
19'纽卡左路进攻上来                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
19'利物浦这边补防在底线抢断                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
19'利物浦这边反击的机会                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
19'萨拉赫带球到了禁区                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
19'最后一下趟的有些大                   16'第16分钟，库蒂尼奥传球，斯图里奇禁区内射门被拉塞尔斯封堵后打在后者手上，裁判未予判罚
29'利物浦前场断球                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
29'0-1！！！！                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
29'库蒂尼奥！！！                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
30'纽卡后场解围直接送到了利物浦脚下，库蒂尼奥接球后在禁区外围稍作调整，突然的一脚远射打近角，埃利奥特有扑救但是没有碰到球！！！                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
30'利物浦这边首先取得进球                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
30'看看接下来纽卡如何调整                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
31'莫雷诺这边受伤倒地                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
32'问题不大，比赛恢复进行                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
32'萨拉赫右路拿球挤到禁区里                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
32'最后造了一个角球                   29'利物浦第29分钟打破僵局，库蒂尼奥左路内切后25码处射入左上死角
50'利物浦前场进攻到禁区                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
51'马内推射被门将挡出                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
51'萨拉赫跟进补射打空门将球打高了                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
51'这球在萨拉赫打门之前弹的也是有些高                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
51'不太好打                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
53'何塞卢这边被鞋钉划了一下                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
53'也是非常的通过                   50'利物浦第50分钟错失良机，克拉克失误，斯图里奇10码处单刀射门被埃利奥特挡出，萨拉赫12码处补射高出
88'利物浦中场长传给到底线                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
88'莫雷诺底线将球勾回来                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
88'张伯伦跟进冲顶将球顶高                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
88'这球顶的也是很有难度                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
89'纽卡这边左路强突                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
89'最后被后卫卡住了身位                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
89'纽卡换人                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
90'阿约泽-佩雷斯下，迪亚梅上！                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'下半场补时3分钟                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'迪亚梅这边上场后也是造了一个角球                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'看看纽卡的定位球机会                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'会不会有惊喜                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'角球送中路                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'利物浦这边的点漏了啊                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'迪亚梅接球后推射                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
91'没有打上力量                   88'利物浦第88分钟错失良机，莫雷诺左路下底传中，替补出场的张伯伦小禁区前冲顶高出
