7'巴卡约科左侧反击！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
7'内切突破被绊倒了！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
7'给了坎塞洛的犯规！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
7'米兰前场左侧任意球！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
7'恰尔汗奥卢传中到小禁区！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
7'球弹地后被什琴斯尼没收了！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
8'马图伊迪分左侧桑德罗！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
9'45度传中到小禁区右侧！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
9'曼朱基奇力压罗德里格斯头球攻门！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
9'球弹地进了！！                   6'开场6分钟，阿莱士-桑德罗左路传球，C罗禁区角外沿斜射高出
8'马图伊迪分左侧桑德罗！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
9'45度传中到小禁区右侧！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
9'曼朱基奇力压罗德里格斯头球攻门！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
9'球弹地进了！！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'坎塞洛右侧突破挑传！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'球被断了！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'巴卡约科反击直塞中场左侧！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'伊瓜因得球大步流星推进！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
10'突破禁区左侧！                   8'第8分钟，阿莱士-桑德罗左路传中，曼朱基奇后点力压里卡多-罗德里格斯，在门前5米处头球弹地入右下角，1比0
