7'米尔纳再给斯图里奇，斯图里奇回传洛夫伦                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
7'洛夫伦分球左侧给米尔纳                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
7'米尔纳的过顶长传找前插的拉拉纳                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
7'拉拉纳强突下底，传中到后点，被防守球员破坏！！                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
8'西汉姆联前场进攻，阿尤中路拿球，直塞给到兰奇尼                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
8'兰奇尼分球卡莱里，卡莱里再给禁区右侧的拜拉姆                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
8'拜拉姆停球起脚低射打远角，打偏！！！                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
9'斯图里奇前场右路拿球，转身横切                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
9'接着突施冷箭，一脚远射，被阿德里安控制                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
9'斯图里奇左路拿球，内切分球给到埃姆雷-詹                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
10'埃姆雷-詹的横传球找奥里吉，被防守球员挡出                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
10'库蒂尼奥中场拿球，分球右路给克莱因                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
10'克莱因再给维纳尔杜姆，维纳尔杜姆的直塞打身后                   7'西汉姆第7分钟险些破门，卡莱里反击中传球，拜拉姆禁区右侧斜射偏出
11'拉拉纳前插接应，停球内切，被回防的丰特解围出底线！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
11'利物浦获得左侧角球机会！！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
11'马蒂普，横梁啊！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
11'库蒂尼奥的角球开出到后点，马蒂普的头球击中横梁弹回，被防守球员解围出底线                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
12'利物浦继续左侧角球机会，这次没能形成威胁！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
13'西汉姆联前场进攻，费尔南德斯的远射                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
13'米尼奥莱侧扑将球解围出底线！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
13'西汉姆联获得右侧角球机会，没能形成威胁！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
14'利物浦的前场进攻，中场过顶找斯图里奇                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
14'斯图里奇前插接应，边裁举旗，越位在先！！                   11'利物浦第11分钟还以颜色，库蒂尼奥角球开至远点，马蒂普近距离头球攻门弹地后击中横梁弹回
35'斯图里奇横传球，没人碰到！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
35'后点的米尔纳跟进，似传似射，球出底线！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
35'这球远端包抄的奥里吉也是没能碰到！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
35'利物浦进球了！！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
35'斯图里奇的单刀赴会，破门！！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
36'利物浦后场抢断，库蒂尼奥拿球反击，中圈附近，一脚直塞打身后，斯图里奇反越位成功，单刀赴会，面对阿德里安，趟过，推射空门得手！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
37'雷德后场拿球，分球右路找拜拉姆                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
38'可惜球没传好，出了边线！！！                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
38'克莱因后场拿球，横传给到埃姆雷-詹                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
38'埃姆雷-詹回传洛夫伦，洛夫伦再给左侧米尔纳                   35'利物浦第35分钟打破僵局，库蒂尼奥送出精准直传，斯图里奇拿球晃过门将射入空门
47'兰奇尼任意球传至禁区，科林斯的头球，被米尼奥莱拿到                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'利物浦前场右路进攻，克莱因的直塞                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
48'奥里吉停球内切，趟大了，被防守球员破坏！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'马蒂普后场拿球，横传给到洛夫伦                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'洛夫伦再给维纳尔杜姆，维纳尔杜姆长传前场拉拉纳                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'拉拉纳左路内切，起脚打门，被挡出                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'斯图里奇禁区内抢点补射，被挡出！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
47'利物浦前场再攻，拉拉纳的抽射，被挡出！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
48'库蒂尼奥前场中路拿球，远射被挡出底线！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
48'利物浦获得右侧角球机会！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
48'库蒂尼奥角球开出到禁区，埃姆雷-詹的头球，顶偏！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
49'米尔纳左路拿球，斜传前场中路                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
50'克雷斯维尔将球解围出边线！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
50'奥里吉左路拿球，强突下底！！                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
50'带至角旗附近，面对回防的丰特                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
50'奥里吉转身回传给上来的米尔纳，控制一下                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
50'米尔纳回传埃姆雷-詹，埃姆雷-詹再给洛夫伦                   47'下半场刚开始2分钟，奥里吉禁区边缘的射门被扑出，拉拉纳再射也被阿德里安神勇救出，维纳尔杜姆禁区内的低射最终被阿德里安扑出底线
57'西汉姆联阵型调整，打四后卫了！！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
57'奥里吉前场拿球，起脚远射，被挡出！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
57'2-0！！！库蒂尼奥！！！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
58'维纳尔杜姆禁区弧顶凌空抽射，被阿德里安扑出，雷德解围球见高不见远，库蒂尼奥外围拿球，强突后起脚抽射，打进球门左下角！！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
60'库蒂尼奥前场左路拿球，斜传中路找奥里吉                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
60'球被柯林斯抢先头球解围！！！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
60'西汉姆联前场进攻，赢得左侧任意球机会！                   57'利物浦第57分钟扩大比分，维纳尔杜姆25码处凌空抽射憾中横梁弹回，里德勉强头球解围，库蒂尼奥突破至禁区弧内低射左下角入网，2-0
49'米尔纳左路拿球，斜传前场中路                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
50'克雷斯维尔将球解围出边线！！                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
50'奥里吉左路拿球，强突下底！！                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
50'带至角旗附近，面对回防的丰特                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
50'奥里吉转身回传给上来的米尔纳，控制一下                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
50'米尔纳回传埃姆雷-詹，埃姆雷-詹再给洛夫伦                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
51'洛夫伦分球马蒂普，马蒂普再给克莱因                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
51'克莱因斜传找前场中路的库蒂尼奥                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
51'库蒂尼奥背身拿球，费尔南德斯身后上抢犯规！                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
51'费尔南德斯被主裁判出示了黄牌警告！！                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
51'这也是本场比赛的第一张黄牌！！                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
52'利物浦前场进攻，斯图里奇前场直塞打身后                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
52'奥里吉前擦接应，下底横传门前                   49'4分钟后，米尔纳传球，奥里吉20码处劲射再次憾中横梁
