1'上半场比赛开始！！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
1'首先由主队巴萨开球，从画面的左侧向右进攻！！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
1'苏亚雷斯前场背身拿球，面对逼抢，回传拉基蒂奇                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
2'拉基蒂奇再给皮克，皮克分球回撤接应的梅西                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
2'梅西中圈拿球，没机会转身，回传皮克                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
3'双方中圈争抢，布斯克茨滑铲，将球铲走，带倒了上抢的佩佩，犯规！！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
3'佩佩离场接受治疗，皇马后场任意球                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
3'马塞洛后场失误，拉基蒂奇抢断                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
3'拉基蒂奇分球中间给梅西，梅西直塞球到禁区                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
4'纳瓦斯出击，抢在上来的巴萨球员之前将球拿到！！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
4'阿尔巴左路的过顶球打身后，苏亚雷斯前插接应，越位在先！                   1'双方赛前为刚刚去世的巴萨传奇巨星克鲁伊夫默哀1分钟
10'C罗人球分过，可惜球过人不过，被阿尔维斯拦截！！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
11'布拉沃大脚将门球开到前场，苏亚雷斯和拉莫斯抢点，后者倒地                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
11'球到了内马尔脚下，内马尔拿球进入禁区，面对佩佩，横传球                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
11'跟进的苏亚雷斯，在卡瓦哈尔的干扰下，没能踢上                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
11'球滑门而过，出了底线！！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
12'拉莫斯抗议，认为苏亚雷斯争抢时对自己犯规，被裁判出示了黄牌警告！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
12'慢镜头回放显示，布拉沃开门球时，苏亚雷斯和内马尔明显处于越位位置！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
13'梅西中场拿球，横传给布斯克茨                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
13'莫德里奇上抢，勾倒了布斯克茨，犯规！！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
13'莫德里奇被主裁判喊到身边，口头警告一翻！！                   10'巴萨第10分钟险些破门，苏亚雷斯争顶时干扰拉莫斯防守，一侧插上的内马尔趁机拿球突入禁区右侧传中，但苏亚雷斯小禁区边缘漏过皮球错过射空门机会
14'贝尔后场右路争抢球权，阿尔巴推人犯规！！                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
15'伊涅斯塔中圈拿球，分球给到梅西                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
15'梅西再给布斯克茨，布斯克茨回传小马哥                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
15'小马哥再给内马尔，内马尔带球到中场，被绊倒在地                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
16'比赛进行到了第14分钟，现场球迷全部起立，用掌声致敬过世的克鲁伊夫！！                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
16'莫德里奇中场拿球，面对逼抢，回传卡瓦哈尔                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
16'卡瓦哈尔再给佩佩，佩佩分球克罗斯                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
17'克罗斯再给左侧的马塞洛，后者停球没停好，出边线！                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
17'巴萨前场进攻，内马尔左侧拿球，内切后的劲射，被纳瓦斯倒地封堵！                   14'第14分钟，全场观众起立为克鲁伊夫鼓掌
19'卡瓦哈尔被主裁判出示了黄牌警告！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
19'巴萨获得前场左侧的任意球机会！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
19'内马尔和梅西站在球前，看看谁罚！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
19'距离球门27米！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
19'梅西任意球左脚直接攻门打近角，出底线！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
20'巴萨中场抢断，阿尔维斯右路进攻，横传被佩佩伸脚挡出                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
20'拉基蒂奇禁区弧顶起脚打门，纳瓦斯侧扑将球封堵                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
20'内马尔左路拿球，底线内切，自己将球先趟出了底线！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
21'开场20分钟，巴萨的进攻完全压制了皇马！！                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
21'伊涅斯塔左路拿球，内切横传给上来的皮克                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
21'皮克再给梅西，梅西中路强突，遭遇夹击，失误啦                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
22'莫德里奇抢断，分球克罗斯，克罗斯再找本泽马，被小马哥拦截                   19'第19分钟，拉基蒂奇抢断后分球，佩佩勉强挡出传中球，拉基蒂奇禁区边缘的射门被纳瓦斯神勇扑出左下角
