6'皇马的进攻赢得角球机会                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
6'进球啦！！！                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
6'拉莫斯头球攻门顶进！！！                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
7'莫德里奇左侧角球开出到前点，拉莫斯插上强有力的冲顶，顶进球门网窝                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
7'普列托中场拿球，带过中线分边左侧给到德拉贝拉                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
7'德拉贝拉的斜传球往禁区吊，结果直接传出了底线                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
8'马塞洛左路直塞找J罗，J罗停球转身，结果球被拉出了边线                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
9'皇马后场抢断，马塞洛左路拿球强突                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
9'马塞洛内切，禁区外被回防的卡斯特罗放倒在地                   6'皇马第6分钟取得领先，克罗斯开出角球，拉莫斯小禁区边缘头球破门
11'本泽马中路跟进的补射，打偏                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
11'拉莫斯这是要做前锋的表现啊                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
11'2-0！！！                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
11'贝尔，低射扩大战果！！！                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
13'莫德里奇右路拿球，强突后的横传球到中路，贝尔停球摆脱上抢的贝尔加拉，左脚低射打球门右侧近角，破门得分！！！                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
13'贝尔这球结合的相当到位，停球过人一气呵成啊                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
13'上半场13分钟，皇马客场2-0领先，莫德里奇两助攻啊                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
14'皇家社会左侧的进攻赢得角球机会，不过并未形成威胁                   11'皇马第11分钟扩大比分，摩德里奇传球，贝尔晃过埃鲁斯通多后16码处低射右下角入网，2-0
21'J罗禁区外直塞给到本泽马，本泽马横传找切入的马塞洛                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
21'马塞洛停球转身，左脚扫射，球滑门而过，出底线                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
23'尽管球队2-0领先，但是安切洛蒂还是坐不住啊，起身站在场边注视着场上的一切                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
23'皇家社会右路进攻赢得角球                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
23'角球开出到门前，佩佩抢先头球解围                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
24'伊斯科禁区争抢第二落点时，带倒了祖鲁图萨                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
24'皇家社会快发任意球，贝尔加拉的下底传中                   21'第21分钟，本泽马禁区左侧回传，马塞洛12码处转身右脚射门擦右侧立柱偏出
